CustomerID;CustomerState;CustomerSurname;CustomerFirstname
1;Virginia;Driggers;Tauni
2;Montana;Keane;Wathalee
3;South Carolina;Barile;Marlowe
4;Pennsylvania;Dare;Annabelle
5;Ohio;Mc Guigan;Jeannet
6;Nevada;Bliss;Marinell
7;Tennessee;Pumphrey;Mandi
8;Maine;Ivner;Romeo
9;Alaska;Hild;Mabel
10;Missouri;Son;Michele
11;Oregon;Pennington;Emilo
12;Wisconsin;Mc Gary;Marliyn
13;California;Yellman;Noreen
14;Michigan;Segura;H.
15;Maryland;Frinton;Karie
16;Oklahoma;Noone;Aimee
17;Delaware;Schlup;Carole
18;Kentucky;Dooley;Karlee
19;Tennessee;Sgambati;Israel
20;Vermont;Uzarski;Tifani
21;West Virginia;Michaluk;Ron
22;Hawaii;Weverstad;Coy
23;Arizona;Krassowski;Leman
24;Wisconsin;Szynskie;Lourdes
25;Wyoming;Alvaro;Joe
26;Pennsylvania;Richter;Marlies
27;Tennessee;Bowler;Patrick
28;Nebraska;Rohrs;Kamela
29;Tennessee;Matuga;Matt
30;New Mexico;Butler, Jr.;Lamar
31;South Carolina;Booth;Patta
32;Tennessee;Bostick;Sherri
33;Vermont;Serna;Maxine
34;Alaska;Tuszynski;Eunice
35;Minnesota;Rewinkel;Harlis
36;Virginia;Radacy;Lourdes
37;New Hampshire;McNight;H. Coleman
38;Idaho;Katz;Katie
39;New Hampshire;Abravaya;Margareta
40;Delaware;OGrady;Cathleen
41;Indiana;Broderick;Trisha
42;Colorado;Sommese;Marliyn
43;Michigan;Buchan;Virgil
44;Maine;Archibald;Leona
45;Colorado;Sparkman;Annette
46;Arizona;Daly;Brittney
47;New Jersey;Steuber;Vince
48;California;McDermott;Loretta
49;Kentucky;Reed;Kurt
50;Iowa;Poorbaugh;Verl
51;Pennsylvania;Smith;Dylan
52;South Carolina;Carnes;Marlies
53;Nebraska;Cheney;Randee
54;Alaska;Rife;Rae
55;New York;Perse;Nelly
56;Indiana;Winkley;Lila
57;West Virginia;Vallard;V. Ola
58;Colorado;Townes;Katrin
59;Hawaii;Ebers;Rosetta
60;Vermont;McCafferty;Mina
