EmployeeID;EmployeeSurname;EmployeeFirstname;NumberOfCustomers
20;Aggson;Agnes;499
57;Aiell;Anne;483
74;Alipranti;Rosemary;500
171;Arteaga;Sarah;477
94;Ashbrook;William;509
72;Babb;Vanessa;469
130;Bach;Anthony;501
184;Bacigalupi;Ashley;476
167;Baczynski;Amanda;444
3;Barrier;Agatha;513
9;Barrilleaux;Rosemary;453
21;Bartle;Richard;495
161;Bateman;Agatha;505
173;Bayat;Raquel;497
172;Beanston;Annabel;484
19;Belding;Agnes;517
127;Belsey;Scott;511
145;Beltran;Annabel;485
120;Beman;Agatha;541
163;Bergman;Peter;479
121;Bers;Flora;448
116;Bethurum;Martin;536
107;Bewley;Rowan;486
187;Bias;Francene;524
95;Biondo;Amanda;456
5;Blaney;Theresa;524
62;Blockie;Michael;487
39;Boersen;Rosemary;488
181;Bogart;Agnes;521
177;Borrillo;Frederick;517
77;Breitwieser;Valerie;479
64;Broce;Annabel;496
119;Brown;William;530
18;Brumfield;Agnes;559
54;Bruner;Scott;503
143;Butcher;Jacqueline;489
122;Cammack;Raquel;515
152;Canfield;Arnold;512
146;Caro;Raquel;449
105;Carpoff;Theresa;501
59;Cata;Flora;540
150;Cereghino;Peter;467
67;Cervantes;Stanley;496
86;Chace;Rowan;521
115;Channing;Jane;496
158;Chessman;Tiara;492
159;Chestnut;Vanessa;460
155;Chilton;Leonardo;516
27;Choin;Amy;525
10;Cole;Rowan;457
199;Colone;Theresa;476
134;Connelly;Richard;523
142;Conser;Ashley;476
106;Contreras;Agatha;508
126;Cosgrove;Frank;497
78;Dahlberg;Stanley;549
46;Delgado;Priscila;524
8;Deskus;Frederick;504
48;Dickerson;Tiara;528
103;Dillion;Stanley;505
16;Dodd;Zoe;489
133;Doran;Charles;495
154;Dorland;Amanda;444
61;Dreschel;Richard;520
83;Ehrens;Gordon;473
70;Evans;Ashley;506
138;Fancher;Raquel;462
42;Farsai;Vanessa;471
104;Finley;Jane;481
183;Fischer;Ashley;529
2;Galvin;William;514
144;Geer;Annabel;451
84;Geyer;Agatha;451
99;Gorgone;Charles;503
96;Grass;Harry;472
89;Griego;Theresa;491
