CustomerID;CustomerState;CustomerSurname;CustomerFirstname;NumberOfEmployees
14316;Alabama;Abramowitz;Jed;5
4520;Alabama;Abravaya;Jacqeline;3
13239;Alabama;Ackerman;Vallyn;5
2705;Alabama;Addante;Jodan;4
12299;Alabama;Alarid;Eleanor;6
10283;Alabama;Alcon;Hana;5
18148;Alabama;Allred;Myrtle;1
8678;Alabama;Almeida;Shaneen;5
12121;Alabama;Almond;Celine;4
9516;Alabama;Aluyen;Suzann;9
3123;Alabama;Andal;Charlene;5
5467;Alabama;Angel;Raymond;5
3889;Alabama;Angella;Carrie;3
5795;Alabama;Annunciation;Linda;8
4982;Alabama;Antonucci;Kimberley;4
17257;Alabama;Aochi;Steven;5
1641;Alabama;Archibald;Keren;8
1738;Alabama;Ardon;Kimbra;12
107;Alabama;Arevalo;Minerva;4
18231;Alabama;Armees;Otis;5
13311;Alabama;Armistead;Cathie;6
13891;Alabama;Arrowsmith;Carmenia;2
5965;Alabama;Artman;Melissa;6
14464;Alabama;Asfaha;Sarita;6
3300;Alabama;Ask;Sange;6
18401;Alabama;Asmundstad;Charleen;3
2433;Alabama;Bagdis;R. Kay;6
6416;Alabama;Bagwell;Jamie;7
163;Alabama;Balestrieri;Jared;4
1557;Alabama;Ballantine;Guadalupe (Lou);7
4502;Alabama;Barajas;Miriam;3
5562;Alabama;Bardwell;Larrie;3
8461;Alabama;Barker;Otis;6
16839;Alabama;Barlow;Esmeralda;2
14169;Alabama;Barstad;Cleo;9
15703;Alabama;Barta;Johann;7
2717;Alabama;Bastrana;Pam;5
5961;Alabama;Batuello;Tranquilino;4
18359;Alabama;Baugh;Everrett;3
962;Alabama;Bay;Arabelle;5
6499;Alabama;Beard;Deirdre Susan;14
827;Alabama;Belleci;Garrett;7
1552;Alabama;Belleci;M. Diann;7
15550;Alabama;Benefiel;Salome;3
15289;Alabama;Besse;Fabian;2
6223;Alabama;Beyer;Larasa;3
17621;Alabama;Blalock;Oran;4
379;Alabama;Bogott;Carolyne;9
10927;Alabama;Bonneville;Jeannine;4
5451;Alabama;Borders;Felicidad;7
15833;Alabama;Bowles;Abbie;4
7489;Alabama;Boxell;Ewing;6
8387;Alabama;Boydstun;Roxanne;6
17317;Alabama;Bradbrook;Fereshteh;5
80;Alabama;Bradshaw, Jr.;Sarita;4
14908;Alabama;Branagh;Sara;4
18068;Alabama;Brannon;Roselinda;3
4391;Alabama;Bratset;Tiara;4
10214;Alabama;Brauner;Claire;8
8308;Alabama;Braunstein;Loraine;10
19727;Alabama;Brazelton;Dell;1
10304;Alabama;Brescia;J. Ryan;8
11280;Alabama;Brice;Ezelle;5
3801;Alabama;Briganti;Kathleen (Kay);8
3244;Alabama;Brockett;J. Scott;7
12122;Alabama;Broxton;Lydia;7
15976;Alabama;Broyles;Cleo;1
18051;Alabama;Brumback;Melba;3
11336;Alabama;Brumfiled;Luella;5
7320;Alabama;Bryans;Silvia;8
16090;Alabama;Burbige;Gen;4
8291;Alabama;Burbige;Hedeliza;2
16107;Alabama;Burgh;Ronan;6
4248;Alabama;Burkamp;Naoma;7
13836;Alabama;Burriss;Angelina;7
214;Alabama;Bussell;Lyle;8
9163;Alabama;Butler, Jr.;Holly;3
10278;Alabama;Butterfield;Florianne;7
4633;Alabama;Caldara;Suzanna;3
18248;Alabama;Camacho;Veena;3
6226;Alabama;Cammon;Morris;4
9459;Alabama;Cantos;Sergio;6
2707;Alabama;Caputo;Pauline;9
10755;Alabama;Caputo;W. Michael;1
93;Alabama;Carara;Charlemagne;5
11529;Alabama;Caras;Benny;5
4847;Alabama;Carbajel, Jr.;Gracia;5
5240;Alabama;Carlozzi;Herb;3
2703;Alabama;Carpio;Jenni;10
19317;Alabama;Cary;Jacquie;2
6235;Alabama;Casson;Nila;5
10653;Alabama;Castandeda;Fabian;4
3500;Alabama;Cathcart;Lucile;5
5092;Alabama;Caudill;Hiram;7
18192;Alabama;Cavett;Luanne;5
4788;Alabama;Cavett;Shelby;2
734;Alabama;Cellini;Lon;7
11951;Alabama;Celosse;Denyse;3
8126;Alabama;Chiero;Kathy;6
12094;Alabama;Chilcott;Reinhold;3
13954;Alabama;Christensen;Dominique;4
706;Alabama;Christiansen;Herbert;6
8838;Alabama;Claggett;Magdalena;4
15071;Alabama;Clarkin;Baha;8
15259;Alabama;Clem;Debora;8
5789;Alabama;Clendenen;Marty;6
8271;Alabama;Clifford;Reva;8
17533;Alabama;Cocadiz;Marla;1
9021;Alabama;Cogburn;Josef;5
16945;Alabama;Coke;Jolene;4
2846;Alabama;Conness;Teel;2
13939;Alabama;Consentino;Foster;3
11901;Alabama;Cordes;Magdalena;7
11902;Alabama;Cortessis;Rocky;3
3755;Alabama;Creech;Emyril;2
4622;Alabama;Crill;Nelson;4
10461;Alabama;Crotto;Marvin;3
15044;Alabama;Crowe;Hal;3
593;Alabama;Crowell;Bunny;5
7326;Alabama;Cummins;Selene;6
12559;Alabama;Daghlian;Shanay;2
3927;Alabama;Dailey;Shelby;4
12163;Alabama;Damore;Bertil;5
5525;Alabama;Davelis;Myles;3
15776;Alabama;De Gree;Taylor;8
5958;Alabama;Deacon;Janine;10
16504;Alabama;Delhay;Shari;6
12287;Alabama;Dephillipo;Shyla;7
14294;Alabama;Devalois;Ariel;6
10657;Alabama;Dewberry;Chevalle;4
294;Alabama;Diehl, Jr.;Allison;5
17321;Alabama;Dittmar;Pacita;2
17413;Alabama;Eberhart;Herold;4
1962;Alabama;Elmore;Lyla;4
6145;Alabama;Emanuele;Ernie;4
18240;Alabama;Emory;Lemoyne;1
6283;Alabama;England;Andrea;4
747;Alabama;Engstrom;Shaneen;8
12127;Alabama;Ernst;Marcial;5
9965;Alabama;Esquibel;Kasandra;6
3733;Alabama;Estepp;Ginger;2
