EmployeeSurname;EmployeeFirstname;NumberOfTransactions;MinAmount;MaxAmount;AverageAmount;SumOfAmounts
Aggson;Agnes;509;21.02;998.48;507.96;258549.18
Aiell;Anne;487;20.48;998.63;498.77;242900.59
Alipranti;Rosemary;511;20.77;999.30;500.84;255927.29
Arteaga;Sarah;481;21.37;996.61;520.39;250305.79
Ashbrook;William;517;20.98;998.77;525.88;271880.26
Babb;Vanessa;472;26.05;995.26;517.49;244255.55
Bach;Anthony;513;20.42;993.74;509.17;261206.66
Bacigalupi;Ashley;481;21.33;999.08;547.45;263324.97
Baczynski;Amanda;450;21.87;998.68;490.17;220576.17
Barrier;Agatha;521;21.02;998.25;525.82;273954.23
Barrilleaux;Rosemary;467;20.03;996.91;496.44;231837.81
Bartle;Richard;503;20.37;998.20;515.24;259166.81
Bateman;Agatha;513;20.39;999.67;521.26;267404.25
Bayat;Raquel;500;20.47;998.60;496.59;248293.94
Beanston;Annabel;493;20.26;999.50;480.75;237011.02
Belding;Agnes;523;22.86;999.17;531.73;278094.52
Belsey;Scott;519;22.48;999.07;526.64;273324.28
Beltran;Annabel;494;20.03;998.78;510.21;252043.54
Beman;Agatha;549;20.96;999.84;506.74;278201.15
Bergman;Peter;486;20.83;997.99;514.70;250146.24
Bers;Flora;457;21.32;999.86;510.24;233178.08
Bethurum;Martin;540;20.22;999.49;523.03;282437.69
Bewley;Rowan;494;23.53;997.38;515.02;254419.25
Bias;Francene;529;21.20;984.85;501.11;265086.92
Biondo;Amanda;462;21.72;997.67;505.74;233653.70
Blaney;Theresa;530;20.17;995.78;513.81;272321.68
Blockie;Michael;492;20.07;998.35;503.22;247583.99
Boersen;Rosemary;490;20.32;998.24;496.83;243444.75
Bogart;Agnes;527;20.87;995.46;491.74;259144.89
Borrillo;Frederick;523;20.31;998.40;504.47;263839.78
Breitwieser;Valerie;486;22.13;999.43;510.93;248312.65
Broce;Annabel;499;22.75;993.98;511.99;255483.29
Brown;William;537;20.83;990.47;496.06;266382.00
Brumfield;Agnes;565;23.75;997.47;508.81;287476.40
