CustomerID;CustomerState;CustomerSurname;CustomerFirstname
1;Virginia;Driggers;Tauni
2;Montana;Keane;Wathalee
3;South Carolina;Barile;Marlowe
4;Pennsylvania;Dare;Annabelle
5;Ohio;Mc Guigan;Jeannet
6;Nevada;Bliss;Marinell
7;Tennessee;Pumphrey;Mandi
8;Maine;Ivner;Romeo
9;Alaska;Hild;Mabel
10;Missouri;Son;Michele
11;Oregon;Pennington;Emilo
12;Wisconsin;Mc Gary;Marliyn
13;California;Yellman;Noreen
14;Michigan;Segura;H.
15;Maryland;Frinton;Karie
18;Kentucky;Dooley;Karlee
21;West Virginia;Michaluk;Ron
23;Arizona;Krassowski;Leman
24;Wisconsin;Szynskie;Lourdes
25;Wyoming;Alvaro;Joe
30;New Mexico;Butler, Jr.;Lamar
34;Alaska;Tuszynski;Eunice
36;Virginia;Radacy;Lourdes
45;Colorado;Sparkman;Annette
46;Arizona;Daly;Brittney
47;New Jersey;Steuber;Vince
48;California;McDermott;Loretta
51;Pennsylvania;Smith;Dylan
54;Alaska;Rife;Rae
57;West Virginia;Vallard;V. Ola
59;Hawaii;Ebers;Rosetta
60;Vermont;McCafferty;Mina
61;New Hampshire;Huggett;Lizette
62;Oregon;Lundy;Nyya
64;Massachusetts;Walden;Junior
69;South Dakota;Ballard;Lauri
80;Alabama;Bradshaw, Jr.;Sarita
81;Illinois;Carlozzi;Rosario
84;Virginia;Fulghum;Veleine
89;South Dakota;Gyure;Ronny
90;New York;Ginsbach;Nikki
94;Connecticut;Scherer;Viviana
96;Iowa;Novak;Viviana
104;West Virginia;Waniewski;Lieselotte
112;Louisiana;Triolo;Jess
122;Texas;Devoe;Morrie
123;Vermont;Aldaridge;Erryn
125;New Hampshire;Oliphant;Zachariah
128;Montana;Baer;Mayme
129;Illinois;Berneman;Milton
134;North Carolina;Scherer;C. James
138;Vermont;Cornelison;Patrice
139;North Dakota;Phoenix;Nicki
140;Idaho;Ortiz;Chong-jean
144;Michigan;Tang;Don
145;Kentucky;Baviera;Erik
149;Indiana;Caudill;Richard (Chris)
153;West Virginia;Jorgensen;Lilly
155;Wyoming;Vuong;Jobe
