+-------+--------------+------------+-------------+------------+--------------+-----------------+-----------+----------------+-------------+------------+-----------+---------+----------------+------------------+-----------------+---------+------------------+
|Record |employee_id   |full_name   |first_name   |last_name   |position_id   |position_title   |store_id   |department_id   |birth_date   |hire_date   |end_date   |salary   |supervisor_id   |education_level   |marital_status   |gender   |management_role   |
+-------+--------------+------------+-------------+------------+--------------+-----------------+-----------+----------------+-------------+------------+-----------+---------+----------------+------------------+-----------------+---------+------------------+
|# 1    |618791        |            |bvho         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 2    |778187        |            |fvcc         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 3    |793002        |            |iomm         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 4    |4640          |            |rsqc         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 5    |711817        |            |lqxx         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 6    |884774        |            |zmzv         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 7    |14297         |            |ykkw         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 8    |990412        |            |bzvf         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 9    |645304        |            |cwyl         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 10   |295502        |            |mmhp         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 11   |65902         |            |ltzu         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 12   |989324        |            |uqbu         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 13   |349533        |            |nomq         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 14   |762530        |            |jmtf         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 15   |417016        |            |cfir         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 16   |362401        |            |npwy         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 17   |833055        |            |pvye         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 18   |984941        |            |ajnx         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 19   |480815        |            |ihei         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 20   |700331        |            |swro         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 21   |986018        |            |tcnf         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 22   |86404         |            |ndzs         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 23   |794612        |            |jojj         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 24   |593850        |            |znbq         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 25   |553985        |            |goqg         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 26   |155046        |            |anpq         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 27   |170129        |            |mazs         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 28   |605920        |            |zezc         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 29   |634126        |            |dvdf         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 30   |898926        |            |wpxr         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 31   |203032        |            |gdqh         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 32   |506800        |            |kagc         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 33   |582221        |            |yrgj         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 34   |870721        |            |lnom         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 35   |420999        |            |mcup         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 36   |743232        |            |aczk         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 37   |442463        |            |vwmm         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 38   |982079        |            |uuaj         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 39   |362644        |            |vulp         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 40   |882190        |            |cwak         |            |              |                 |           |                |             |            |           |         |                |                  |                 |         |                  |
|# 41   |6             |Roberta Damstra|Roberta      |Damstra     |3             |VP Information Systems|0          |2               |Oct 8, 1942  |Dec 1, 1994 |           |25000.0  |1               |Bachelors Degree  |M                |F        |Senior Management |
|# 42   |134           |Shirley Wilbert|Shirley      |Wilbert     |17            |Store Permanent Stocker|7          |17              |Feb 2, 1914  |Jan 1, 1996 |           |4400.0   |101             |Bachelors Degree  |S                |F        |Store Full Time Staf|
+-------+--------------+------------+-------------+------------+--------------+-----------------+-----------+----------------+-------------+------------+-----------+---------+----------------+------------------+-----------------+---------+------------------+
