+-------+--------------+--------------+--------------+----------+-----+-------------------------+----------------+-----------------+--------------+----------+---------------------+-----------------+---------------+----------------------+-----------------+----------------+---------+-----------------+-----------------------+----------------------+----------------------+--------------+--------------------------+-------------+-----------------+
|Record |customer_id   |account_num   |lname         |fname     |mi   |address                  |city            |state_province   |postal_code   |country   |customer_region_id   |phone1           |phone2         |birthdate             |marital_status   |yearly_income   |gender   |total_children   |num_children_at_home   |education             |date_accnt_opened     |member_card   |occupation                |houseowner   |num_cars_owned   |
+-------+--------------+--------------+--------------+----------+-----+-------------------------+----------------+-----------------+--------------+----------+---------------------+-----------------+---------------+----------------------+-----------------+----------------+---------+-----------------+-----------------------+----------------------+----------------------+--------------+--------------------------+-------------+-----------------+
|# 1    |11113         |34925754058   |Rusch         |Ted       |     |722 Moss Bay Blvd.       |Kirkland        |WA               |98033         |USA       |16                   |(206) 555-3412   |               |1914-02-02 00:00:00   |S                |$130K - $150K   |F        |5                |1                      |Partial College       |1998-01-01 00:00:00   |Bronze        |Store Temporary Checker   |N            |2                |
|# 2    |11118         |79817820529   |Sabella       |Deanna    |D.   |722 Moss Bay Blvd.       |Kirkland        |WA               |98033         |USA       |15                   |(206) 555-3412   |               |1914-02-02 00:00:00   |S                |$130K - $150K   |F        |4                |0                      |Partial High School   |1998-01-01 00:00:00   |Normal        |Store Permanent Checker   |N            |0                |
|# 3    |11124         |44908151950   |Sandidge      |Mary      |     |722 Moss Bay Blvd.       |Kirkland        |WA               |98033         |USA       |13                   |(206) 555-3412   |               |1961-09-24 00:00:00   |M                |$50K - $70K     |M        |1                |0                      |Partial College       |1998-01-01 00:00:00   |Bronze        |Store Shift Supervisor    |Y            |0                |
|# 4    |11127         |73188684705   |Saunders      |Lloyd     |J.   |722 Moss Bay Blvd.       |Kirkland        |WA               |98033         |USA       |16                   |(206) 555-3412   |               |1914-02-02 00:00:00   |M                |$110K - $130K   |M        |1                |0                      |Bachelors Degree      |1996-01-01 00:00:00   |Bronze        |Store Temporary Checker   |Y            |1                |
|# 5    |11147         |49998899716   |Simpson       |Marty     |V.   |722 Moss Bay Blvd.       |Kirkland        |WA               |98033         |USA       |18                   |(206) 555-3412   |               |1914-02-02 00:00:00   |M                |$50K - $70K     |M        |4                |2                      |High School Degree    |1998-01-01 00:00:00   |Silver        |Store Temporary Stocker   |Y            |3                |
|# 6    |11156         |19365495878   |Slattengren   |Dianne    |     |722 Moss Bay Blvd.       |Kirkland        |WA               |98033         |USA       |16                   |(206) 555-3412   |               |1914-02-02 00:00:00   |S                |$150K +         |M        |1                |0                      |Partial College       |1998-01-01 00:00:00   |Golden        |Store Temporary Checker   |N            |1                |
|# 7    |11158         |16461412053   |Sloan         |Cathy     |     |722 Moss Bay Blvd.       |Kirkland        |WA               |98033         |USA       |18                   |(206) 555-3412   |               |1914-02-02 00:00:00   |M                |$150K +         |F        |3                |0                      |Partial College       |1996-01-01 00:00:00   |Silver        |Store Temporary Stocker   |Y            |0                |
|# 8    |8288          |66978406400   |Abbott        |Bonnie    |L.   |1933 Lorie Lane          |West Covina     |CA               |49734         |USA       |60                   |640-555-2004     |929-555-3825   |1959-08-23 00:00:00   |S                |$50K - $70K     |F        |3                |0                      |Bachelors Degree      |1994-09-12 00:00:00   |Bronze        |Professional              |Y            |3                |
|# 9    |8273          |66857205760   |Abbott        |Brian     |J.   |8325 Glenhaven Ave. S.   |Sooke           |BC               |67592         |Canada    |101                  |947-555-4760     |443-555-9096   |1971-12-14 00:00:00   |M                |$10K - $30K     |F        |2                |2                      |Partial High School   |1994-05-26 00:00:00   |Normal        |Skilled Manual            |Y            |0                |
|# 10   |7890          |63291432960   |Abramo        |Daniel    |     |6616 Baird Court         |Grossmont       |CA               |35460         |USA       |17                   |743-555-2257     |678-555-7279   |1959-04-04 00:00:00   |M                |$50K - $70K     |F        |1                |0                      |High School Degree    |1991-02-08 00:00:00   |Bronze        |Skilled Manual            |N            |3                |
|# 11   |7510          |60056825856   |Acevedo       |Zelda     |     |7779 Mt. Hood Circle     |Renton          |WA               |22689         |USA       |73                   |333-555-3988     |883-555-8095   |1923-04-02 00:00:00   |S                |$10K - $30K     |M        |2                |0                      |Bachelors Degree      |1991-06-06 00:00:00   |Normal        |Professional              |N            |1                |
|# 12   |10128         |85795012608   |Ackerman      |Carol     |     |9562 Tupelo Dr.          |Burien          |WA               |42925         |USA       |74                   |186-555-3560     |474-555-5381   |1936-12-04 00:00:00   |S                |$30K - $50K     |M        |4                |0                      |Partial College       |1992-07-06 00:00:00   |Bronze        |Skilled Manual            |Y            |2                |
|# 13   |4055          |31974340608   |Ackerman      |Cathy     |     |8609 Eagle Ct            |Oak Bay         |BC               |24033         |Canada    |99                   |757-555-2486     |276-555-5450   |1951-12-12 00:00:00   |M                |$30K - $50K     |M        |1                |0                      |High School Degree    |1991-04-11 00:00:00   |Bronze        |Skilled Manual            |Y            |2                |
|# 14   |3630          |28802387968   |Adalat        |Robert    |     |33 Rotherham Dr          |Kirkland        |WA               |42283         |USA       |63                   |862-555-6760     |843-555-9038   |1915-09-12 00:00:00   |S                |$150K +         |F        |0                |0                      |High School Degree    |1992-10-18 00:00:00   |Silver        |Professional              |N            |2                |
|# 15   |7019          |55961452544   |Adams         |Amy       |A.   |5243 Miguel Drive        |Oakland         |CA               |97667         |USA       |37                   |831-555-4819     |966-555-6869   |1941-08-25 00:00:00   |M                |$30K - $50K     |M        |2                |2                      |High School Degree    |1993-07-10 00:00:00   |Golden        |Skilled Manual            |Y            |1                |
|# 16   |5167          |40477454336   |Adams         |Deborah   |R.   |8168 Lorie Lane          |Spring Valley   |CA               |14930         |USA       |15                   |914-555-2838     |764-555-3973   |1976-06-01 00:00:00   |S                |$10K - $30K     |F        |3                |0                      |Partial High School   |1991-02-26 00:00:00   |Normal        |Manual                    |N            |2                |
|# 17   |6382          |50480558080   |Adams         |Dorothy   |     |7894 Eagle Ct.           |Tixapan         |DF               |48778         |Mexico    |107                  |567-555-3288     |548-555-5567   |1913-02-03 00:00:00   |M                |$150K +         |F        |0                |0                      |Bachelors Degree      |1992-10-05 00:00:00   |Golden        |Professional              |N            |2                |
|# 18   |4072          |32078028800   |Adams         |Jared     |M.   |6433 E. 70th Street      |Tixapan         |DF               |71636         |Mexico    |107                  |173-555-4867     |131-555-8518   |1916-10-05 00:00:00   |S                |$30K - $50K     |F        |2                |0                      |Partial High School   |1990-09-11 00:00:00   |Bronze        |Manual                    |N            |2                |
|# 19   |9008          |74131259392   |Adams         |Judy      |L.   |6051 Mepham Dr.          |Burien          |WA               |85963         |USA       |74                   |185-555-2861     |712-555-8340   |1966-02-03 00:00:00   |S                |$10K - $30K     |M        |1                |0                      |Partial High School   |1993-07-14 00:00:00   |Normal        |Manual                    |N            |2                |
|# 20   |7605          |60889370624   |Adams         |Philip    |J.   |1039 Adelaide St.        |West Covina     |CA               |92116         |USA       |60                   |871-555-4349     |982-555-7771   |1948-06-08 00:00:00   |M                |$10K - $30K     |M        |4                |4                      |Partial High School   |1993-07-24 00:00:00   |Normal        |Manual                    |Y            |1                |
|# 21   |7760          |62103326720   |Adams         |Reanel    |D.   |3029 Delta View Ln.      |Tlaxiaco        |Oaxaca           |69762         |Mexico    |30                   |960-555-9220     |349-555-2041   |1949-02-27 00:00:00   |S                |$130K - $150K   |M        |2                |0                      |Partial High School   |1993-03-24 00:00:00   |Bronze        |Professional              |Y            |3                |
|# 22   |6431          |50836451328   |Addington     |Ruth      |E.   |2690 Frayne Ct.          |Los Angeles     |CA               |89948         |USA       |3                    |243-555-8015     |993-555-9151   |1935-02-16 00:00:00   |M                |$30K - $50K     |M        |3                |3                      |Partial College       |1993-12-18 00:00:00   |Golden        |Professional              |Y            |3                |
|# 23   |4421          |34760028160   |Adez          |Connie    |     |8914 Jennifer Way        |Redwood City    |CA               |45322         |USA       |45                   |176-555-3879     |287-555-7301   |1970-12-13 00:00:00   |M                |$10K - $30K     |F        |4                |3                      |Partial High School   |1991-10-14 00:00:00   |Normal        |Manual                    |Y            |1                |
|# 24   |5788          |45387280384   |Adkins        |Marty     |S    |8356 Royal Ann Lane      |Sooke           |BC               |98968         |Canada    |101                  |957-555-8556     |630-555-2292   |1959-06-01 00:00:00   |S                |$10K - $30K     |M        |5                |0                      |Partial High School   |1991-06-26 00:00:00   |Normal        |Skilled Manual            |Y            |0                |
|# 25   |8798          |71775338496   |Affleck       |Joyce     |B.   |6553 San Miguel Rd.      |Los Angeles     |CA               |48522         |USA       |3                    |276-555-8465     |257-555-1744   |1953-05-18 00:00:00   |M                |$30K - $50K     |M        |1                |0                      |High School Degree    |1993-12-15 00:00:00   |Bronze        |Skilled Manual            |N            |2                |
|# 26   |4406          |34677362688   |Aguilar       |Stacie    |     |664 Buchanan Pl          |Richmond        |BC               |74365         |Canada    |90                   |712-555-2055     |124-555-2504   |1929-02-08 00:00:00   |M                |$130K - $150K   |F        |2                |1                      |Graduate Degree       |1993-11-12 00:00:00   |Bronze        |Professional              |Y            |4                |
|# 27   |4200          |33088305152   |Ahillas       |Edward    |J.   |796 Rain Drop Circle     |Palo Alto       |CA               |10014         |USA       |41                   |220-555-2201     |178-555-5852   |1947-01-26 00:00:00   |M                |$70K - $90K     |M        |0                |0                      |Bachelors Degree      |1993-09-13 00:00:00   |Silver        |Professional              |N            |2                |
|# 28   |3429          |27306401792   |Alcaraz       |Barbara   |     |9765 Marie Drive         |Renton          |WA               |61833         |USA       |73                   |646-555-7169     |519-555-6933   |1948-10-26 00:00:00   |M                |$130K - $150K   |F        |0                |0                      |Partial High School   |1992-06-23 00:00:00   |Bronze        |Professional              |Y            |2                |
|# 29   |4354          |34331793408   |Aldrich       |Stephen   |J.   |3829 Cardinet Drive      |Palo Alto       |CA               |78825         |USA       |41                   |611-555-3697     |307-555-5061   |1955-02-05 00:00:00   |S                |$30K - $50K     |M        |0                |0                      |High School Degree    |1994-01-04 00:00:00   |Silver        |Manual                    |Y            |3                |
|# 30   |8559          |69410562048   |Aldridge      |Patricia  |     |916 Sandview Dr.         |Los Angeles     |CA               |96307         |USA       |3                    |572-555-2886     |661-555-7679   |1949-07-09 00:00:00   |S                |$30K - $50K     |F        |1                |0                      |High School Degree    |1991-10-08 00:00:00   |Silver        |Skilled Manual            |N            |4                |
|# 31   |9138          |75635695616   |Alebord       |Rudolph   |E.   |6359 Sand Point Road     |Sooke           |BC               |29799         |Canada    |101                  |546-555-5790     |243-555-7154   |1941-09-13 00:00:00   |M                |$110K - $130K   |F        |4                |4                      |Partial High School   |1993-06-22 00:00:00   |Golden        |Management                |Y            |3                |
|# 32   |8813          |71906861056   |Alexander     |Glen      |     |5657 Ingersoll Terr.     |San Andres      |DF               |44623         |Mexico    |106                  |308-555-3119     |751-555-4711   |1919-04-08 00:00:00   |M                |$30K - $50K     |F        |3                |0                      |Partial College       |1993-12-13 00:00:00   |Silver        |Management                |N            |3                |
|# 33   |4817          |37821313024   |Alexander     |Mary      |A.   |3040 Snow Drive          |Kirkland        |WA               |85992         |USA       |63                   |632-555-8444     |128-555-3780   |1945-09-08 00:00:00   |M                |$30K - $50K     |F        |0                |0                      |High School Degree    |1993-04-26 00:00:00   |Bronze        |Manual                    |Y            |2                |
