customerid;firstname;lastname;city;state;country;username;password;age;income;gender
46;Mary;Gilbert;Isle Of Hope-Dutch Island;AK;USA;user8459;password;54;20000;F
158;Martha;McClure;Hogansville;AK;USA;user1212;password;57;40000;F
162;Zachary;Heath;Lenox;AK;USA;user6560;password;68;80000;M
188;Casey;Dudley;Centerville;AK;USA;user8743;password;59;40000;M
270;Phyllis;England;Boston;AK;USA;user219;password;54;60000;M
321;Johnny;Koch;Smithville;AK;USA;user4507;password;89;20000;F
498;Randi;Watson;Smithville;AK;USA;user1100;password;74;60000;M
594;Diana;Finley;Lake Park;AK;USA;user7266;password;26;60000;M
693;Clara;Middleton;Shawnee;AK;USA;user8874;password;87;60000;F
798;Eddie;Sandoval;Retreat;AK;USA;user2495;password;56;40000;F
914;Sally;Lester;Folkston;AK;USA;user8632;password;84;60000;F
1026;Tracie;McDonald;Acworth;AK;USA;user3563;password;43;100000;F
1034;Duane;Erickson;Thomaston;AK;USA;user2263;password;31;20000;F
1162;Ron;Jimenez;Wilmington Island;AK;USA;user1331;password;58;60000;F
1297;Tracy;Wells;Lawrenceville;AK;USA;user5391;password;45;40000;M
1375;Johnathan;Baird;Stilson;AK;USA;user4639;password;90;80000;F
1387;Abigail;Wilson;Georgetown;AK;USA;user8248;password;36;40000;F
1428;Lindsey;Acevedo;Chester;AK;USA;user6543;password;74;60000;F
1606;Sher;Ellison;Graham;AK;USA;user4968;password;20;40000;M
1647;Rocky;Adkins;Cobbtown;AK;USA;user5241;password;55;20000;F
1682;Mary ann;Guerra;Damascus;AK;USA;user2167;password;39;40000;F
1735;Cameron;Harrington;Nankin;AK;USA;user5519;password;65;60000;M
1914;Kristin;Fitzpatrick;Milan;AK;USA;user9518;password;59;20000;M
1927;Christopher;Knight;Montezuma;AK;USA;user7327;password;72;60000;F
1929;Colton;Kemp;Palmetto;AK;USA;user5703;password;62;80000;M
1974;Chuck;Reed;Leary;AK;USA;user7278;password;47;80000;F
1996;Greg;Irwin;Riceboro;AK;USA;user1629;password;65;60000;F
2001;Tracey;Shepard;Forsyth;AK;USA;user528;password;61;80000;F
2004;Noah;Casey;Screven;AK;USA;user3721;password;85;80000;F
2072;Melody;Moore;Vernonburg;AK;USA;user9231;password;57;100000;F
2122;Stacey;Velasquez;Stone Mountain;AK;USA;user7010;password;75;60000;F
2194;Kyle;White;Albany;AK;USA;user1800;password;24;40000;M
2393;Roxanne;Hughes;Adrian;AK;USA;user3552;password;26;40000;F
