orderid   required_date  shipped_date   customer_firstname    customer_lastname     customer_country    
10663     1997-09-24     1997-10-03     Erin                  Nicholson             USA                 
10827     1998-01-26     1998-02-06     Darla                 Cameron               USA                 
10927     1998-04-02     1998-04-08     Curtis                Salinas               USA                 
10451     1997-03-05     1997-03-12     Joel                  Tate                  USA                 
10515     1997-05-07     1997-05-23     Donnie                Kline                 USA                 
10593     1997-08-06     1997-08-13     Lois                  Schneider             USA                 
10779     1998-01-13     1998-01-14     Martha                Owens                 USA                 
10423     1997-02-06     1997-02-24     Billie                McClain               USA                 
10709     1997-11-14     1997-11-20     Sydney                Bolton                USA                 
10777     1997-12-29     1998-01-21     Kelly                 Hendricks             USA                 
10302     1996-10-08     1996-10-09     Christy               Campbell              USA                 
10705     1997-11-12     1997-11-18     Chuck                 Rodriquez             USA                 
10960     1998-04-02     1998-04-08     Sher                  Berry                 USA                 
10427     1997-02-24     1997-03-03     Dusty                 Price                 USA                 
10271     1996-08-29     1996-08-30     Christina             O'neil                USA                 
10483     1997-04-21     1997-04-25     Jeff                  Cruz                  USA                 
10545     1997-06-19     1997-06-26     Sue                   Anderson              USA                 
10596     1997-08-08     1997-08-12     Russell               Hogan                 USA                 
10660     1997-10-06     1997-10-15     Donnie                Lambert               USA                 
10816     1998-02-03     1998-02-04     Stephen               Joyce                 USA                 
10847     1998-02-05     1998-02-10     Melanie               Petty                 USA                 
10264     1996-08-21     1996-08-23     Jonathon              Rivas                 USA                 
10280     1996-09-11     1996-09-12     Earl                  Torres                USA                 
10924     1998-04-01     1998-04-08     Kay                   Murphy                USA                 
10320     1996-10-17     1996-10-18     Cory                  Burton                USA                 
10727     1997-12-01     1997-12-05     Rod                   Petty                 USA                 
10807     1998-01-28     1998-01-30     Greg                  Bowman                USA                 
10970     1998-04-07     1998-04-24     Sean                  Lopez                 USA                 
10523     1997-05-29     1997-05-30     Darrell               Carson                USA                 
10578     1997-07-22     1997-07-25     Aaron                 Barnett               USA                 
10726     1997-11-17     1997-12-05     Rusty                 Kidd                  USA                 
10749     1997-12-18     1997-12-19     Jade                  Shepard               USA                 
10309     1996-10-17     1996-10-23     Jonathan              Stone                 USA                 
10380     1997-01-09     1997-01-16     Bob                   Pena                  USA                 
10687     1997-10-28     1997-10-30     Barbara               Reid                  USA                 
10433     1997-03-03     1997-03-04     Daniel                Pearson               USA                 
10828     1998-01-27     1998-02-04     Kristina              Thompson              USA                 
