CustomerState;CustomerSurname;CustomerFirstname;NumberOfTransactions;MinAmount;MaxAmount;AverageAmount;SumOfAmounts
Alabama;Abramowitz;Jed;5;388.69;879.36;598.11;2990.54
Alabama;Abravaya;Jacqeline;3;414.46;706.21;565.67;1697.02
Alabama;Ackerman;Vallyn;5;278.64;672.77;521.97;2609.83
Alabama;Addante;Jodan;4;92.57;981.82;557.78;2231.13
Alabama;Alarid;Eleanor;6;150.77;953.61;417.11;2502.66
Alabama;Alcon;Hana;5;64.62;582.02;314.59;1572.93
Alabama;Allred;Myrtle;1;240.74;240.74;240.74;240.74
Alabama;Almeida;Shaneen;5;157.20;631.38;397.85;1989.24
Alabama;Almond;Celine;4;200.23;878.97;545.52;2182.06
Alabama;Aluyen;Suzann;9;164.44;773.58;516.77;4650.92
Alabama;Andal;Charlene;5;148.98;823.14;396.25;1981.24
Alabama;Angel;Raymond;5;29.34;640.70;310.65;1553.26
Alabama;Angella;Carrie;3;347.67;855.68;532.91;1598.73
Alabama;Annunciation;Linda;8;28.22;940.40;559.66;4477.28
Alabama;Antonucci;Kimberley;4;501.10;813.42;655.50;2622.01
Alabama;Aochi;Steven;5;139.16;802.31;472.38;2361.92
Alabama;Archibald;Keren;8;88.66;996.99;440.57;3524.56
Alabama;Ardon;Kimbra;12;50.95;956.04;485.21;5822.50
Alabama;Arevalo;Minerva;5;215.11;732.92;442.09;2210.47
Alabama;Armees;Otis;5;22.37;862.86;450.06;2250.31
Alabama;Armistead;Cathie;6;272.33;912.90;706.82;4240.92
Alabama;Arrowsmith;Carmenia;2;277.92;768.22;523.07;1046.14
Alabama;Artman;Melissa;6;59.14;849.33;521.65;3129.88
Alabama;Asfaha;Sarita;6;299.00;801.00;547.40;3284.37
Alabama;Ask;Sange;6;66.49;528.59;279.34;1676.02
Alabama;Asmundstad;Charleen;3;210.17;410.81;331.42;994.27
Alabama;Bagdis;R. Kay;7;174.17;880.19;478.54;3349.76
Alabama;Bagwell;Jamie;8;180.08;894.87;413.53;3308.27
Alabama;Balestrieri;Jared;4;590.03;925.22;744.32;2977.29
Alabama;Ballantine;Guadalupe (Lou);7;170.84;977.70;518.24;3627.70
Alabama;Barajas;Miriam;3;44.55;946.72;504.29;1512.88
Alabama;Bardwell;Larrie;3;77.90;695.16;323.70;971.09
Alabama;Barker;Otis;6;157.53;832.80;540.41;3242.49
Alabama;Barlow;Esmeralda;2;455.84;914.93;685.38;1370.77
Alabama;Barstad;Cleo;9;32.45;932.43;399.19;3592.69
Alabama;Barta;Johann;8;307.87;975.14;590.10;4720.78
Alabama;Bastrana;Pam;5;71.63;500.06;195.27;976.35
Alabama;Batuello;Tranquilino;4;154.87;897.37;403.67;1614.69
Alabama;Baugh;Everrett;3;235.36;754.43;455.50;1366.51
Alabama;Bay;Arabelle;5;217.26;911.43;554.50;2772.48
Alabama;Beard;Deirdre Susan;14;20.23;859.97;413.58;5790.17
Alabama;Belleci;Garrett;7;142.09;974.93;549.13;3843.88
Alabama;Belleci;M. Diann;8;67.86;944.41;678.02;5424.15
Alabama;Benefiel;Salome;3;56.62;791.57;456.36;1369.09
Alabama;Besse;Fabian;2;572.29;586.91;579.60;1159.20
Alabama;Beyer;Larasa;3;42.60;408.05;205.40;616.19
Alabama;Blalock;Oran;4;227.01;642.32;463.00;1852.00
Alabama;Bogott;Carolyne;11;41.49;946.24;534.61;5880.67
Alabama;Bonneville;Jeannine;4;20.23;465.82;260.17;1040.67
Alabama;Borders;Felicidad;7;61.87;959.65;484.89;3394.23
Alabama;Bowles;Abbie;4;80.74;945.37;507.61;2030.42
Alabama;Boxell;Ewing;6;109.89;911.97;608.92;3653.50
Alabama;Boydstun;Roxanne;6;78.70;759.80;520.27;3121.60
Alabama;Bradbrook;Fereshteh;5;587.80;812.98;706.80;3533.99
Alabama;Bradshaw, Jr.;Sarita;4;174.50;348.12;245.84;983.38
Alabama;Branagh;Sara;4;94.12;941.68;625.96;2503.84
Alabama;Brannon;Roselinda;3;74.48;861.18;524.24;1572.71
Alabama;Bratset;Tiara;4;136.10;861.77;565.88;2263.50
Alabama;Brauner;Claire;8;50.06;799.70;408.28;3266.28
Alabama;Braunstein;Loraine;10;30.65;945.42;502.23;5022.35
Alabama;Brazelton;Dell;1;507.91;507.91;507.91;507.91
Alabama;Brescia;J. Ryan;8;162.40;942.55;577.16;4617.30
Alabama;Brice;Ezelle;5;235.65;871.51;636.30;3181.51
Alabama;Briganti;Kathleen (Kay);8;106.81;964.26;621.36;4970.86
Alabama;Brockett;J. Scott;7;187.30;931.59;531.12;3717.82
Alabama;Broxton;Lydia;7;134.06;939.61;423.37;2963.57
Alabama;Broyles;Cleo;1;806.68;806.68;806.68;806.68
Alabama;Brumback;Melba;4;318.42;896.08;500.35;2001.40
Alabama;Brumfiled;Luella;5;45.15;646.65;339.19;1695.94
Alabama;Bryans;Silvia;8;55.77;979.43;579.62;4637.00
Alabama;Burbige;Gen;4;160.90;857.36;405.62;1622.49
Alabama;Burbige;Hedeliza;2;577.75;924.38;751.07;1502.13
Alabama;Burgh;Ronan;6;153.58;818.58;540.70;3244.21
Alabama;Burkamp;Naoma;7;107.19;864.47;442.75;3099.24
Alabama;Burriss;Angelina;7;22.12;989.98;476.16;3333.10
Alabama;Bussell;Lyle;8;295.58;897.54;667.66;5341.28
Alabama;Butler, Jr.;Holly;3;115.57;457.15;280.60;841.79
Alabama;Butterfield;Florianne;7;25.19;997.40;459.22;3214.54
Alabama;Caldara;Suzanna;3;443.03;923.57;727.50;2182.49
Alabama;Camacho;Veena;3;347.06;628.90;521.18;1563.53
Alabama;Cammon;Morris;4;528.08;921.16;797.59;3190.36
Alabama;Cantos;Sergio;6;117.18;873.27;420.38;2522.30
Alabama;Caputo;Pauline;11;53.10;991.10;372.08;4092.88
Alabama;Caputo;W. Michael;1;380.34;380.34;380.34;380.34
Alabama;Carara;Charlemagne;5;297.98;943.18;732.69;3663.46
Alabama;Caras;Benny;5;84.15;847.29;458.61;2293.05
Alabama;Carbajel, Jr.;Gracia;5;208.29;932.78;607.35;3036.74
Alabama;Carlozzi;Herb;3;325.99;858.45;606.29;1818.87
Alabama;Carpio;Jenni;10;33.14;886.42;413.09;4130.91
Alabama;Cary;Jacquie;2;572.04;634.60;603.32;1206.64
Alabama;Casson;Nila;5;137.22;716.28;367.54;1837.70
Alabama;Castandeda;Fabian;4;84.32;926.78;327.63;1310.51
Alabama;Cathcart;Lucile;5;23.78;432.87;245.27;1226.35
Alabama;Caudill;Hiram;7;48.86;845.69;295.10;2065.69
Alabama;Cavett;Luanne;5;157.81;739.57;422.46;2112.31
Alabama;Cavett;Shelby;2;348.65;634.03;491.34;982.68
Alabama;Cellini;Lon;7;276.85;950.38;703.27;4922.91
Alabama;Celosse;Denyse;3;105.18;462.76;331.42;994.25
Alabama;Chiero;Kathy;6;115.99;633.21;325.35;1952.12
Alabama;Chilcott;Reinhold;3;82.30;404.05;273.48;820.45
Alabama;Christensen;Dominique;4;404.73;826.26;613.20;2452.80
Alabama;Christiansen;Herbert;6;109.01;767.31;458.69;2752.15
Alabama;Claggett;Magdalena;4;629.67;979.03;720.52;2882.08
Alabama;Clarkin;Baha;8;79.13;855.94;473.27;3786.14
Alabama;Clem;Debora;8;201.14;961.06;598.59;4788.71
Alabama;Clendenen;Marty;6;162.67;945.23;494.85;2969.07
Alabama;Clifford;Reva;8;133.65;674.86;374.36;2994.88
Alabama;Cocadiz;Marla;1;754.83;754.83;754.83;754.83
Alabama;Cogburn;Josef;5;252.77;949.03;713.17;3565.84
Alabama;Coke;Jolene;4;78.45;433.40;255.03;1020.10
Alabama;Conness;Teel;2;653.87;825.87;739.87;1479.74
Alabama;Consentino;Foster;3;592.81;824.38;692.62;2077.87
Alabama;Cordes;Magdalena;7;245.96;914.03;609.78;4268.43
Alabama;Cortessis;Rocky;3;156.80;557.14;290.74;872.23
Alabama;Creech;Emyril;2;125.04;516.73;320.88;641.77
Alabama;Crill;Nelson;4;395.85;988.18;598.04;2392.18
Alabama;Crotto;Marvin;3;46.84;843.11;438.02;1314.06
Alabama;Crowe;Hal;3;214.93;667.39;441.62;1324.87
Alabama;Crowell;Bunny;5;254.43;533.85;378.31;1891.55
Alabama;Cummins;Selene;6;229.34;989.05;628.77;3772.63
Alabama;Daghlian;Shanay;2;746.36;840.92;793.64;1587.28
Alabama;Dailey;Shelby;4;57.03;593.12;381.08;1524.31
Alabama;Damore;Bertil;5;39.90;769.64;470.33;2351.64
Alabama;Davelis;Myles;3;38.64;995.93;464.22;1392.67
Alabama;De Gree;Taylor;8;125.89;995.47;514.25;4113.97
Alabama;Deacon;Janine;10;194.69;819.62;578.59;5785.88
Alabama;Delhay;Shari;6;491.41;963.28;675.71;4054.26
Alabama;Dephillipo;Shyla;7;28.79;949.49;462.06;3234.44
Alabama;Devalois;Ariel;6;371.48;832.37;609.54;3657.24
Alabama;Dewberry;Chevalle;4;101.41;655.36;390.78;1563.10
Alabama;Diehl, Jr.;Allison;5;111.62;906.55;648.28;3241.40
Alabama;Dittmar;Pacita;2;249.43;787.17;518.30;1036.60
Alabama;Eberhart;Herold;4;238.77;748.51;496.50;1985.99
Alabama;Elmore;Lyla;4;188.46;530.88;373.44;1493.74
Alabama;Emanuele;Ernie;4;145.98;824.89;463.24;1852.94
Alabama;Emory;Lemoyne;1;809.93;809.93;809.93;809.93
Alabama;England;Andrea;4;298.31;992.20;596.16;2384.64
Alabama;Engstrom;Shaneen;8;103.51;956.48;498.05;3984.37
Alabama;Ernst;Marcial;5;80.88;660.07;245.58;1227.88
