EmployeeSurname;EmployeeFirstname;CustomerState;NumberOfTransactions;MinAmount;MaxAmount;AverageAmount;SumOfAmounts
Aggson;Agnes;Alabama;7;269.56;933.97;563.51;3944.54
Aggson;Agnes;Alaska;13;56.55;886.55;443.36;5763.73
Aggson;Agnes;Arizona;5;48.24;649.54;369.71;1848.56
Aggson;Agnes;Arkansas;14;41.34;781.52;452.84;6339.73
Aggson;Agnes;California;11;151.33;886.22;556.28;6119.10
Aggson;Agnes;Colorado;10;56.02;995.54;590.36;5903.57
Aggson;Agnes;Connecticut;8;87.20;756.14;378.04;3024.29
Aggson;Agnes;Delaware;5;136.42;819.58;409.99;2049.95
Aggson;Agnes;Florida;15;117.39;951.95;500.41;7506.14
Aggson;Agnes;Georgia;6;56.30;970.22;530.62;3183.72
Aggson;Agnes;Hawaii;8;21.02;897.91;402.40;3219.23
Aggson;Agnes;Idaho;12;46.84;841.80;395.86;4750.35
Aggson;Agnes;Illinois;5;449.78;925.17;693.38;3466.90
Aggson;Agnes;Indiana;12;23.40;962.84;437.27;5247.23
Aggson;Agnes;Iowa;11;112.87;974.27;519.29;5712.14
Aggson;Agnes;Kansas;8;159.86;696.97;442.66;3541.27
Aggson;Agnes;Kentucky;12;76.70;880.46;456.12;5473.45
Aggson;Agnes;Louisiana;15;140.10;965.82;563.66;8454.88
Aggson;Agnes;Maine;11;208.89;940.53;566.04;6226.41
Aggson;Agnes;Maryland;6;47.45;956.45;607.20;3643.20
Aggson;Agnes;Massachusetts;9;362.51;959.65;638.40;5745.63
Aggson;Agnes;Michigan;17;33.58;992.81;443.19;7534.25
Aggson;Agnes;Minnesota;8;53.70;968.38;447.57;3580.54
Aggson;Agnes;Mississippi;14;96.78;947.82;605.15;8472.16
Aggson;Agnes;Missouri;7;36.16;773.95;320.15;2241.08
Aggson;Agnes;Montana;17;46.98;962.86;619.63;10533.67
Aggson;Agnes;Nebraska;3;59.30;877.09;493.03;1479.10
Aggson;Agnes;Nevada;10;50.14;863.38;370.20;3702.00
Aggson;Agnes;New Hampshire;9;440.72;958.01;718.14;6463.24
Aggson;Agnes;New Jersey;17;52.25;937.72;456.94;7767.93
Aggson;Agnes;New Mexico;12;86.21;892.59;484.16;5809.88
Aggson;Agnes;New York;9;131.66;705.06;448.22;4034.00
Aggson;Agnes;North Carolina;11;42.14;934.84;602.11;6623.20
Aggson;Agnes;North Dakota;6;85.69;983.16;526.80;3160.82
Aggson;Agnes;Ohio;11;82.87;949.81;471.53;5186.87
Aggson;Agnes;Oklahoma;9;99.63;879.87;515.26;4637.35
Aggson;Agnes;Oregon;10;180.83;998.48;484.00;4840.05
Aggson;Agnes;Pennsylvania;8;121.66;772.34;389.87;3118.99
Aggson;Agnes;Rhode Island;22;150.53;980.95;607.25;13359.46
Aggson;Agnes;South Carolina;12;70.95;830.97;507.54;6090.44
Aggson;Agnes;South Dakota;16;84.48;926.59;495.35;7925.65
Aggson;Agnes;Tennessee;9;316.64;994.40;607.71;5469.41
Aggson;Agnes;Texas;7;171.20;964.92;482.99;3380.95
Aggson;Agnes;Utah;8;31.73;859.69;440.04;3520.34
Aggson;Agnes;Vermont;10;61.99;855.42;548.84;5488.39
Aggson;Agnes;Virginia;8;243.92;751.99;502.39;4019.14
Aggson;Agnes;Washington;7;89.69;924.41;551.41;3859.89
Aggson;Agnes;West Virginia;7;27.11;623.92;349.48;2446.35
Aggson;Agnes;Wisconsin;15;109.67;995.04;668.94;10034.09
Aggson;Agnes;Wyoming;7;34.04;768.34;372.27;2605.92
Aiell;Anne;Alabama;13;116.24;870.23;566.05;7358.68
Aiell;Anne;Alaska;9;137.84;889.74;602.59;5423.33
Aiell;Anne;Arizona;6;68.86;798.24;404.70;2428.22
Aiell;Anne;Arkansas;12;34.36;749.88;324.06;3888.77
Aiell;Anne;California;7;66.86;838.50;546.88;3828.14
Aiell;Anne;Colorado;8;174.10;987.66;584.57;4676.53
Aiell;Anne;Connecticut;12;29.74;919.65;422.32;5067.84
Aiell;Anne;Delaware;10;118.68;921.69;635.51;6355.06
Aiell;Anne;Florida;9;346.37;948.26;674.84;6073.52
Aiell;Anne;Georgia;5;375.39;944.61;600.03;3000.15
Aiell;Anne;Hawaii;11;145.40;994.92;597.14;6568.59
Aiell;Anne;Idaho;5;654.27;953.03;791.50;3957.49
Aiell;Anne;Illinois;9;255.53;912.38;551.27;4961.43
Aiell;Anne;Indiana;11;74.50;860.37;417.64;4594.05
Aiell;Anne;Iowa;11;122.55;952.64;551.29;6064.23
Aiell;Anne;Kansas;9;288.63;982.49;613.01;5517.06
Aiell;Anne;Kentucky;8;376.90;984.17;684.53;5476.25
Aiell;Anne;Louisiana;10;100.50;932.29;490.81;4908.11
Aiell;Anne;Maine;14;250.42;986.32;706.30;9888.24
Aiell;Anne;Maryland;4;27.69;833.64;516.34;2065.37
Aiell;Anne;Massachusetts;6;76.05;873.95;461.65;2769.91
Aiell;Anne;Michigan;19;43.48;913.42;400.96;7618.20
Aiell;Anne;Minnesota;8;251.59;971.31;533.11;4264.90
Aiell;Anne;Mississippi;4;212.30;950.55;502.31;2009.26
Aiell;Anne;Missouri;7;67.89;971.21;487.50;3412.48
Aiell;Anne;Montana;4;42.13;680.03;415.38;1661.52
Aiell;Anne;Nebraska;12;20.48;855.98;413.11;4957.31
Aiell;Anne;Nevada;6;43.72;885.02;532.33;3194.01
Aiell;Anne;New Hampshire;10;41.99;939.81;576.33;5763.28
Aiell;Anne;New Jersey;16;32.14;962.79;540.90;8654.42
Aiell;Anne;New Mexico;9;56.82;983.06;340.85;3067.62
Aiell;Anne;New York;15;39.99;968.47;360.37;5405.59
Aiell;Anne;North Carolina;9;91.05;936.07;505.18;4546.58
Aiell;Anne;North Dakota;11;97.73;858.35;468.58;5154.41
Aiell;Anne;Ohio;13;55.04;874.32;335.97;4367.62
Aiell;Anne;Oklahoma;9;106.22;975.52;451.79;4066.14
Aiell;Anne;Oregon;13;86.68;893.45;414.37;5386.85
Aiell;Anne;Pennsylvania;18;29.07;939.14;527.54;9495.72
Aiell;Anne;Rhode Island;12;83.18;920.60;494.58;5934.92
Aiell;Anne;South Carolina;19;74.02;989.57;556.81;10579.34
Aiell;Anne;South Dakota;14;71.80;808.83;384.75;5386.52
Aiell;Anne;Tennessee;7;29.83;680.64;421.39;2949.73
Aiell;Anne;Texas;12;81.75;998.63;544.96;6539.49
Aiell;Anne;Utah;8;96.50;883.34;408.80;3270.36
Aiell;Anne;Vermont;8;272.76;783.18;483.75;3870.03
Aiell;Anne;Virginia;4;612.12;889.70;760.79;3043.14
Aiell;Anne;Washington;6;167.15;869.60;459.02;2754.13
Aiell;Anne;West Virginia;10;35.42;815.07;348.33;3483.29
Aiell;Anne;Wisconsin;6;238.89;938.19;582.10;3492.63
Aiell;Anne;Wyoming;9;60.96;812.03;411.13;3700.13
Alipranti;Rosemary;Alabama;8;94.12;922.92;483.03;3864.25
Alipranti;Rosemary;Alaska;11;39.41;947.64;596.60;6562.58
Alipranti;Rosemary;Arizona;6;58.39;634.87;397.21;2383.26
Alipranti;Rosemary;Arkansas;12;180.15;982.99;591.71;7100.51
Alipranti;Rosemary;California;9;185.94;958.30;640.28;5762.51
Alipranti;Rosemary;Colorado;9;71.89;630.26;352.64;3173.73
Alipranti;Rosemary;Connecticut;9;101.49;679.55;417.09;3753.83
Alipranti;Rosemary;Delaware;16;28.66;819.57;523.38;8374.07
Alipranti;Rosemary;Florida;8;86.29;967.09;413.96;3311.66
Alipranti;Rosemary;Georgia;12;42.94;985.15;513.77;6165.28
Alipranti;Rosemary;Hawaii;14;37.93;970.46;594.60;8324.38
Alipranti;Rosemary;Idaho;8;31.19;943.91;526.12;4209.00
Alipranti;Rosemary;Illinois;11;56.21;969.08;530.20;5832.23
Alipranti;Rosemary;Indiana;10;53.77;972.64;349.31;3493.13
Alipranti;Rosemary;Iowa;9;72.59;911.64;578.38;5205.40
Alipranti;Rosemary;Kansas;12;122.04;916.51;533.22;6398.65
Alipranti;Rosemary;Kentucky;7;294.90;693.48;525.21;3676.49
Alipranti;Rosemary;Louisiana;8;78.81;719.40;462.16;3697.28
Alipranti;Rosemary;Maine;16;41.23;946.98;487.03;7792.42
Alipranti;Rosemary;Maryland;12;26.80;913.40;393.43;4721.16
Alipranti;Rosemary;Massachusetts;13;141.17;943.05;538.31;6998.02
Alipranti;Rosemary;Michigan;10;123.14;939.86;503.75;5037.47
Alipranti;Rosemary;Minnesota;15;115.29;973.65;445.67;6685.12
Alipranti;Rosemary;Mississippi;5;56.97;965.42;538.25;2691.26
Alipranti;Rosemary;Missouri;8;35.13;799.47;312.33;2498.67
Alipranti;Rosemary;Montana;9;276.31;992.49;586.87;5281.84
Alipranti;Rosemary;Nebraska;12;20.77;946.03;504.71;6056.55
Alipranti;Rosemary;Nevada;8;56.95;751.63;354.12;2832.93
Alipranti;Rosemary;New Hampshire;11;60.07;676.74;401.66;4418.29
Alipranti;Rosemary;New Jersey;4;196.87;459.23;296.48;1185.94
Alipranti;Rosemary;New Mexico;17;82.74;953.35;464.32;7893.51
Alipranti;Rosemary;New York;4;65.45;743.85;530.83;2123.33
Alipranti;Rosemary;North Carolina;14;23.54;982.99;516.75;7234.48
Alipranti;Rosemary;North Dakota;11;57.19;997.05;635.37;6989.12
Alipranti;Rosemary;Ohio;9;124.52;954.74;472.20;4249.76
Alipranti;Rosemary;Oklahoma;11;93.77;993.38;594.22;6536.39
Alipranti;Rosemary;Oregon;13;62.30;943.78;491.18;6385.37
Alipranti;Rosemary;Pennsylvania;11;220.57;998.49;641.55;7057.05
Alipranti;Rosemary;Rhode Island;12;238.77;945.63;566.55;6798.59
Alipranti;Rosemary;South Carolina;7;219.56;925.60;569.61;3987.26
Alipranti;Rosemary;South Dakota;16;50.06;999.30;534.06;8544.88
Alipranti;Rosemary;Tennessee;8;83.34;792.01;353.11;2824.87
Alipranti;Rosemary;Texas;13;134.28;992.31;669.88;8708.45
Alipranti;Rosemary;Utah;8;33.15;986.34;510.99;4087.95
Alipranti;Rosemary;Vermont;11;118.19;834.15;533.97;5873.69
Alipranti;Rosemary;Virginia;7;33.38;825.61;401.83;2812.80
Alipranti;Rosemary;Washington;10;36.06;993.17;360.09;3600.90
Alipranti;Rosemary;West Virginia;11;47.89;953.63;458.88;5047.70
Alipranti;Rosemary;Wisconsin;4;253.59;762.74;550.09;2200.36
Alipranti;Rosemary;Wyoming;12;32.49;974.95;456.91;5482.92
Arteaga;Sarah;Alabama;9;202.76;747.16;501.39;4512.54
Arteaga;Sarah;Alaska;11;69.10;976.03;522.25;5744.71
Arteaga;Sarah;Arizona;11;98.28;969.92;561.65;6178.10
Arteaga;Sarah;Arkansas;12;80.27;992.23;622.41;7468.98
Arteaga;Sarah;California;7;367.58;905.15;614.90;4304.32
Arteaga;Sarah;Colorado;14;48.88;975.86;579.28;8109.92
Arteaga;Sarah;Connecticut;6;94.75;888.67;348.17;2089.04
Arteaga;Sarah;Delaware;11;178.35;947.13;652.36;7175.97
Arteaga;Sarah;Florida;8;110.07;792.03;401.58;3212.62
Arteaga;Sarah;Georgia;9;154.80;903.17;540.60;4865.40
Arteaga;Sarah;Hawaii;5;47.29;741.95;329.84;1649.19
Arteaga;Sarah;Idaho;6;275.19;927.77;629.68;3778.09
Arteaga;Sarah;Illinois;6;249.40;949.10;636.35;3818.08
Arteaga;Sarah;Indiana;14;28.02;987.36;522.94;7321.19
Arteaga;Sarah;Iowa;11;104.67;963.88;470.01;5170.16
Arteaga;Sarah;Kansas;8;87.60;969.42;486.09;3888.72
Arteaga;Sarah;Kentucky;11;33.78;945.16;444.38;4888.21
Arteaga;Sarah;Louisiana;5;103.37;969.46;516.20;2580.99
Arteaga;Sarah;Maine;11;350.66;970.94;647.99;7127.84
Arteaga;Sarah;Maryland;15;69.14;929.87;394.62;5919.37
Arteaga;Sarah;Massachusetts;8;298.57;907.80;566.28;4530.26
Arteaga;Sarah;Michigan;15;44.08;924.03;614.08;9211.17
Arteaga;Sarah;Minnesota;10;125.04;965.23;641.49;6414.88
Arteaga;Sarah;Mississippi;8;110.87;964.25;489.17;3913.33
Arteaga;Sarah;Missouri;11;23.19;888.50;522.20;5744.23
Arteaga;Sarah;Montana;8;35.76;770.95;243.46;1947.70
Arteaga;Sarah;Nebraska;13;82.82;982.33;500.69;6508.91
Arteaga;Sarah;Nevada;10;126.61;919.10;488.22;4882.23
Arteaga;Sarah;New Hampshire;16;53.32;871.31;527.88;8446.09
Arteaga;Sarah;New Jersey;7;74.61;544.71;313.00;2190.98
Arteaga;Sarah;New Mexico;18;125.56;977.41;496.88;8943.85
Arteaga;Sarah;New York;6;79.90;761.93;536.42;3218.49
Arteaga;Sarah;North Carolina;9;265.12;934.44;563.09;5067.77
