FIRST_NAME;LAST_NAME;CUSTOMER_NUMBER;EMAIL;STREET_ADDRESS;ZIP_CODE;CITY
Lyndon;Buchanan;34;lyndon.buchanan@host.com;South Highway;35461;Topeka
Herbert;Harrison;35;herbert.harrison@host.com;North Ventu Park Road;38864;Dover
Richard;Harding;36;richard.harding@host.com;Pacific Hwy S;44197;Lincoln
Grover;Harding;37;grover.harding@host.com;South Highway;26740;Atlanta
Chester;Grant;38;chester.grant@host.com;Fairview Avenue;38059;Trenton
Andrew;Wilson;39;andrew.wilson@host.com;Moreno Drive;56193;Jackson
William;Jackson;40;william.jackson@host.com;Via Real;83688;Atlanta
William;Hoover;41;william.hoover@host.com;Camelback Rd;72393;Richmond
Herbert;Lincoln;42;herbert.lincoln@host.com;Lawrenceville Suwanee;36080;Concord
Harry;Quincy;43;harry.quincy@host.com;Milpas Street;26459;Boston
Harry;Fillmore;44;harry.fillmore@host.com;Santa Monica Road;82049;Juneau
Richard;Harrison;45;richard.harrison@host.com;Cleveland Ave.;55054;Phoenix
Andrew;Garfield;46;andrew.garfield@host.com;Jean de la Fontaine;32670;Phoenix
Calvin;Adams;47;calvin.adams@host.com;Burnett Road;35488;Augusta
Calvin;Monroe;48;calvin.monroe@host.com;East 1st Street;84702;Saint Paul
Jimmy;Eisenhower;49;jimmy.eisenhower@host.com;N Harrison St;32849;Juneau
Ronald;Cleveland;50;ronald.cleveland@host.com;San Diego Freeway;54731;Nashville
