id|first_name|last_name|date_of_birth|street|city|zip|country|phone1|phone2|email
1|Asher|Walker|29.01.2014|792-9039 Donec Rd.|Sant'Elena|67766-839|Sri Lanka|273385783||awalker@example.com
2|Merritt|Dalton|05/03/1963|1573 Semper Rd.|San Cristóbal de la Laguna|54746|Uganda|576938859||mdalton@example.com
3|Nehru|Gardner|31/03/1975|P.O. Box 411, 6939 Nec, Road|San Cesario di Lecce|2978|Malawi|347876422||nehru@example.com
4|Nyssa|Orr|11/01/1959|Ap #648-9316 Rhoncus. Rd.|Anthisnes|28374|Austria|566322346||nyssa.orr@example.com
5|Xenos|Petersen|14/05/1987|248-9254 Proin Rd.|Cariboo Regional District|64462-925||1 (228) 485 1412||xenos@example.com
6|Camille|Collins|02/05/1972|169-7192 Adipiscing Road|Shepparton|30217|Guernsey||864457463|c.collins@example.com
7|Nomlanga|Mcdaniel|06/03/1985|P.O. Box 380, 9044 Non, St.|San Luca|63566|Bahrain|no phone||nickname@example.com
8|Rooney|Mccoy|23/02/1951|P.O. Box 714, 5096 Nunc St.|Ribnitz-Damgarten|64784|Algeria|1 (817) 682 4000||mccoy@example.com
9|Jaden|Guerra|24/12/1968|Ap #299-8998 Interdum. Street|Milazzo|aaaaaa|Grenada|222515827||jaden22@example.com
10|Lavinia|Horton|23/07/1990|1229 Lectus Road|Bautzen|37601|Korea, South|500294847||lhorton@example.com
11|Brady|Durham|22/11/2002|833-7950 Et, St.|Sheffield|1201|Benin|||brady@example.com
12|Hamish|Garcia|25/02/1982|8722 Sed, Rd.|Torrevecchia Teatina|11179|Guinea|911235837||h.garcia@example.com
13|Alika|Buchanan|23/06/1978|Ap #398-2554 Nullam Street|Beaumaris|85274|Kiribati||1 (938) 997 4923|buchanan@example.com
14|Constance|Hurst|16/12/1961|2401 Morbi St.|Villanova d'Albenga|50203|Sweden|221348348||hurst@example.com
15|Jaden|Stone|11/06/1964|6842 Tincidunt Street|Tarzo|9351|Nicaragua|123456789||stonej@example.com
16|Ingrid|Summers|20/02/1954|956-1572 Id Street|Rhemes-Notre-Dame|5717XS|Canada|1 (605) 834 2340||ingrid summers@some-hosting.com
17|||20/06/1975|7641 Turpis St.|Cagliari|04201|Lesotho|1 (480) 556 3308||hidden@example.com
18|Oren|Hudson|16/01/1969|6054 Cras Ave|Villafranca d'Asti|19152|India|568235789|722356123|oren@example.com
19|Irma|Holt|26/04/1983|265-1420 Ipsum Street|Mata de Plátano|1225|Colombia|1 (762) 562 3865||holt@example.com
20|Katell|Patton|03/10/1987|P.O. Box 352, 9314 Tortor. Ave|Rhemes-Saint-Georges|08088|Central African Republic|1 (567) 714 0537||katell.patton@example.com
