customerid;firstname;lastname;city;state;country;username;password;age;income;gender
14;DARAQS;AANOLPUJWT;KBAOFEO;AL;US;user4374;password;44;20000;F
35;VGKBQE;ABHHXZRBRV;UVULNUT;AL;US;user8392;password;22;80000;M
93;WIAJHC;ADFBFLGVKT;AXKBOGN;AL;US;user463;password;37;60000;F
94;WHSIUR;ADFILNYKKW;VSSVEPH;AL;US;user241;password;58;20000;F
119;CDGFWF;AEADILKAGE;USUPIIT;AL;US;user8458;password;56;80000;F
194;HVKXDK;AGEEOWMRGY;JCHKGQW;AL;US;user8201;password;71;100000;M
235;AWFGST;AHOZWRPSTB;NWARHDQ;AL;US;user9579;password;28;20000;F
314;PAXGHJ;AKPBTZWLIF;EMRDOSX;AL;US;user8009;password;89;100000;F
476;PWZBMU;AQFHIGOFCT;NTMOTBB;AL;US;user1699;password;49;60000;F
834;VYXCFZ;BCKIOHHQHH;QWGUVNG;AL;US;user2715;password;47;60000;M
837;SPFEJM;BCPOUEEEVO;SQUIMQL;AL;US;user2557;password;65;60000;M
882;YHGXOK;BEKWCPGUNQ;QMNJXSL;AL;US;user8670;password;65;100000;M
891;TIBSLB;BERPTDEKKT;FAJXWKS;AL;US;user580;password;67;20000;F
1237;HXJMRN;BRNTHLEYHX;XSMLPOS;AL;US;user5401;password;55;60000;M
1243;VAEKEB;BRSUDRSQNG;KKHWPPX;AL;US;user3773;password;53;100000;M
1435;OTCNSV;BXXGHCSDCV;WTHGRQG;AL;US;user7532;password;55;100000;F
1447;JKOHCX;BYHNRMULZD;UOPOVEZ;AL;US;user7990;password;79;40000;F
1458;MKUBOI;BYMKPMDZLE;PPKMMRX;AL;US;user6508;password;19;80000;F
1551;NQCBHR;CBPNKWZKRA;HYYJIQF;AL;US;user6122;password;81;20000;M
1742;ILOVKO;CJVJRDZNDZ;JGKADNU;AL;US;user2893;password;21;20000;F
1891;WIZGFD;CPBCDTZGTD;OUKPLXI;AL;US;user40;password;46;80000;F
2004;IGHGGA;CTFZZOKTVE;OYUJPCU;AL;US;user3721;password;85;80000;F
2093;CTMOKF;CWHVNHUAHO;VNYPHHX;AL;US;user9248;password;74;60000;F
2110;PCUXLO;CWWDPGIVEJ;VNRHXVC;AL;US;user1341;password;32;40000;M
2298;STDHJI;DDEXSAAHST;JHHLHVU;AL;US;user1034;password;57;20000;M
2336;NGIHCJ;DEPGWGTOSU;SEBQDBU;AL;US;user5126;password;76;40000;F
2633;JRFHPG;DOFJTZMPJL;IPCPNEF;AL;US;user3273;password;55;80000;M
2703;LGDVJI;DQUSRTDEFQ;HUVNZWK;AL;US;user639;password;42;60000;M
2766;ZHXAKE;DTELTASDHE;CGLQSCE;AL;US;user6770;password;75;40000;M
3134;TSHKCY;EFWBXMLHRY;COECRWI;AL;US;user3963;password;89;100000;F
3148;THRLEJ;EGHRHCOQSE;BQMJQVS;AL;US;user632;password;57;40000;F
3367;ALDBEH;ENFXTKNRMX;PVBYKXO;AL;US;user524;password;38;40000;F
3431;AUIWCP;EPHRYKCXSW;NUHZIXA;AL;US;user9449;password;86;40000;F
3474;YRTSLU;EQZETVBHYY;OCORQUX;AL;US;user7885;password;88;40000;M
3707;THKWYG;EZJCNTXQQZ;VYRMNGF;AL;US;user6580;password;55;20000;M
3789;MLDTDI;FCGVKXZCUF;YVZHSPB;AL;US;user4935;password;61;60000;M
3847;OEACTO;FDUABQOBKG;CDXKMLK;AL;US;user2487;password;64;40000;M
3973;EURWJH;FIDKBLHQVL;HUSROEN;AL;US;user8073;password;71;40000;M
4051;OLQZNN;FLCOWNDBSL;NAOOGYC;AL;US;user5876;password;23;80000;F
4345;JKSEEU;FTZJJVSVES;LYVZYUO;AL;US;user6679;password;20;80000;M
