customerid;firstname;lastname;city;state;country;username;password;age;income;gender
209;GGDTQJ;AGRBADJZES;CVYQFIT;AR;US;user9824;password;49;100000;M
279;AQXSCX;AJLNDYELVS;IMDUEZW;AR;US;user5589;password;60;80000;F
563;TBQLVL;ATDRKGYKJL;BYIXBHW;AR;US;user6526;password;35;80000;M
581;NHHPAJ;ATVLQUFEAU;JXCEKRS;AR;US;user7374;password;20;80000;F
776;WNZHQA;BAIPXGGQMC;KATPXIE;AR;US;user1388;password;43;100000;M
816;OOMXAL;BBQHIPIFLS;QCRMCPB;AR;US;user3143;password;20;40000;F
1053;FNYWIU;BKSCHABNGF;PMYHCJX;AR;US;user2053;password;88;100000;F
1070;DAHDQP;BLNRSOSLFC;LBIADHJ;AR;US;user1516;password;36;20000;F
1075;INHXNE;BLWFYLEAIF;ERUREDV;AR;US;user6634;password;87;20000;M
1209;XKNYQF;BQOSAMSNAB;OQUICYR;AR;US;user3520;password;49;20000;M
1376;YSGJFE;BWAPWHYOLI;ZXJGWJI;AR;US;user4501;password;60;100000;M
1404;GSPOPP;BXAKEIFKHO;SPTOABV;AR;US;user7335;password;81;80000;F
1568;RFAZYR;CCGRZRJBQD;YQWWEPD;AR;US;user345;password;75;60000;M
1619;SHACSE;CEBWJRAAJA;BTFXGJB;AR;US;user8191;password;60;80000;F
1622;WEVNOK;CEIHMOAZLN;LNDPFFE;AR;US;user638;password;63;80000;M
1836;RRHMBP;CNNUTHRDZU;BHNPHIW;AR;US;user8922;password;37;100000;F
1950;LZNYFP;CQVYPBBAKU;RWJQQDI;AR;US;user4611;password;60;20000;M
2064;YQDRXF;CVQJCDRTRX;TWAIRJB;AR;US;user1824;password;73;20000;F
2117;RWTTRV;CXEEBCGIXE;ZOROVWA;AR;US;user5209;password;67;20000;M
2200;DXCEFM;CZUFBAFCOQ;HXVLBYI;AR;US;user7683;password;27;40000;M
2291;ZWJMLT;DCZNCTTRRJ;TOQWADV;AR;US;user3127;password;24;60000;M
2355;FQVVGJ;DFKSCRUJCV;IFHVUNA;AR;US;user6644;password;73;40000;M
2423;DYVNCP;DHZVTSTDQM;UZLDZEJ;AR;US;user4422;password;23;60000;M
2494;NVTGOT;DKFJYJFWOF;OYKCNRV;AR;US;user314;password;67;60000;M
2515;CJVZGJ;DKTNQWTBFL;EIAXGBB;AR;US;user9498;password;68;80000;M
2587;GEVDYB;DMYRFLWTQT;XABYBYS;AR;US;user2208;password;40;60000;M
2721;JIUYHH;DRLFASBLZW;QQESXTN;AR;US;user9535;password;87;80000;F
2945;OZNXDR;DZESSGGCGT;RPEUIZD;AR;US;user6974;password;24;80000;M
3002;GEXCBM;EBNQXLEIEA;XVCJQFV;AR;US;user329;password;77;40000;M
3041;DHQIGW;ECSOMVRBYX;AZYPJNT;AR;US;user3404;password;21;80000;M
3080;FWSCUC;EEHKAFVKYS;YNVYFQM;AR;US;user1771;password;68;80000;F
3199;UFTWZJ;EHYSSYTSZT;GOLGYWJ;AR;US;user3439;password;29;20000;M
3298;ZYHILY;ELDBPYHTFD;XEHUUOK;AR;US;user1966;password;43;40000;M
3495;GLZLWE;ERMFJHXHIT;XOHUPQM;AR;US;user2024;password;89;40000;F
3593;KCTBYT;EVEORSUZPJ;YTAPSXL;AR;US;user6709;password;34;20000;M
3680;LDWNIN;EXYAQVGNOE;FCEGCAL;AR;US;user2759;password;80;60000;F
3812;FUIAFH;FDDYXEXXGC;RJFVUJE;AR;US;user7916;password;59;100000;F
3870;XPRMTH;FECLXRWDMH;RCJQOGW;AR;US;user2450;password;25;60000;M
4062;HMHTBN;FLMZXYRRDT;WTQRGCK;AR;US;user7985;password;19;60000;F
4198;HNCLBV;FPNTSZYEAI;ADDAJRU;AR;US;user3611;password;75;40000;M
4249;KHHGYJ;FRBSDKHXWQ;FTORQVK;AR;US;user112;password;37;40000;F
4441;VBOCKC;FXFHWOQOSD;BPRXVYY;AR;US;user1792;password;82;40000;M
4500;SRLXSF;FZTFWVDPPU;ZHXNREB;AR;US;user1785;password;22;40000;M
4809;NUSGKT;GLDAXQSAOX;ILIQGPR;AR;US;user2224;password;19;60000;M
4865;YKIRKT;GMULMJIMUT;ZAMVKTA;AR;US;user1869;password;84;100000;F
4986;CJTJXZ;GQRONFKBZA;YBLBKVX;AR;US;user9821;password;54;40000;F
4987;CIYMTE;GQWLVGAZVI;YABXXGE;AR;US;user9686;password;26;40000;F
5132;PBNGZM;GVOSYDSLXB;HHSYDIJ;AR;US;user3868;password;66;80000;M
5153;LKMJRQ;GWHUFNHKXR;IYBRITZ;AR;US;user2392;password;54;80000;F
5222;FTCIPO;GYPHGWAGYN;XWHOHIN;AR;US;user8257;password;64;20000;F
5278;XHNOAS;HAQGPESTCE;AZHINNG;AR;US;user3732;password;49;100000;F
5288;EIHCWZ;HAXXGWWITC;GDXWAGX;AR;US;user9961;password;58;20000;M
5443;UOVZGS;HGDDUANCTV;FDENWVM;AR;US;user4857;password;82;60000;M
5509;BUWMWT;HIFQESSESY;SJKUKHZ;AR;US;user401;password;72;100000;F
5574;EEXGMF;HKDUQZQGVM;EBUGHRP;AR;US;user5319;password;67;60000;M
5587;AMSHOQ;HKNDSUZNKQ;OXVEYGF;AR;US;user144;password;21;40000;F
5755;OGRSPB;HQFCGSMGHD;GMGPBDP;AR;US;user8450;password;75;40000;M
5799;BDTLZU;HRLYYVVISC;IISJUAP;AR;US;user7913;password;45;100000;M
5812;IEGYCC;HRXGTXKQHZ;JYKPKLA;AR;US;user6416;password;82;60000;M
5821;ICOAGZ;HSFFSYAXNU;DNLPNQF;AR;US;user9238;password;68;20000;M
5848;RQORAZ;HTBXRDWZHC;FRVRKVZ;AR;US;user1465;password;24;60000;M
5961;HVHBME;HYBMULXMSW;DFNDUBX;AR;US;user343;password;31;80000;M
6029;NSXVWC;CHIBINOUOK;VHOKVSR;AR;US;user5118;password;23;80000;M
6160;CWYFIE;IDRLTNBFWC;XDPZXAE;AR;US;user6259;password;39;40000;M
6265;FXSJIW;IGSFOLQWCK;RUEBEYK;AR;US;user6214;password;85;40000;F
6415;MKZYVI;ILGWQZQAFV;HSJOJNP;AR;US;user5451;password;33;40000;F
6428;TWGLPD;ILZLJDSISE;ALZFYWM;AR;US;user687;password;75;80000;M
6621;UAVPKF;ISCKJSIVPR;AKFHALH;AR;US;user1263;password;31;100000;M
6777;JXTZDW;IXKZGYLJPR;CHFRIJH;AR;US;user262;password;48;80000;M
