customerid;firstname;lastname;city;state;country;username;password;age;income;gender
17;RAYNQY;AAQDQKVTMW;ONAHTUE;CA;US;user1064;password;68;80000;F
52;TKEMQC;ABYHLMOWIK;MHBWOKN;CA;US;user5164;password;40;60000;M
262;WMMRUD;AIVESJXLPQ;YSBPMFT;CA;US;user6825;password;42;80000;F
274;WIXHFQ;AJFBNRETBU;ZBXLQLS;CA;US;user6196;password;22;20000;M
358;KXXVXA;AMEGZNPORQ;BWLGEJH;CA;US;user4665;password;79;80000;F
454;LMMTSD;APNALZXCII;MWAEPVT;CA;US;user2307;password;63;80000;M
502;WGVIWA;AQYSFDUHOP;MBSSUPW;CA;US;user205;password;79;40000;F
504;FZZLWA;ARAOHJMWXB;NZXTHNN;CA;US;user8363;password;19;20000;M
655;CSZQBB;AWDUXBZVBO;BQTTUCL;CA;US;user6148;password;78;20000;M
717;FJFPZT;AYIVXPPNRH;NWMCUHT;CA;US;user5132;password;62;80000;M
839;MYZBLI;BCPVSJFRPW;ZXRMUFW;CA;US;user8287;password;37;40000;F
974;WXXSJD;BHSHGKCVMY;NFFBMTC;CA;US;user2940;password;46;100000;F
1052;HESASA;BKSFWYBPCW;NDXQXZP;CA;US;user6393;password;55;100000;F
1078;CKZGSJ;BLXUJSEXIQ;CZIDXJK;CA;US;user951;password;36;100000;M
1179;BGTFXM;BPUSCYJXGZ;ZNCHMVE;CA;US;user4522;password;69;80000;M
1455;EUGOPP;BYLROPUKOQ;UWOTITM;CA;US;user2933;password;56;100000;M
1466;FDRABN;BYPFYJDLNV;FCQOMRJ;CA;US;user7445;password;30;60000;M
1470;EMMRHD;BYTIUKRRSP;KPHGSAP;CA;US;user7450;password;69;20000;M
1658;EUKPWV;CFTUPSTXXR;WVAUXFJ;CA;US;user709;password;49;60000;F
1743;SZKJIV;CJXAWMNSCF;RYQYRTQ;CA;US;user9161;password;52;40000;F
1854;YJXZXB;COADIUVYWW;GIGVSWG;CA;US;user9539;password;73;60000;M
1917;ELGKXT;CPXHXOTRKU;EQZGOXY;CA;US;user8175;password;67;60000;M
1955;DNQUWZ;CRBINYICCX;KAVLZON;CA;US;user5563;password;19;80000;M
2166;COELAR;CYTDCFLRIR;BMRIINX;CA;US;user7077;password;25;80000;M
2501;IYXXQB;DKKJUHSIGK;FXAKCXO;CA;US;user6938;password;23;40000;F
2695;ZYMMHB;DQNEBXLPWP;NVPXTSJ;CA;US;user908;password;85;100000;M
2898;JXVVEC;DXQDHFOFJA;UWYYFNV;CA;US;user9306;password;90;60000;F
2973;CDPXRT;EAHUDDGFFF;AXDYTRW;CA;US;user2666;password;68;100000;F
3011;LQEBGK;EBVBSSLFTT;UREXTHS;CA;US;user8239;password;26;40000;M
3254;NYRZCC;EJLETDARDG;PLFRIFO;CA;US;user1158;password;43;100000;M
3389;KGHRRS;ENVHUIJTKC;IVSPFTM;CA;US;user4246;password;70;100000;F
3396;RJCDMI;EOCCUWBVDI;NKLNQTW;CA;US;user6601;password;75;20000;F
3437;EELQHL;EPMOYYWLDT;RICFBAO;CA;US;user1985;password;73;60000;F
3479;QXWHHR;ERBOPAEXHI;ILCRRDE;CA;US;user8546;password;56;100000;F
3568;KAAXYC;EUKYUHIOUH;ISXIZUX;CA;US;user7193;password;60;20000;F
