customerid;firstname;lastname;city;state;country;username;password;age;income;gender
98;IPDDGT;ADGZNOZOAC;XAOYXQO;CO;US;user4023;password;40;20000;F
101;EVUXDL;ADJKDIKNOK;KVPKXZL;CO;US;user3934;password;23;80000;F
125;DFRGYB;AEHHEGFKOQ;FGYYWYE;CO;US;user6987;password;44;40000;F
129;USDPHZ;AEIRGYHUZX;KGXAFWU;CO;US;user5643;password;70;100000;F
158;SMAOFB;AFFCTVBIMN;XZPKVYK;CO;US;user1212;password;57;40000;F
192;VAWCEX;AGDCPNPNJZ;ORQOHFO;CO;US;user87;password;49;40000;M
237;ZWNKNO;AHQOVXEFNQ;GCNGPCS;CO;US;user9576;password;25;60000;M
332;IZLABL;ALEVUMLUIO;DKWEYVB;CO;US;user4946;password;61;100000;F
383;LVPGXE;AMWSPEATTS;JWWDTDX;CO;US;user9982;password;68;20000;F
796;QSMJKK;BBBTLIDCRD;NUFDJTX;CO;US;user6408;password;53;60000;F
815;QUCFPR;BBONCFWTGS;WOVUKQO;CO;US;user9909;password;26;20000;F
896;VORIUO;BEUSBRQFPO;BKQJFPQ;CO;US;user6426;password;39;40000;M
1010;NPGQFX;BIUHCHZDJZ;EIYCCDE;CO;US;user3380;password;80;20000;M
1101;ILWLVL;BMXLSGSIPA;IGIVMSP;CO;US;user8930;password;39;100000;M
1118;VTOGLE;BNMWEKURAD;HYMZHZP;CO;US;user7047;password;29;80000;F
1185;FOSGOP;BQABXGBFHX;WYSXLZF;CO;US;user1445;password;58;60000;M
1331;FOMWEO;BULFRCFRSP;XDBWUTV;CO;US;user2789;password;61;80000;M
1366;NXLRWA;BVMAKTCJML;NXQJGLX;CO;US;user5527;password;85;60000;F
1484;ATUEKA;BZIZLLSPBC;TTZYJAV;CO;US;user8059;password;74;20000;M
1513;SMYNTX;CAMBJORYSU;LZUTKSP;CO;US;user275;password;47;20000;M
1617;YZXUDS;CEBQLGCZOD;XBGQCKY;CO;US;user2736;password;69;20000;F
1682;ASRZYY;CGPTRYHHJC;NJFJSFN;CO;US;user2167;password;39;40000;F
1726;EIWBWW;CJKGLTTVSE;MRSPTXJ;CO;US;user6465;password;35;40000;F
1735;XKCFDM;CJPNRLONAE;FGUXUJX;CO;US;user5519;password;65;60000;M
1773;XYLRLV;CLENWPDJGU;VULHBHI;CO;US;user2359;password;56;60000;M
1798;WBBGKZ;CMEDFOLIZH;BUOBESP;CO;US;user3305;password;81;20000;F
1874;JWTUYO;COOMZPQLIY;IKABHJL;CO;US;user5317;password;51;100000;M
1877;GINFNS;COPPAXGYAV;CCNYLOB;CO;US;user3964;password;67;40000;M
1910;MJYBWD;CPSURGEOGP;QVHFXZI;CO;US;user4723;password;57;100000;M
2067;VGUHLK;CVQTZPVDOX;UJMVRQF;CO;US;user7559;password;85;60000;M
2086;JTPPTR;CWDKRRALDD;RHKPKYF;CO;US;user9493;password;33;40000;M
2255;SLENYL;DBQRUUFAYA;DSVEEDF;CO;US;user5408;password;39;60000;F
2446;HMIAQE;DIRJRRXJCG;USRBBCF;CO;US;user2156;password;82;60000;M
2547;SQNUKS;DLSXYXWQBW;PRTNCMW;CO;US;user772;password;19;20000;F
2563;NHYNZV;DMGZRWFJGF;TYZUJUL;CO;US;user2322;password;64;60000;F
2673;NQLPLT;DPLFOWGNTC;WKZHQZG;CO;US;user1871;password;47;60000;M
2807;PAZVJN;DUNATFAJNA;DVWVTNP;CO;US;user9571;password;79;80000;M
2968;OJITGR;EAGQYNPUWA;OBRCZWN;CO;US;user2974;password;53;100000;F
2969;NRWAAI;EAHAYJMSSZ;BGILHJN;CO;US;user8113;password;50;100000;M
3055;XVZQTU;EDBQXAAXNR;HBRXTQB;CO;US;user7024;password;46;20000;M
3117;HGZXQZ;EFKPRUSPTA;EQFCPTF;CO;US;user8722;password;49;20000;M
3365;OIHIWO;ENEWBYKGZE;LIINKRI;CO;US;user286;password;27;40000;F
3380;WCIAVX;ENOZSBYRGB;DBPUUTD;CO;US;user3119;password;22;100000;M
3525;UIHXNU;ETBVYQGKFM;GOCVXME;CO;US;user7391;password;68;40000;F
3550;QGNIRM;ETUDBPGJMQ;UPGSBGV;CO;US;user623;password;38;40000;M
3595;DUTMZA;EVFYXMQVEI;QBUOCIV;CO;US;user6685;password;85;100000;M
3706;AHXTNI;EZHADEOKMB;HYGPABN;CO;US;user8885;password;39;40000;F
3854;CYWPWR;FDXCLIFUGP;AUSDAKI;CO;US;user8062;password;80;100000;M
3897;GHTJXS;FFGYBBPGMT;GKUDRXN;CO;US;user9209;password;57;100000;F
4060;NPXIKQ;FLLKUHEZAF;WDRARHQ;CO;US;user9134;password;51;60000;M
4168;OFVJCO;FOOAQILMFA;BPOQCNI;CO;US;user7867;password;80;20000;F
4484;LOQLRL;FZDPCGGORR;OOYKOUP;CO;US;user3925;password;65;80000;M
4586;HXIXSY;GCSTPEAPVF;VUEQBRK;CO;US;user48;password;73;20000;F
4738;ABOBZQ;GIFWEAOSXF;ZSBSRRX;CO;US;user2872;password;57;80000;M
4739;AGEIQI;GIHJXPLIVV;KVHGPDL;CO;US;user882;password;83;80000;F
5075;GVZFEJ;GUDEFFMPIO;MJTOVOA;CO;US;user6096;password;52;40000;M
5253;PLDKHF;GZVCXNBNTN;CCUWTBJ;CO;US;user7169;password;55;40000;F
5339;DDAOMV;HCOETIEJXO;JOCJQZI;CO;US;user5610;password;60;80000;M
5426;FMRQSH;HFQWOFRLRY;OOROGVO;CO;US;user2074;password;80;20000;F
5462;QNLTUE;HGNPKSOSUA;AUVZDEM;CO;US;user5196;password;28;40000;F
5482;FLEEMZ;HHIACRJPZQ;ZYZURHU;CO;US;user3424;password;45;20000;M
5540;MAGCZD;HJCHLOOKIB;YJNNMIT;CO;US;user4052;password;19;60000;M
5578;YJAANW;HKHDHKBPUA;LXCECIN;CO;US;user8570;password;41;60000;M
