customerid;firstname;lastname;city;state;country;username;password;age;income;gender
70;AJIYBM;ACLGEXAFZJ;PPOIGRS;CT;US;user3939;password;46;20000;F
228;DIWWLD;AHHMODYMNK;TGDWNUO;CT;US;user2410;password;49;20000;F
669;PXCUUE;AWWQBPUPIC;TXZGZEL;CT;US;user2135;password;66;60000;M
751;ZLBSQK;AZJJRXACIY;TKLGQDY;CT;US;user3781;password;50;100000;M
783;EBEEBK;BANZPXSKTU;ZLENIDP;CT;US;user9818;password;69;80000;F
814;IKUIMB;BBKVFZJVFB;DDGUTDN;CT;US;user753;password;18;60000;F
1002;KMHMUD;BIPRRDSBSD;PDZIGIU;CT;US;user6225;password;29;40000;M
1197;LACHUO;BQJJFHDTMX;INCDPAK;CT;US;user8554;password;30;60000;F
1203;COJRAJ;BQLSHHNAMK;FPZGUUB;CT;US;user695;password;39;60000;F
1220;ZAPBRY;BQXVCEJZEE;ETDSXTC;CT;US;user8354;password;43;20000;M
1398;VFBAHY;BWUIUJUDIR;MPOVXPY;CT;US;user4502;password;19;60000;F
1529;MSCPIM;CAULPPAYIK;LORSYSS;CT;US;user2809;password;52;20000;M
1700;ZWCBGP;CIHOSRYNOM;SYCRLVI;CT;US;user3980;password;55;80000;F
1758;MAODCQ;CKQBSTWBQT;YYRWSKE;CT;US;user9957;password;20;100000;M
1766;JYCJFB;CKZEBMSIBD;ERLRZGL;CT;US;user4264;password;85;80000;M
1767;FHJCSS;CKZXZRWDYG;SOYRBZK;CT;US;user2260;password;61;20000;M
1887;GKUTOC;COYZGMVJVO;MSINWTO;CT;US;user6748;password;68;20000;M
2020;STHYWQ;CTWMWLCQMJ;HBGBPQN;CT;US;user385;password;33;100000;F
2075;GWLJZE;CVVBKBDAQF;CSHCPMD;CT;US;user8195;password;19;20000;M
2191;LPOSPV;CZOFJTEPDO;MIXBFBM;CT;US;user2092;password;77;20000;F
2283;XWZJJW;DCTQHMXIDW;UVOPDZR;CT;US;user6941;password;82;20000;F
2305;CUAPMX;DDNPOPVHNP;MCQZBXD;CT;US;user9654;password;52;100000;M
2429;ZHPAFR;DIFRVICUGX;KVORWWI;CT;US;user6301;password;52;100000;F
2625;XIENJX;DNZZUGHSCN;WRSZXTZ;CT;US;user9648;password;53;20000;F
2682;FTVYFR;DPWBNHKBMT;UWHWPLQ;CT;US;user8244;password;72;20000;F
2724;TYZXSD;DRQJUIURDW;LTBIJDZ;CT;US;user8356;password;54;60000;F
2808;QAAFSA;DUNDAGHBZY;HRVLMEE;CT;US;user3540;password;21;100000;M
2902;AITUCV;DXSLPVLGAT;CAEOIFU;CT;US;user9761;password;74;80000;M
2919;GKRVDA;DYMLMDXMHK;ADPXJRI;CT;US;user7789;password;44;100000;F
2940;XCDBER;DZCXWHOCPG;SPVVGAW;CT;US;user1765;password;31;80000;M
2955;HGJKMO;DZQOQRRGNE;YMEFFQN;CT;US;user8589;password;20;40000;M
3332;NGXLWI;EMERGSIUOO;HKUWFDX;CT;US;user2907;password;82;100000;F
3408;VNWCBN;EORLJCMWWY;OCZGPSF;CT;US;user5268;password;73;40000;F
3545;HKAYKE;ETPRSZBOVU;HRZWYZD;CT;US;user242;password;75;40000;M
3573;YUJISF;EUOXBBDUEW;FRHQFON;CT;US;user6268;password;37;60000;M
3625;YQTLMZ;EWCDNDVXXG;RGSCSRC;CT;US;user3341;password;43;80000;F
3791;AKAPRQ;FCITORIOMD;QGSSOOB;CT;US;user261;password;43;40000;F
3855;KZVXXX;FDXOPCVMYH;FKODJWW;CT;US;user6743;password;37;20000;M
3925;YWUCSK;FGLENCYRXP;SAQZCNE;CT;US;user8675;password;33;40000;F
3936;OCLVZZ;FGZKPPIHZI;FMFYMKW;CT;US;user7598;password;67;80000;F
3953;JBEGMK;FHPIQNDNVD;LJRTEUB;CT;US;user5993;password;83;100000;F
4002;FGOWPK;FJJERIISNI;AITBXPA;CT;US;user7312;password;32;100000;F
4068;HNNWCK;FLQVLKGBHD;FFAGPNB;CT;US;user9275;password;53;80000;F
4108;YRRRIO;FMWMZTYXMN;TBESOCX;CT;US;user4948;password;79;100000;F
4134;IUJIEU;FNLLYAJPLV;VLDGHXB;CT;US;user9702;password;89;80000;M
4246;GPTGPX;FQXXWVYXEB;BAPPWPT;CT;US;user7448;password;34;40000;F
4265;JDRCWP;FRNIYTDANK;FLEILAQ;CT;US;user26;password;81;20000;F
4333;DGGSWM;FTOQROAVOR;IFUFQUE;CT;US;user4862;password;36;60000;F
4346;SJBIUD;FUAEFLTEVJ;MMXXHCE;CT;US;user8954;password;71;20000;F
4439;KRYYPI;FXDSNEVJLK;ZCJKUFL;CT;US;user9636;password;79;80000;F
4705;LQQFCF;GHDQWHNCHH;PQXDWNC;CT;US;user3958;password;35;20000;F
4755;EAQVTK;GIVMMHLTTI;NMFMJMD;CT;US;user5597;password;44;20000;F
4760;YEAYAX;GJBCJNBUWO;QGGQBGL;CT;US;user793;password;28;40000;F
4777;DAYPYE;GJYCRRPDLW;HMOAACI;CT;US;user9011;password;30;100000;F
4914;IYZUAI;GOKAEQZLGP;SDRCFJU;CT;US;user4266;password;84;100000;M
4959;AXISFV;GPVEPLRUMI;YGFMVXQ;CT;US;user3254;password;53;60000;M
4985;ZHGAIY;GQRJJZUFOO;DADKFID;CT;US;user3499;password;44;80000;M
5126;TUOGLO;GVNJRDCUFL;FGGIMCH;CT;US;user8316;password;86;100000;M
5190;PAVTHC;GXNZMFUMFP;IFSNRVT;CT;US;user5197;password;90;80000;F
5279;BCIMDY;HAQNOOPBZN;RFNXZEU;CT;US;user1928;password;52;80000;F
5303;LSZLWD;HBILWHVUWN;ZPOOLQB;CT;US;user7237;password;82;100000;F
5436;WOMPXT;HGAGVSZLKB;HSJPDHR;CT;US;user364;password;21;40000;F
5481;YBKMPH;HHHWAMOLZK;NYUNIQV;CT;US;user9434;password;25;60000;M
5548;GCDLEP;HJOTOOBTTT;NLXQGYQ;CT;US;user6635;password;20;60000;F
5921;ITTVGV;HWGWVMEZYY;YQEZJIZ;CT;US;user6435;password;75;100000;F
6040;ONIIHH;CHSAZKUWIN;GVDXRSB;CT;US;user6884;password;26;80000;F
6175;AKCGTU;IEDAMZQEAA;KHBVODC;CT;US;user1264;password;79;20000;F
6247;FYGJXX;IGBOPWOTIG;OJHZVVP;CT;US;user1742;password;38;100000;M
6251;BXGGLZ;IGGJUVONRC;ORCTTEU;CT;US;user9402;password;55;80000;M
6253;LFGNAS;IGHHVJWFOH;NQNVGTD;CT;US;user1994;password;77;100000;F
6433;XGUJQT;IMAYHNRZGY;DCPWOHC;CT;US;user7065;password;39;40000;F
6461;PPMQDF;IMZXPOLOVB;JTKYTDB;CT;US;user1415;password;27;100000;M
6475;DUDOZE;INKVWBDSUN;BNGTUCP;CT;US;user9836;password;46;40000;M
6764;RCQDHG;IWVXRNWAYS;XYZBEWV;CT;US;user9142;password;87;100000;M
6818;RCBEEB;IYXVTBEGWO;WTDOOLL;CT;US;user2158;password;39;60000;F
6879;JYXHGF;JBEIYVASGF;UYCQVBA;CT;US;user9322;password;21;60000;M
6915;DPTCCC;JCLXXZBPPU;YQWPXSC;CT;US;user7751;password;62;20000;M
7121;NFYBQH;JJUPXQOKYX;JJSYEVQ;CT;US;user5333;password;46;80000;F
7186;NTPMGQ;JLTABYMPMW;PSYWKHS;CT;US;user9160;password;26;60000;F
7220;GWDIND;JMVNOSIZDC;OVJHPME;CT;US;user4484;password;68;20000;M
7288;IONBDA;JPJFJPCSZG;ZZFTNHX;CT;US;user4557;password;63;20000;M
7373;HKOPCZ;JSGUGWSUNL;IHSCXNF;CT;US;user729;password;71;80000;M
7382;IFDRVZ;JSNMGKGMXG;TKPUZHM;CT;US;user326;password;55;60000;M
7453;AVBCON;JUZMFENHML;KMTRNYX;CT;US;user7432;password;26;100000;F
7459;XJFBPO;JVHAUZZSSH;LEVDCCU;CT;US;user7674;password;26;100000;F
7564;JWGBUO;JYWSZQZJZM;UKEMXFX;CT;US;user1006;password;59;40000;F
7613;FSJWNL;KACBOVGNIC;LWERCCF;CT;US;user1259;password;52;60000;F
7815;JYFWLW;KGZVECIXVW;HZXNOIV;CT;US;user5992;password;30;20000;M
7818;JLUIOU;KHGTOXGNCD;RUVTMDG;CT;US;user833;password;24;40000;F
7819;BFCXTA;KHGUBWEAWB;LUJQNYN;CT;US;user7722;password;46;40000;M
7975;XHBBVG;KNBHNAZWTT;MIJCHWP;CT;US;user7319;password;46;20000;F
7976;NHLKPF;KNBSUMOFWR;LJLIFSR;CT;US;user6021;password;90;100000;M
8072;BMNSCZ;KQGYDTMTAN;QIMXEKT;CT;US;user9916;password;52;80000;M
8119;FZGLBA;KRRRGPUUEF;ULIKKOH;CT;US;user5805;password;67;60000;F
8159;ZWNOIZ;KSZIHZORHK;YPXWNXE;CT;US;user4056;password;59;20000;M
8213;RTIJEV;KUIHQTSUKW;AGQQIVA;CT;US;user9002;password;78;100000;F
8491;TGNQHD;LDVJWKMHCD;ROSAHBP;CT;US;user1101;password;66;40000;M
8622;CDYFSI;LISYFPUCLO;QNZAJFY;CT;US;user8952;password;49;60000;M
8647;SEXEGM;LJJPXNETUK;FEHNOGQ;CT;US;user5450;password;59;40000;M
8726;XKAQLI;LMBOCSPRQA;HKUHOHL;CT;US;user8221;password;39;20000;M
