customerid;firstname;lastname;city;state;country;username;password;age;income;gender
50;QXTCKR;ABUHUQSAFG;PFIPQEB;DC;US;user1752;password;29;100000;M
87;CFGEIK;ADAQDIYKAU;MRNOPYM;DC;US;user813;password;58;60000;M
112;ZOUAOL;ADTKQPIRDI;PWQDJSH;DC;US;user8364;password;35;80000;M
282;UUXHGJ;AJOVAJJXMF;BWUDEFV;DC;US;user1717;password;24;80000;F
347;KGLVWM;ALTQUPEPLZ;CVDXXKK;DC;US;user4293;password;87;60000;M
379;NHRZSC;AMSFEQATKE;VTSMZHR;DC;US;user8525;password;39;100000;M
443;ZGHLZW;APEZKDAOYH;DAFIFEK;DC;US;user4598;password;44;100000;F
501;UDQXHN;AQYQTOGIJP;VOXUAKH;DC;US;user824;password;73;60000;M
820;DSDXMC;BBUNIVOLVM;RUNONCS;DC;US;user2755;password;30;100000;F
1041;FRQVAD;BKIBOWNCEL;CAPGZVQ;DC;US;user5925;password;36;100000;F
1060;RFIWMS;BLENJFKWIL;OAXCTRY;DC;US;user1346;password;72;60000;F
1121;YAOYHO;BNSLFWSMAK;LYXDZRT;DC;US;user8711;password;20;20000;F
1122;XXBNUB;BNSYQSIIHE;XPHDGSD;DC;US;user300;password;23;60000;M
1126;HLTNAI;BNVUROMMBP;QABBAID;DC;US;user9725;password;35;80000;M
1540;CHPTJF;CBHCVPOGQC;CLXALCG;DC;US;user9770;password;37;20000;M
1552;LXATMC;CBPQEPFMYJ;AXACZTT;DC;US;user5246;password;82;40000;F
1779;ECGIVU;CLLEDRZKOK;ZVMIOJT;DC;US;user1142;password;19;60000;M
2015;WIPSCN;CTOUETDCCR;WFRPNHL;DC;US;user2331;password;41;80000;M
2243;LEXYKB;DBGAHYXZBI;OUKLBOE;DC;US;user1250;password;19;40000;M
2373;QEHWNI;DGCQCAPOTS;BIBTNMP;DC;US;user110;password;90;60000;F
2397;MNOENY;DGTRZDVEFC;IJYAGQU;DC;US;user9084;password;76;80000;M
2514;RKWZNA;DKTEKAWEKE;LVMHQNV;DC;US;user1035;password;59;40000;F
2540;FTRFYO;DLOOWUUURK;QDYCWDW;DC;US;user8680;password;28;60000;M
2561;EPAVFB;DMFQCGTSPO;YWRTRXL;DC;US;user1783;password;71;20000;M
2609;KORFTI;DNNQMEKHII;ZFXNRND;DC;US;user8533;password;64;60000;M
2687;TQREEJ;DQANITTPIG;RHBRTUT;DC;US;user7410;password;77;60000;M
2767;FHDKVV;DTERZCUJBK;QWUDMTM;DC;US;user7726;password;69;20000;F
2801;FCVVKW;DUHBIOGEMN;IAXMCTB;DC;US;user2735;password;27;20000;M
2820;IQUJMQ;DVAXRBAGUL;LROLDBI;DC;US;user5264;password;48;100000;M
