customerid;firstname;lastname;city;state;country;username;password;age;income;gender
105;TBIHFF;ADMTENLWVV;HHGCMVG;DE;US;user1245;password;47;100000;F
127;OKBUGR;AEIIVGYYAI;YISUKUX;DE;US;user3536;password;19;80000;M
136;NVHNBB;AEPOQOHIQM;SPDAXNX;DE;US;user2713;password;43;20000;F
206;XEUVFV;AGQOKYTPVI;QWPNZLL;DE;US;user2603;password;41;40000;M
321;PNKTLZ;AKSXAYIXPT;XCAYQRI;DE;US;user4507;password;89;20000;F
323;SGHYIW;AKTSYSCBJO;JDOXFEX;DE;US;user173;password;90;80000;M
357;QURUFA;AMEBIOWZII;RHTZWQJ;DE;US;user8123;password;73;40000;F
593;KKIETN;AUHYUUBDEM;JTJEWJR;DE;US;user7272;password;28;60000;F
607;JTLGKD;AUPZIASBYB;IWVWTGH;DE;US;user8172;password;52;60000;M
773;RFJCVA;BAGAPREQNA;MPTBSYD;DE;US;user8148;password;62;80000;M
868;JLJSZA;BDXJUDVEAP;PEXPJOX;DE;US;user5728;password;82;40000;F
880;EFQLXD;BEKCGVAKNM;LSRXEGZ;DE;US;user5689;password;29;40000;F
1064;EIKJLZ;BLHJNGZIMA;VQISOFS;DE;US;user4190;password;72;20000;M
1184;PCXDTM;BPZLAHFKYR;FWKEVJL;DE;US;user6586;password;27;80000;M
1233;VTVUEA;BRGISCTIKW;PUXLPGE;DE;US;user3498;password;29;60000;F
1303;DMMXKI;BTLQBIWLVK;XBQJVSS;DE;US;user4209;password;42;80000;M
1373;AVUUUL;BVVUCLAWAA;CYAVGJM;DE;US;user1706;password;55;20000;F
1379;IXNKXS;BWCSVPBWVW;XSGGPPT;DE;US;user1289;password;66;100000;F
1463;FPFNCQ;BYOJNNMVWA;SGIPSMB;DE;US;user6274;password;82;60000;F
1556;KRSQKO;CBTJZCZRIC;WHQPYUM;DE;US;user6211;password;35;80000;F
1802;EIDKSL;CMHGDHZRKA;ICELIRL;DE;US;user6291;password;55;80000;F
2089;UPJHTC;CWERDOETIU;ABVHWYW;DE;US;user624;password;76;40000;M
2121;DWEKFV;CXHAWHXZZB;KLIIMLJ;DE;US;user9858;password;89;20000;F
2170;UBBUIE;CYZNRRIZUN;GLVJWPO;DE;US;user5465;password;21;100000;M
2193;BELNEW;CZPYSZNOFC;KGPWTRR;DE;US;user2352;password;44;80000;M
2849;LFEJHF;DVXFMMPYUB;VPIHIBQ;DE;US;user8737;password;29;20000;F
2858;AGWQJQ;DWBRCPSHUC;SLFMYHF;DE;US;user3887;password;60;40000;F
2928;PWGIGQ;DYVDYQSGIS;SQDVZHF;DE;US;user9028;password;24;20000;M
3105;EKMLIU;EFDYHWDSJJ;GZAIHVE;DE;US;user7053;password;57;60000;F
3113;MKDRXA;EFJJLIPNLT;NUFGLKC;DE;US;user5905;password;46;40000;F
3231;BZREPL;EIRPBGKYUH;IZBUNYD;DE;US;user6094;password;60;60000;F
3238;WVZSEX;EIXCIEWNVM;HZZXFHD;DE;US;user2059;password;41;40000;F
3249;YPNIDB;EJHRBXQVGJ;JJIFQDY;DE;US;user8461;password;18;80000;F
3364;ZTEOZS;ENEVUXXRAW;JRUVTGQ;DE;US;user555;password;74;80000;F
3400;HKFONI;EOGLFXGJRK;KQORLYF;DE;US;user2325;password;68;20000;F
3415;PWUBQU;EOUVMKPAPP;RWHXGHM;DE;US;user6559;password;64;20000;M
3621;XBGLVP;EVVZEECLNO;ARQKNHI;DE;US;user4818;password;74;100000;F
3872;CBSKHM;FEFREWGSWR;CLPTBWG;DE;US;user1249;password;72;80000;M
4189;TZMFSA;FPGDKLXKMC;NEZJWWW;DE;US;user7136;password;47;100000;M
4202;JRWZIK;FPRNJOJPVW;LHDXSZS;DE;US;user2073;password;41;60000;F
4206;KRASKN;FPXRSCTUAR;KXWPRIT;DE;US;user2782;password;59;40000;F
4276;CSOSUE;FRXWJULAWX;PGJNQEM;DE;US;user2379;password;84;20000;F
4370;UQJKTK;FUXFZSAXDU;IETCIEM;DE;US;user5346;password;32;40000;M
4517;BLLBZI;GAIVDXZQWQ;VQAPOVO;DE;US;user3148;password;53;60000;M
4570;GRDWXR;GCGBOXFVDU;OSNUFLB;DE;US;user7708;password;34;20000;M
4663;UPFCDO;GFSXBIDPUW;QASHKJS;DE;US;user3351;password;65;20000;F
4682;DBAISK;GGIAAEEYXA;OYBOBHI;DE;US;user7862;password;82;60000;F
5028;EUGNLD;GSSTRMFURZ;UMSOIKB;DE;US;user681;password;62;80000;F
5134;ZEEQHF;GVPDUAVVIU;TRCJXDC;DE;US;user6123;password;65;100000;F
5208;IMRPIS;GXZASDZAEK;GUPFHUU;DE;US;user9442;password;31;60000;M
5269;EYKTGU;HAIWBCQVPB;SGHRWKA;DE;US;user6636;password;76;80000;M
5271;DTNDJQ;HAKPSHKEDV;ELVRJGR;DE;US;user9904;password;20;20000;F
5383;YOHMWO;HELCJWMZTZ;PRQFAGX;DE;US;user8160;password;87;80000;F
