customerid;firstname;lastname;city;state;country;username;password;age;income;gender
42;MLOZPK;ABNGLCWFEZ;VIRDBWJ;FL;US;user2483;password;18;100000;M
212;XPZDXI;AGUHDNAJBV;WVSBVPS;FL;US;user9192;password;46;40000;M
920;RVGMBQ;BFMSZOEXDV;XAJEQSF;FL;US;user4884;password;20;100000;F
966;HDSXJD;BHIRTJXKDM;GIQXPMH;FL;US;user4174;password;83;20000;F
987;CEJXLV;BHZMHWMPYR;DLEVYCL;FL;US;user8215;password;64;20000;F
1097;VEJIYM;BMSCNHEHVF;XGKNETD;FL;US;user2553;password;43;80000;M
1114;UCNFLG;BNJPQOZZHL;HAJYFUQ;FL;US;user7140;password;20;80000;M
1193;LNYZXI;BQECZUQSNA;XDGLUSM;FL;US;user1553;password;88;40000;F
1277;EQALER;BSNHJPGLVR;RMZLQFB;FL;US;user7969;password;82;20000;F
1392;DTUASF;BWNRYNDYOQ;PAHKMNL;FL;US;user9980;password;60;100000;F
1491;EMRDZM;BZRSTZYOWF;AVFPJNN;FL;US;user9645;password;68;20000;M
1503;KFSRPU;CADKLLFGQS;XAIAALL;FL;US;user4454;password;74;80000;F
1537;CLDUTK;CBFLYLZFZQ;TUXNYAC;FL;US;user1995;password;35;100000;F
1737;HIEVDH;CJPQUIPVCV;XIISGNC;FL;US;user9426;password;89;40000;M
1787;YTFSIU;CLULGRAOSX;TUTEVXO;FL;US;user3002;password;24;80000;F
1847;BRMPDP;CNWPNGVUEV;DYLFSEL;FL;US;user7692;password;56;20000;F
1860;SGHLLD;COCUKUXFRF;HRQAOCQ;FL;US;user1764;password;61;80000;M
1912;QIRCOV;CPTHMCDUIG;ZZNWOSY;FL;US;user7423;password;29;20000;M
1994;WAJDND;CSSWRYOGBQ;OCBCCAW;FL;US;user8194;password;82;80000;M
2009;QHDUMT;CTIYZLHRBK;ZEQOUAB;FL;US;user4165;password;24;40000;M
2026;AFNYIN;CTYDFRDEAN;XTOEMIK;FL;US;user1050;password;22;40000;M
2051;FPLWWH;CVDAPLTIDA;OFVPOZI;FL;US;user690;password;76;20000;F
2146;QKREXC;CYCVKGJOKH;EGBLMOK;FL;US;user4532;password;19;100000;M
2387;IJLPWW;DGLSUIXBGF;ZJREXPU;FL;US;user6741;password;29;80000;F
2388;SAQMER;DGNDNESJWC;NBONULY;FL;US;user7841;password;53;80000;F
2392;EXJFLW;DGSHARCWMU;ALEAXAG;FL;US;user6085;password;79;60000;M
2520;ZSWNIV;DLBYYHNCHK;FKBGBUN;FL;US;user4033;password;62;80000;F
2541;VUOBFI;DLOTVLYSCK;DFFFFPW;FL;US;user805;password;31;20000;F
2636;PRBNHT;DOGLWYXXQT;SPXJAMH;FL;US;user6956;password;83;60000;M
2645;QCXDEN;DOJSMUFGJU;MZQAYHP;FL;US;user2779;password;85;100000;M
2651;HHUKPY;DOPSUWSTEX;AWBBVLW;FL;US;user6496;password;83;60000;F
2857;MJVSZN;DWAMCGKOPT;CDQERHS;FL;US;user2482;password;64;80000;M
2866;KFKRKJ;DWMHDINNOL;NSXXVPC;FL;US;user4855;password;47;80000;M
2924;VSFRII;DYQJCNNGMR;TARPMJP;FL;US;user5006;password;28;40000;F
2943;XAXJOH;DZDRDXKXZN;CYNGGJB;FL;US;user4545;password;64;100000;M
2996;QWDRGL;EBGOFBRWPE;UETHZAZ;FL;US;user2728;password;36;60000;M
2998;YODSDD;EBKQTWQMNO;DEZNZSP;FL;US;user5983;password;45;80000;M
3037;CQURYK;ECQHGUCENX;IJVOYIO;FL;US;user4800;password;46;80000;M
3125;GMJAGU;EFNMGQPFJB;QCSUVOB;FL;US;user1858;password;88;20000;F
3135;GYRDMO;EFWOBPBJXW;GTZBTPX;FL;US;user5057;password;29;80000;M
3269;BLQCSO;EKEMYCSJTF;EMFWWZL;FL;US;user9221;password;89;20000;M
3604;FNKQAC;EVKGIASIMX;KAQSXNU;FL;US;user9173;password;68;100000;M
3619;MJHQWX;EVTNKOGNSC;EYQVKXT;FL;US;user6025;password;78;20000;M
3679;FCNJGA;EXXNALKFFY;WPVMNMS;FL;US;user8679;password;68;60000;F
3769;DZOORQ;FBGQCTIIQT;KGLSGPJ;FL;US;user8628;password;29;100000;M
3859;NOZPLL;FDZBYFWJWI;GCFQHXP;FL;US;user7422;password;66;80000;F
3888;MIMNBL;FEUUCFIJJW;ZSDFNSM;FL;US;user8830;password;78;20000;F
4245;TPRCKL;FQXRTHPPZS;BMSFVWG;FL;US;user3857;password;53;100000;F
4448;DKFCGQ;FXLMZQDDTM;MPXQEFJ;FL;US;user7704;password;51;100000;M
4509;BRUQSI;FZZTFJKSKD;TVCEWXJ;FL;US;user1406;password;29;20000;M
4525;WKTYHN;GARYVUUSEE;GYTLOQR;FL;US;user3295;password;71;60000;F
4619;UUECEY;GEDQAUXFKS;YJWYWSK;FL;US;user8669;password;75;40000;F
4627;AZBDQD;GEKRHUUSEC;RDGDWNZ;FL;US;user2406;password;31;60000;F
4637;MXHZTH;GEPWZMHIGO;SLBGJNU;FL;US;user826;password;20;100000;M
4754;VHWJQV;GIUWHEVUZG;YLDEJHW;FL;US;user1007;password;55;100000;M
4927;HJLNWL;GOVBLECNXW;OPPOWNG;FL;US;user3922;password;24;100000;M
5010;QGGOOO;GSAMXKCSBQ;CFYBMQU;FL;US;user8841;password;39;80000;F
5016;GMOEJB;GSEXPWSPBV;BMSNZIV;FL;US;user5489;password;45;60000;F
5114;VJUWNQ;GVFZWYTHST;RHFCUAI;FL;US;user689;password;50;80000;M
5212;ASVYLA;GYKDPINOEY;TCWBWXA;FL;US;user2094;password;50;100000;M
5249;FGPMEQ;GZMLKMXZEK;AZXWUGF;FL;US;user3230;password;44;40000;F
5265;JVPGBL;HAGMRJSIET;TXONPVT;FL;US;user663;password;50;60000;M
5440;LGQYBA;HGCMAEXOJG;LSBTPSI;FL;US;user6310;password;81;80000;F
5883;EJLWIO;HUTBHKDWUI;CSUSRTH;FL;US;user492;password;21;40000;F
5895;CYVQVB;HVJGJOILNT;HCDEHEM;FL;US;user4226;password;77;40000;F
6017;OVHWYZ;HZUBNRQHAJ;DODLELS;FL;US;user678;password;85;60000;M
6057;EOWBMC;IAFTCUBPRN;AVEYJSW;FL;US;user1950;password;86;40000;F
6102;MOPTPO;IBQYFJCVHN;QZOSYMO;FL;US;user571;password;60;80000;F
6214;KCWAVK;IFFLVLMWKS;YFNHKBH;FL;US;user7022;password;50;20000;M
6314;QKFPZT;IIDMVYGBDE;UMXBCWU;FL;US;user516;password;64;20000;F
6356;DDRBMP;IJHRCBGFMZ;MMHDVQA;FL;US;user4206;password;31;20000;F
6407;LLIBCC;ILACDZWFCR;CGWXIOJ;FL;US;user6875;password;84;60000;M
6410;CKJDSJ;ILBHZRWLWV;ASAWUVJ;FL;US;user4865;password;29;40000;F
6529;KXFWXW;IOYZILUZSK;LUDPNLO;FL;US;user8004;password;25;100000;M
6609;HJGFGV;IRTLLZCRKU;OOQKJYC;FL;US;user7553;password;35;20000;M
6718;HVVAAV;IUYLAEQGEO;JDIBZKK;FL;US;user2667;password;29;60000;M
6891;ZBDBXH;JBOAWUVSWN;NNOQRWJ;FL;US;user718;password;20;60000;F
6902;VJNYUE;JCDAHQHGIT;LNDWWBJ;FL;US;user6628;password;50;100000;M
7155;FIQASP;JKUHXMBVQL;PHPSWXX;FL;US;user3011;password;41;20000;F
7175;YWUWLO;JLODOCHGOO;VMQMJTT;FL;US;user2609;password;40;20000;F
7253;DQQRUE;JOCKDTCNEZ;VUVUISS;FL;US;user3681;password;50;20000;F
7343;UDNMMY;JRGIPIOSJN;VCQOIAV;FL;US;user5685;password;63;40000;M
7392;CQCTQT;JSYWPASNQA;LXXHREX;FL;US;user3784;password;30;60000;F
7654;BWBZIJ;KBNQYMZUXO;IMOBLCS;FL;US;user7694;password;60;80000;M
7687;KTISEQ;KCWAWYLKPY;KPHQOKV;FL;US;user8953;password;45;80000;M
7782;NNEMCN;KFWHUZIIFD;NLEBFKV;FL;US;user6142;password;64;100000;M
7914;WYAHWJ;KKODWUCLPG;WHBSBBQ;FL;US;user1410;password;47;40000;F
7917;ZNHYJS;KKVSEAZVPH;SZMHKDJ;FL;US;user9027;password;40;100000;M
8087;JRRKIU;KQUJEXUXCN;ZGKUDVP;FL;US;user6655;password;22;40000;M
8345;SGKHXG;KZFONYMHGJ;TFZTVWI;FL;US;user6151;password;46;100000;F
8409;MBNXGB;LBBEEZQGVM;GKKUWFH;FL;US;user8032;password;90;80000;M
8440;XCZMGG;LBZEVDUHYT;TBTXKUG;FL;US;user4423;password;24;40000;F
8494;ACSYUV;LDXZGTHLRC;PZMBTWH;FL;US;user4625;password;71;20000;F
8599;JPSMTQ;LHVKVEYPCH;BGYPMQJ;FL;US;user4712;password;30;40000;F
8693;TSZOQW;LKYNRAAPIY;BKAWKDS;FL;US;user6992;password;51;60000;F
8935;MHAPOJ;LSQLWAKPJV;ZAERJSY;FL;US;user199;password;35;60000;M
