customerid;firstname;lastname;city;state;country;username;password;age;income;gender
39;BSLRYT;ABLEUNBYXK;EYOSQIW;GA;US;user4134;password;59;100000;M
64;FFGOVH;ACIYQYPHHI;EZWEARD;GA;US;user4268;password;79;80000;F
265;IFIEES;AIWWGJTGVE;MDZOMRP;GA;US;user2857;password;73;20000;M
460;RSGNQZ;APSUBDVRWD;ZVIETUP;GA;US;user7762;password;65;60000;M
533;JXJFQV;ASFHOBLTQB;DFRJLPG;GA;US;user7149;password;28;100000;M
550;WESUBY;ASTEHDUBNT;QPNQUIY;GA;US;user5341;password;74;40000;F
651;LFAZPG;AWAHNQTTCN;NBOMGGZ;GA;US;user9088;password;61;40000;M
670;CXBHAY;AWXRFAJIHD;ERNAFZY;GA;US;user5495;password;52;100000;M
671;ZRJPAR;AWXWQVDQEE;AFHJJGV;GA;US;user6475;password;64;20000;F
850;LBXTAB;BCZAKPTIFO;AXLZMPV;GA;US;user3502;password;54;20000;M
890;WSMAYG;BERJVZIPMB;SOSCFCN;GA;US;user171;password;68;20000;F
925;BGXLMS;BFTGBVDTEL;JXXTNOR;GA;US;user1055;password;40;20000;M
969;MXBLCF;BHMURTBOMX;CGSZACQ;GA;US;user5812;password;28;100000;M
1034;STEJOX;BJYBWTISLV;JCYGFQE;GA;US;user2263;password;31;20000;F
1048;YEVDHK;BKNIYSJZYI;EYYYIXC;GA;US;user708;password;45;80000;F
1177;UOVZWS;BPRTCZLDKO;TYCNPXP;GA;US;user6647;password;24;80000;F
1235;ZDHHJM;BRLEPLVUIW;DVBGOAT;GA;US;user9071;password;43;80000;F
1296;QGOOHA;BTEPHJHAVR;PXPBQJX;GA;US;user4380;password;68;40000;F
1521;KFJKDS;CAPQFRCBCD;PENEPYU;GA;US;user2426;password;65;20000;F
1602;LSBCIK;CDOJEESXJL;ERNTNRG;GA;US;user1381;password;49;20000;F
1784;AACVVO;CLSXSGZYKS;SMWVACE;GA;US;user6324;password;60;40000;M
1864;FJCPNL;COHCDAECSO;PDXLZKH;GA;US;user1748;password;23;60000;F
1897;CSINRR;CPIRBATILL;BOWVUXZ;GA;US;user9769;password;74;80000;M
1932;NAJMEW;CQKLAIBXDJ;UZVMRKX;GA;US;user8207;password;57;20000;M
2000;MZILRJ;CTAPFSXLSA;DSXZYWA;GA;US;user3758;password;32;20000;M
2092;SEGIBQ;CWFYJJUUBW;BFJLAXF;GA;US;user6297;password;66;100000;M
2207;CMWGUB;DAAKITBCWK;TMWDBAJ;GA;US;user5864;password;78;40000;M
2292;UZZRDG;DDANYMKFSW;CUBXAYB;GA;US;user601;password;40;40000;M
2566;SRCISA;DMJWVBKJZK;PINUZKJ;GA;US;user7899;password;88;100000;M
2749;SCBBVH;DSQWYPQJKM;VKNPYSK;GA;US;user5933;password;41;20000;M
2805;XLOXBA;DULPYWFAKY;GTUFBXN;GA;US;user608;password;70;20000;F
2828;GGZGXE;DVFJPXUDIU;VUDKAUP;GA;US;user1107;password;60;20000;F
2889;DDSJMB;DXJNTDZBZX;HUPYSDK;GA;US;user9453;password;82;100000;F
2897;OCFMMF;DXPRWTTBVE;OYHRBGY;GA;US;user5996;password;45;100000;M
3147;JMYJSC;EGHJPJRZEZ;JKBFYHO;GA;US;user1463;password;18;60000;F
3195;WUJVRI;EHTZBWXRIY;YHAOHJX;GA;US;user1423;password;52;80000;F
3225;VNVTUN;EIMIXOHDTE;DJKUQFB;GA;US;user4869;password;48;40000;F
