customerid;firstname;lastname;city;state;country;username;password;age;income;gender
20;WFPJQO;AARNRJYABZ;QCIFSXL;HI;US;user7688;password;70;60000;M
84;PBJDZA;ACVOCCKCNH;EGZBNLQ;HI;US;user3344;password;69;80000;F
281;CGBLPW;AJMFDGSWMF;WSHZSZD;HI;US;user7049;password;76;40000;F
286;JUVOJO;AJPSSZNWFW;SVWUOOK;HI;US;user4994;password;37;80000;M
337;FBLHDM;ALCHTQBAYX;DOEVGQX;HI;US;user6848;password;72;100000;F
377;OGGUFQ;AMRPMKOHME;RUFXMZN;HI;US;user1190;password;89;40000;M
406;DZDWXL;ANSPPBSLAI;RYNRQFW;HI;US;user5524;password;58;20000;M
459;OTYVSR;APSQTILPON;OAVWFZY;HI;US;user9550;password;86;80000;F
537;YMJFUX;ASGSAUMZFU;IOUNNKQ;HI;US;user4570;password;77;20000;M
545;DIVHLX;ASLKIBSKVB;OVDOFPW;HI;US;user1729;password;57;80000;F
721;RJYWMR;AYLBQOIUQP;GHHJMHR;HI;US;user6771;password;59;40000;F
740;PAZOEE;AZBUXRBTKB;WYJXMSR;HI;US;user9158;password;40;80000;M
1106;UOHKQJ;BMZWQFXCIC;DZGDGQV;HI;US;user2503;password;32;40000;F
1225;AYUNMK;BRAZMHZIIL;DXLYMIT;HI;US;user1675;password;80;20000;F
1411;VBQBEP;BXGAOCWJDZ;NDDJNDM;HI;US;user8105;password;42;20000;M
1429;CIHLYD;BXRQUMKNSA;UMQWGJE;HI;US;user6364;password;90;60000;M
1451;KBJUNQ;BYKHXYBWLS;OOPYWSN;HI;US;user8865;password;21;40000;M
1510;UFWYXE;CAKOJTPUSX;KBSTOSO;HI;US;user618;password;47;60000;F
1695;UONYFW;CIBOFPVMVM;XZSYQNH;HI;US;user8926;password;53;80000;M
1783;VSGKBT;CLQGBSEHBM;SHZZKSB;HI;US;user9292;password;30;60000;F
1796;WUSVVV;CMDDQWZQWL;IFTSYTM;HI;US;user421;password;82;60000;M
1928;SUVVJW;CQGBQEDEVD;UJVIDUS;HI;US;user6658;password;48;100000;F
1969;WQSCXL;CRSJIIJNMV;GNRLNDS;HI;US;user2476;password;60;100000;M
2006;CXSZKF;CTGSGAPEMO;KLCIRGO;HI;US;user4579;password;34;80000;M
2052;KBLJUX;CVDBCUICXI;PITYHQP;HI;US;user3896;password;70;40000;M
2257;PSXKGP;DBSKWOADKT;WFBOPHI;HI;US;user2549;password;73;20000;F
2477;DYUFIN;DJRUBWJRMQ;MYSPOPT;HI;US;user7767;password;55;60000;M
2500;NBCXRA;DKKAIQZEHT;HKDUTOH;HI;US;user6783;password;46;80000;M
2517;ECHSML;DKVSQHXDSI;PQNERYT;HI;US;user4807;password;27;60000;F
2553;DUKWFU;DLZUKVJPBL;UIQOLNU;HI;US;user7028;password;69;40000;F
2615;GBUVWT;DNRYUSWIME;KFTGFUN;HI;US;user3072;password;68;100000;F
2784;WXPWFO;DTSHYYNNZG;QLJDLQL;HI;US;user8211;password;66;20000;M
3000;SZLWWF;EBMIXTYIZF;BBDJYTR;HI;US;user7966;password;41;20000;M
3062;NXDLUM;EDKSLRGAJG;VWDVEPD;HI;US;user3264;password;58;40000;F
3118;KRJGDR;EFMFWEBAUD;PKVTBZS;HI;US;user9605;password;29;60000;M
3223;GVRQAU;EILGEQPBSZ;ICMQCVF;HI;US;user5649;password;85;100000;F
3245;DILMFQ;EJAXZQTJMJ;IJJOLYY;HI;US;user131;password;48;60000;M
3280;VHRQAC;EKPTTALPPZ;TVKDNMI;HI;US;user6850;password;28;100000;M
3521;AVXJCS;ESYBWNTZNM;NHERQXJ;HI;US;user4776;password;59;100000;F
3522;HGDADO;ETAODFWBQH;MAOKVZM;HI;US;user1044;password;55;60000;F
3561;ZOPJZI;EUEKGTYYEV;IYQMHJA;HI;US;user4403;password;23;80000;M
3602;HXCPMS;EVJGUJJUMO;VOPLECW;HI;US;user307;password;89;60000;M
3631;YGJSSB;EWHXKVWDYH;KZVCCSE;HI;US;user8569;password;59;80000;F
3716;SVPWOZ;EZOOMERHSX;FTDPJFW;HI;US;user8561;password;60;60000;F
3836;LCQYWL;FDQRXSMOAQ;PCWNJSY;HI;US;user965;password;87;100000;M
3887;AMLUWA;FEUOFFIBHK;VHKFBVO;HI;US;user1462;password;84;80000;F
4026;VQDYJR;FKMUIPYXMM;IUNKVJU;HI;US;user3312;password;27;20000;F
4041;BNNJSW;FKTYSDWJHK;LKJTVWY;HI;US;user976;password;29;100000;M
4193;VEIYUY;FPJEQWUCPC;NRGZJSC;HI;US;user9265;password;18;60000;F
4210;DWOCYB;FPZSFEGQYV;GLAYBTO;HI;US;user3307;password;72;20000;F
4339;AHUTXF;FTWMUXHQFM;JOUBAWS;HI;US;user5201;password;32;40000;F
4391;CWMBUH;FVNQYHPXJR;UZBYAUL;HI;US;user9466;password;89;60000;F
4433;QLYCAG;FWZUCDPBRC;PNBQCUP;HI;US;user5959;password;48;100000;M
4747;WCQZRE;GIPGALJOFO;KQNAWSZ;HI;US;user7115;password;48;60000;M
4828;GFARWG;GLMBZCLCGD;NCPAJPT;HI;US;user3941;password;68;60000;M
5112;IOLWLY;GVDLKQHAYR;UPXQZNS;HI;US;user6687;password;30;80000;M
5393;MWIOIR;HERZVLNXWT;ELKVGCE;HI;US;user6609;password;31;40000;M
5621;LCESRV;HLMQDBPUOB;VILVEVS;HI;US;user5818;password;56;100000;F
5714;LGNACV;HOTNGEHJGP;RUSWTHV;HI;US;user3686;password;74;40000;M
5934;CXOTFD;HXAHDYPFHO;KVYLMRM;HI;US;user1837;password;61;100000;M
5938;LBCIVN;HXFGZVVAEI;YRNXJSS;HI;US;user7908;password;71;60000;M
6056;CTHIZC;IAFLCODPXF;UBULPJA;HI;US;user948;password;26;60000;M
6060;ABKEWY;IAHVSYGODX;MDRFKLR;HI;US;user6981;password;40;100000;F
6152;OLDQZU;IDKNPMVDXE;TBNBTBP;HI;US;user4409;password;69;80000;M
6283;DRFHZC;IHFHWLPKWK;JHWBTCH;HI;US;user1838;password;49;80000;M
6440;XMLXIP;IMGJEZEOMN;HYAVDDZ;HI;US;user5924;password;73;80000;F
6446;AVYCLK;IMLPUNXSAA;RGUFONG;HI;US;user5870;password;68;100000;M
6506;DWZBGR;IOGQCZAPUC;GILHDQU;HI;US;user5686;password;27;40000;F
6610;CSATBI;IRTTZKJGVZ;QDAKJXA;HI;US;user3559;password;22;60000;F
6643;JQQZBO;ISQOIDWWVC;JMVOREI;HI;US;user6777;password;50;100000;M
6701;JWNSVA;IUMVVVVAPK;WODKFTB;HI;US;user6334;password;25;40000;M
