customerid;firstname;lastname;city;state;country;username;password;age;income;gender
178;EBDPXQ;AFSBGGDUML;LXFQQWL;IA;US;user4066;password;72;100000;F
187;GGBUGB;AGAJBTKTOQ;EMWDKHZ;IA;US;user4418;password;80;20000;F
293;CDLIWV;AJUXAXBQXZ;PLWVWIA;IA;US;user8095;password;28;80000;F
329;FGNWZR;ALDCFCWNQR;XKWADSX;IA;US;user3327;password;59;40000;F
437;ZFHQYG;AOZISPVTLV;JBARJSL;IA;US;user5681;password;36;40000;M
448;XWZTZU;APKIOSDFRL;GXKJUBF;IA;US;user3270;password;45;80000;M
523;SFSAMR;ARPBENWCVY;PIYHXVU;IA;US;user3783;password;45;80000;M
561;KELIPJ;ATARGAXLFJ;ENFXXYM;IA;US;user5843;password;78;40000;M
630;KQJPLN;AVEZXXUNPU;HUZEMEH;IA;US;user507;password;83;100000;M
697;OFSVXU;AXPFXOPSWW;XBQLATZ;IA;US;user4109;password;73;20000;M
1147;OTFWYL;BOJTEDLHBN;OWHCYOI;IA;US;user9464;password;86;20000;F
1249;HYNGGG;BRXHTXFEKB;ZJXGJRV;IA;US;user660;password;89;40000;M
1318;HJRJRF;BTZPRGOYDO;PKZHCQY;IA;US;user5804;password;56;80000;M
1345;EVGVVG;BUWCDWMOIS;XEHBWXD;IA;US;user1082;password;47;80000;F
1407;JFWUJX;BXDCPARUVW;NCWOBAT;IA;US;user2729;password;82;20000;M
1519;GIRTKW;CAOWUHYXWY;TGBQSYA;IA;US;user2898;password;29;80000;F
1539;ZRTHTN;CBFXHBGKAG;DGOPEJH;IA;US;user1931;password;55;60000;F
1618;NBNGVZ;CEBVIVPQMU;JNXOUAP;IA;US;user149;password;32;20000;M
1630;CFRPXO;CEQWEYDZDG;FSNGIWU;IA;US;user2212;password;27;40000;M
1820;KEJIXX;CMTAVWMPHO;ADHVLBN;IA;US;user2497;password;25;100000;F
1835;ZRTLQF;CNKQEQWZCZ;JEBMIOI;IA;US;user5105;password;77;60000;M
