customerid;firstname;lastname;city;state;country;username;password;age;income;gender
88;KHJBWV;ADARDXYQHC;YKLRTQV;ID;US;user3233;password;38;20000;M
163;PBXRNK;AFKDONPPPB;IYGGQDY;ID;US;user7118;password;90;80000;M
188;MNDQDM;AGAQIINSXQ;YQFJIAY;ID;US;user8743;password;59;40000;M
458;IQLGVB;APSDLQVKMC;WGOULKL;ID;US;user6190;password;47;60000;M
567;TZSUDF;ATHHNZWCYS;TRKRCOJ;ID;US;user1784;password;89;100000;F
597;PKATLQ;AUKOBAUUAO;ILAKOYW;ID;US;user43;password;49;60000;F
876;KPHWNT;BEJBPZDNHS;ZBSAKPC;ID;US;user6233;password;71;40000;M
996;SUFVLR;BIIQWKHUAG;YJDOPTM;ID;US;user5665;password;39;20000;F
1031;JPFSOY;BJSKNMVECJ;GCQPDTD;ID;US;user9202;password;50;100000;F
1107;NOFSBQ;BNAULPWYBY;CCSBNTQ;ID;US;user7163;password;39;100000;F
1294;SLRHLP;BTDUHPTQEL;MUIZMOR;ID;US;user5092;password;28;20000;F
1307;MQRAEG;BTOSFRXTEX;YPEYCQO;ID;US;user432;password;48;40000;F
1346;ORYEVX;BUXMPDISAB;MQGUEGN;ID;US;user2490;password;68;20000;M
1473;EWEIBI;BYVZWNVNWZ;JTMJGDV;ID;US;user7811;password;66;80000;F
1486;VNNFFE;BZMKLMYIBF;TKIBXUD;ID;US;user1861;password;21;40000;M
1574;RTEKMS;CCQCFAYXLT;ZSRJYDK;ID;US;user4451;password;40;60000;F
1621;KBEEWN;CEDGJSRJPI;NMKZAYV;ID;US;user2621;password;66;100000;F
1653;FMAUKJ;CFQPXAWVWY;JFQZMDI;ID;US;user4339;password;76;20000;F
1694;JVCRQJ;CIAOIPFXDY;TLDFDAG;ID;US;user125;password;44;60000;M
1723;WXMYOH;CJHJNXOZRE;ZILDBOB;ID;US;user8664;password;85;40000;M
1898;FAZJYI;CPJKESDRQK;RDRWFSD;ID;US;user4015;password;60;100000;M
