customerid;firstname;lastname;city;state;country;username;password;age;income;gender
43;TQBGXD;ABNRAJDXCS;LHBIKTD;IL;US;user8490;password;23;20000;M
46;UXDZXH;ABQLMRRRLK;LBTUVTF;IL;US;user8459;password;54;20000;F
128;JGGSDP;AEIJHWDBDH;PTBCREF;IL;US;user6739;password;41;40000;M
168;YZEBNZ;AFNIGHQPQR;QKAIVTH;IL;US;user3082;password;58;60000;M
257;VZGPDV;AIKWPXQSUA;SBQRHTP;IL;US;user1872;password;29;80000;M
290;XZLZAR;AJSTUMILQV;IUFPUMI;IL;US;user4419;password;67;20000;F
440;ZLUMMP;APCJCHNAFK;NJPKMYV;IL;US;user1485;password;58;60000;F
445;MQAWAS;APIPKOEHMM;JNMNVCU;IL;US;user8766;password;78;60000;M
517;LHAUUM;ARLRBQTMVR;HQLBSDS;IL;US;user8003;password;45;20000;F
585;BHPUHZ;AUCUJTUIJN;IGKYIUS;IL;US;user3423;password;63;80000;M
752;WYIBAL;AZKJQTROTT;KRQCTZW;IL;US;user2612;password;67;100000;F
871;DRBEGX;BDYOMZYEGJ;PTROGNO;IL;US;user2937;password;34;80000;F
873;NYJRFT;BEBZQIYDRB;BRHXBQB;IL;US;user1561;password;87;80000;F
892;JMKQUR;BESKHVYUZY;LQORZGM;IL;US;user1029;password;23;40000;F
1141;UHENFR;BOGBNDGDXQ;TKJPRUJ;IL;US;user4351;password;46;80000;F
1157;JVZOXV;BOTORSDIHD;PSPDDUX;IL;US;user9981;password;52;40000;M
1227;QFBWSU;BRBSGZRJNR;QXQOVSG;IL;US;user7618;password;44;100000;M
1445;AHAZIH;BYEKERSHST;BQSXMSU;IL;US;user3103;password;65;20000;M
1453;BRZPTT;BYLDDCWTAA;VWUOSXQ;IL;US;user2790;password;85;40000;F
1557;NXJQRB;CBVZEKDFZY;RYGQRYY;IL;US;user6791;password;75;60000;F
1625;IHMLNS;CENVLXJNPV;CTLNFNZ;IL;US;user8642;password;34;20000;F
1665;NZUETX;CFZGWOSHMH;YOQACKT;IL;US;user6833;password;79;80000;F
1749;KYSGJB;CKIEQOFJBX;EUEOPJJ;IL;US;user9969;password;41;60000;M
1754;AFFJBI;CKLRNHOBOJ;UGGMOYX;IL;US;user3845;password;69;60000;F
1888;TIUUVL;COZFTVZJQB;BJKMHXE;IL;US;user1370;password;27;80000;F
2033;RJNOYP;CUEPGSXJYU;TQTZKOC;IL;US;user3717;password;55;60000;M
2034;XIXPQT;CUEXGICQOX;RXSPOHP;IL;US;user1012;password;49;40000;F
2208;GXMWHM;DAASDGCYQR;DVZSZSC;IL;US;user6727;password;83;40000;M
2370;RMGTCM;DGBBUXGTZB;HHRGCZG;IL;US;user6600;password;49;80000;F
2469;LAJAXE;DJLMSJCNFP;DWASZQR;IL;US;user8578;password;61;20000;F
2482;RCZIKX;DJWIUECQIR;BFVCAED;IL;US;user5931;password;89;60000;M
2573;JULCPX;DMNVIINAOF;ZTDYEBS;IL;US;user1473;password;89;100000;F
2585;JBRAFC;DMVKBOVSRF;XDHVMNW;IL;US;user7361;password;32;40000;F
2639;CQAYVC;DOHSBMTZTX;FDZOQYZ;IL;US;user4259;password;25;20000;F
3197;FHDXJA;EHWTOCOZKE;MDQVODA;IL;US;user7011;password;75;80000;M
3248;XWERSF;EJHANXTQCW;PGKRDSW;IL;US;user1214;password;35;40000;F
3268;TFZOGE;EKDHOMYBRO;FVJFAZU;IL;US;user4368;password;22;40000;M
3406;RSPQKJ;EOPIJGFAMG;DSGUPAI;IL;US;user129;password;42;20000;F
3455;UYQOKN;EQFAJVHRMZ;QOCQBEV;IL;US;user6252;password;39;100000;F
3491;FDCWXD;ERJUHRXFMM;DGALICA;IL;US;user1207;password;61;20000;M
3645;AUKSKP;EWRMRSLYYM;WNUWBMF;IL;US;user3772;password;50;40000;M
3729;BXFCKZ;EZYJDOVEZT;HJZLMTP;IL;US;user7685;password;56;80000;F
3876;BMHVGW;FECHFKHHXY;ZJWAMBO;IL;US;user2365;password;26;100000;F
3900;TROGBZ;FFIVKXSVGY;AVVVFAQ;IL;US;user8638;password;71;60000;M
3995;ZAQYXY;FJBVIZVJQO;DEFLVOY;IL;US;user4079;password;30;100000;M
4000;FDRJDE;FJHGTQYSZX;SHTMORX;IL;US;user7673;password;32;20000;F
4340;ZSJPTD;FTWQUSJOPT;PRRHQJG;IL;US;user5713;password;46;20000;F
4971;OYOUCR;GQFSUXGJLP;UFLQKPX;IL;US;user960;password;64;40000;F
5003;LZDNHR;GRRPENHTJT;ADQIWMN;IL;US;user9513;password;67;40000;M
5073;XUASPE;GUCQHJEMKM;CJYLEQA;IL;US;user2648;password;62;20000;F
5099;ZRNWWH;GUVWSLARON;ZLKOXQQ;IL;US;user1248;password;59;20000;M
5348;QODSOH;HCYWKGMWZC;AAZOYEZ;IL;US;user2714;password;69;40000;F
5474;ANBTIV;HGYGYAEHIO;AIEAHZE;IL;US;user2179;password;57;100000;F
5559;EFJGWN;HJVJSDIWMV;BNUWFLM;IL;US;user376;password;75;40000;M
5881;IOYJET;HUQQROIZEN;TDOKRZO;IL;US;user2839;password;69;40000;F
5952;TRQKCC;HXSQJGCBAW;ZBWJCSQ;IL;US;user923;password;45;20000;F
6145;OCOCOL;IDGFLPBBZT;CGAVTMF;IL;US;user233;password;90;20000;M
6408;BNCWIV;ILAHUEHTXZ;UEYYOBO;IL;US;user7869;password;21;100000;M
6607;AOEYMS;IRSUACTTJD;TERFQLK;IL;US;user1170;password;78;20000;F
6857;CEVKBC;JAKTBJMUST;VCKXVYJ;IL;US;user4019;password;62;20000;F
6982;LXBGBH;JEVAORXLHQ;QCPBGNN;IL;US;user3875;password;25;100000;M
7246;HIBDTL;JNWAMTZYVA;CKYFYUJ;IL;US;user6840;password;63;20000;M
7333;VFUETK;JQUAWUAWAS;OGUUIGC;IL;US;user4385;password;74;80000;F
7351;UXAIRR;JRQLLJVNPA;ZTYMWNL;IL;US;user9694;password;68;20000;F
7460;CJWQHK;JVHIORWPBP;KJBCYXH;IL;US;user1945;password;86;20000;M
7507;YPXJRM;JXFEXPVYQF;JDMGHTF;IL;US;user1371;password;88;20000;M
7517;TVVRMJ;JXLLTYFKTQ;YMZHRNH;IL;US;user4291;password;89;60000;F
7759;FZDRJO;KFBEUAXMIZ;DXWEXPL;IL;US;user1844;password;87;20000;M
7764;OXWUVA;KFGDAGQRLE;DSWDGXC;IL;US;user2255;password;75;40000;M
7828;ZWYORB;KHMVVJEVDQ;NNYPOMU;IL;US;user2727;password;69;40000;F
8138;GUDGVZ;KSJBVWQZXI;ENQIGOI;IL;US;user469;password;58;40000;F
8326;CAQWVU;KYOVFQAKJL;SZTCNPP;IL;US;user5445;password;73;40000;M
8406;TFNYGQ;LAVYMSUHZB;NBOIISL;IL;US;user1246;password;32;60000;M
8474;RGWVCY;LDJQSKQPNG;LURNXYI;IL;US;user8933;password;51;100000;F
8584;RRFAUF;LHFQETWMMF;ICBWPXV;IL;US;user8814;password;62;40000;M
8586;VEIPYI;LHKVPANGQW;QKPSSEY;IL;US;user5378;password;62;60000;M
8591;OLLXMG;LHPSFUMFLF;GDTRWQZ;IL;US;user7818;password;67;80000;M
8665;QEIVCV;LJXPCTGOVE;NHFQQNP;IL;US;user5907;password;25;60000;F
8701;QSVYZL;LLFOAAHRUW;FJNUUYC;IL;US;user8483;password;61;40000;M
8813;KYRGWA;LOTSWKRKVE;OAPFLKP;IL;US;user4653;password;63;60000;F
8884;GOBOQP;LRFLHZJHBF;RSKLPCR;IL;US;user9553;password;56;60000;F
9001;HOCWKY;LUYFRSKDXI;FQQJXVP;IL;US;user5593;password;75;100000;M
9048;DFQACJ;LWIKTKALIJ;PJYXRYW;IL;US;user835;password;60;20000;M
9084;OCRGGH;LXKLUHQLTX;ITGCEFQ;IL;US;user8128;password;75;100000;M
9310;GDJTUH;MFHEDZBQAZ;IULAPUB;IL;US;user7380;password;70;60000;M
9345;QEUOFC;MGSCBFYGGO;FFGMZUG;IL;US;user8485;password;73;80000;M
9724;SIQKEN;MTRJXGFGVF;DUEHZCK;IL;US;user2457;password;18;60000;F
9951;FYPVSS;NAZBZGAAFZ;XLZOALT;IL;US;user7794;password;88;20000;F
9999;LSXLAX;NCMBIGBRCJ;QXMMPFU;IL;US;user3469;password;61;20000;F
10026;CUEPRE;NDKRCCFNFF;VLAKUPL;IL;US;user8768;password;38;20000;M
10221;BYSWXQ;NJRFWXCUZG;YAQNKMJ;IL;US;user5022;password;55;80000;M
10295;IPQWEB;NMDIISZQWG;JOPAMLO;IL;US;user9218;password;38;40000;M
10462;RYARLN;NRCXJEWXFA;QNZUDPN;IL;US;user214;password;39;60000;F
10531;SUNJPG;NTDGHIEXWX;OSIEIRI;IL;US;user4698;password;36;80000;M
10542;KRXVQW;NTNQQJXJTJ;OTWZEKH;IL;US;user1104;password;51;20000;M
10711;CXFUTB;NZBTSFSHVL;OXNTOPL;IL;US;user4161;password;28;20000;M
10827;ABGHMH;OCZELOQKJU;TFCPLTX;IL;US;user3248;password;87;100000;M
10895;DJYXMR;OEUIWLRITU;XSZMHHC;IL;US;user64;password;32;80000;M
10934;QHRQIE;OGBINOTDCW;WODMUNK;IL;US;user6867;password;18;100000;F
10963;IKABVM;OGYQYIXWVY;AYKZHSA;IL;US;user4538;password;62;100000;M
11232;RFXBFG;OPONNTETRU;MCEYMKA;IL;US;user9724;password;45;40000;M
11302;FJEVYD;OSCCHAJJJP;RMCIUBN;IL;US;user8080;password;71;60000;M
11589;CWVVPY;PBGNEBXFAN;RQEQKFE;IL;US;user9229;password;71;40000;F
11608;JBFPWT;PBZBJULNRC;XFIXKHU;IL;US;user2223;password;39;40000;M
11640;BAVEQS;PCZFSBNUAH;FDVKNRQ;IL;US;user4070;password;87;60000;F
11835;VPWXLS;PJTTOFREKX;RTYBFIT;IL;US;user9952;password;26;20000;F
11946;NRJXUT;PNJPFLBOPE;OWQSLYV;IL;US;user3462;password;88;100000;M
12080;KQHACR;PSATIZCIOS;RVSZNYB;IL;US;user3240;password;75;40000;M
12108;TYGOGX;PSZRGCSAUI;NUCSKKZ;IL;US;user2681;password;23;40000;M
12175;NBCZSC;PVBRLLGKAW;SSTQTYS;IL;US;user1096;password;46;40000;F
12268;UKYMIY;PXQNHLHHXH;MIAEQZP;IL;US;user4634;password;44;100000;F
12746;BWRWOR;QNZAISZQPK;NBBVWGC;IL;US;user1238;password;45;40000;F
12770;SBQBRJ;QORNXOKJUB;HIDVWNC;IL;US;user6863;password;61;80000;M
12923;NDEFJA;QTYQTYYBXZ;LBMNMTA;IL;US;user9176;password;58;40000;F
12993;BETIRY;QWCPXSQXBL;IBACDHL;IL;US;user7381;password;81;40000;F
13041;LEKUVE;QXXRTJZJFC;KOTXOOK;IL;US;user9140;password;69;60000;M
13136;ILMYPH;RBFYNDKJOJ;YKRZOHJ;IL;US;user9341;password;53;100000;F
