customerid;firstname;lastname;city;state;country;username;password;age;income;gender
231;RREJYP;AHKACCKUSC;LWHAVPC;IN;US;user1810;password;54;20000;M
462;UMPRWK;APTUVBDJIO;ZOSBCQJ;IN;US;user8324;password;79;20000;F
477;UJIKRX;AQFIOCRXWC;BOUGBHF;IN;US;user9151;password;36;60000;M
532;HNZFMU;ASBTQZLLRT;LYREVXE;IN;US;user426;password;69;60000;M
792;FXDZBW;BAXPEEKXVJ;OPLRCNT;IN;US;user6;password;72;100000;M
859;DPMGMR;BDJPXGYAFQ;NDWOEQN;IN;US;user8155;password;88;60000;M
928;YWVMMQ;BFVPDTFXPN;WUOXJDJ;IN;US;user9826;password;80;100000;F
960;ZVNXCX;BHFTWCUIRG;OQDVBZX;IN;US;user817;password;79;20000;M
1253;MJTJLA;BRZZPGHBYW;COVCDQB;IN;US;user9894;password;71;80000;F
1256;GUIVPW;BSBPLIERAH;QJIJYOK;IN;US;user2981;password;48;80000;F
1509;HUFGRI;CACHXYYGCD;ZKVVWJW;IN;US;user9336;password;51;100000;F
1546;THLVMQ;CBLOAXJOIU;BSSRMAI;IN;US;user5429;password;66;40000;M
1681;MMCDAA;CGOTXGISNL;HQCCIZQ;IN;US;user182;password;86;100000;F
1762;PHQWAK;CKRTPZSCMI;ECAGMEP;IN;US;user3461;password;80;80000;F
1963;IMLGJI;CRKBUUOXOT;JTWOTHQ;IN;US;user677;password;26;60000;M
2047;QBUTDC;CUVLRFPDLX;UJNGRRY;IN;US;user4175;password;23;20000;F
2134;LYNNAO;CXTPBLVOPS;GEVLLRD;IN;US;user2828;password;24;100000;M
2164;ORIDBQ;CYRZFYEHEC;VSVCATO;IN;US;user6129;password;84;20000;F
2176;GMEKQM;CZETWNVDIN;UJPXPRV;IN;US;user2157;password;53;80000;F
2186;DPJMTO;CZLISZBNSG;OJJPDJK;IN;US;user5127;password;28;80000;M
2209;ITWOZZ;DABSLJHQMY;FWERSBS;IN;US;user832;password;53;100000;M
2266;QYLQGF;DCAYXBNIYB;MJHGKNK;IN;US;user6335;password;27;40000;F
2364;IMSELN;DFUODYMVQD;MZOJTNU;IN;US;user8549;password;23;40000;M
2486;HEZRTK;DJZSPVWVJD;IUGBTRK;IN;US;user7057;password;20;100000;M
2657;UKIQVH;DOXYRDRQDB;ZAFQRYG;IN;US;user2363;password;36;100000;F
2752;ZSKFZN;DSTBTBTPJT;RBPFCQL;IN;US;user1309;password;23;40000;M
2794;TQHGIW;DUBEWFUYPW;QNYOREB;IN;US;user7441;password;52;100000;F
2986;ILZMXC;EAUCOGYBOL;HXMFCQA;IN;US;user3213;password;32;20000;F
3017;ESHQTM;EBYXGUUXKT;ICXNHVB;IN;US;user3400;password;82;60000;M
3052;SYMGCK;EDAAKOOPTR;TZTULVO;IN;US;user2760;password;22;20000;M
3186;PNBNVF;EHKHUROYBM;CRQBAOT;IN;US;user357;password;88;20000;F
3797;RTCNYE;FCRCNQVSWI;ELPIKYU;IN;US;user248;password;82;100000;F
3896;SUKXNC;FFGPUMYMUO;LLMJXQU;IN;US;user5428;password;44;40000;M
4196;SNITCR;FPNCDOFOFU;HAYWGZF;IN;US;user3435;password;69;60000;M
4230;GPPNYN;FQODHEUXNW;FUNVKMT;IN;US;user8375;password;37;80000;M
4360;IYQJJR;FUMHQWRPBW;IXWFYMH;IN;US;user2596;password;35;80000;F
4399;DHULTD;FVVPLXGCUS;ETKGJYA;IN;US;user5025;password;28;40000;F
4483;RKMYUI;FZCYADRAHU;WOCETEZ;IN;US;user79;password;27;100000;M
4565;FBUNMM;GCDZAKNOOF;BYVRXMO;IN;US;user6448;password;28;60000;M
4583;EVJSJQ;GCOJLTQHJC;WDZLUWO;IN;US;user9360;password;64;60000;M
4593;MKJRNB;GCYIRIGUSI;MAKFVYC;IN;US;user9502;password;50;40000;M
4643;DQFYQY;GEVQECGEZB;VKTZCZL;IN;US;user1521;password;30;60000;F
4699;FADAFW;GGXYXZBOER;ICXHTMX;IN;US;user2963;password;22;100000;F
4730;KALAVX;GIDIAKCCFQ;RSBYUEQ;IN;US;user2769;password;39;80000;M
4811;INOMMY;GLDNPPWTAR;TRORWUX;IN;US;user5415;password;25;60000;M
5118;BXYIZS;GVIBWBWEDP;ZUBRFUW;IN;US;user7110;password;53;20000;F
5161;MJZPNQ;GWLOQCSNNL;PVUSVYC;IN;US;user8357;password;74;100000;M
5369;WLUFAL;HDVRJIGTVJ;UMBCNAI;IN;US;user9834;password;28;100000;F
5456;EZIFYF;HGMGBYHSFK;NRJMTSV;IN;US;user1719;password;47;60000;M
5561;HBLMQD;HJWENXENRY;AGIWQRL;IN;US;user6625;password;36;20000;M
5630;JJJWLW;HLVAVBUTCE;LJURELY;IN;US;user8251;password;26;100000;M
5650;HHFVNQ;HMNGEFKYCD;OUJQFKW;IN;US;user7986;password;44;40000;F
5657;GOSBXD;HMSXBCSWTG;HMFCUOK;IN;US;user5824;password;52;100000;M
5684;BCZISO;HNOQBNZXXO;FQUHHII;IN;US;user6445;password;53;40000;M
5733;LWJFGG;HPMQAXRDTC;WRGWTNW;IN;US;user9555;password;80;80000;M
5947;GKTXBT;HXPKFYAKHI;RSLIFVT;IN;US;user3543;password;40;20000;M
6002;HQIXUO;HZJCVZFCEN;UKJOYSM;IN;US;user9037;password;37;40000;F
6041;PWQWBJ;CHSOOOFONC;OFWGKHN;IN;US;user3643;password;71;20000;M
6213;YVGVHK;IFFGNBOHKH;BOTWWLQ;IN;US;user2368;password;33;60000;M
6318;SWAOTO;IIFUAMNGRL;DGOAXUG;IN;US;user4565;password;21;20000;M
