customerid;firstname;lastname;city;state;country;username;password;age;income;gender
175;GGRUQC;AFQYJRYMIB;FVAXKJX;KS;US;user1288;password;64;20000;M
364;MDANOM;AMKLXGCPVK;FPKNGCD;KS;US;user5946;password;55;80000;M
370;XCRDTL;AMNRIVDHCB;HVOTOVF;KS;US;user5760;password;40;40000;M
594;ALLAOC;AUIACAAWEU;AXUBWSY;KS;US;user7266;password;26;60000;M
895;QUGMJF;BEUEOFGHXL;KCTEFJN;KS;US;user7630;password;62;20000;F
898;SEOIXF;BEWFPNYGSY;XTOZAEU;KS;US;user1136;password;82;100000;M
982;XJJBWL;BHVQTRZVTU;UVPGFZB;KS;US;user9124;password;64;80000;F
1264;BNILLH;BSENKBRQIM;ZSHVORN;KS;US;user1957;password;34;60000;F
1439;ZOTRXK;BXZSAFRGRS;HDRJXBR;KS;US;user6948;password;73;80000;F
1966;UJANOZ;CRNTCHNQII;JLMJIBD;KS;US;user9948;password;42;60000;M
2269;OLVRXE;DCFZXNIFHP;NZTCSDO;KS;US;user2623;password;48;40000;F
2357;TUUWRY;DFMUXTYPHV;TZDNIBN;KS;US;user9157;password;78;20000;F
2436;TXEBZA;DILBUSWPHK;RJAXAPM;KS;US;user9428;password;86;20000;M
2735;QQDYKL;DSFLLMOOGL;XDTITWT;KS;US;user3985;password;31;40000;F
2780;VTDAQU;DTQRCTSRIL;HCPZFOO;KS;US;user63;password;90;40000;F
2967;JERUHO;EAEYQJYWIE;YPCLJVL;KS;US;user9745;password;63;60000;F
2976;NHXKFN;EALNWRDEXD;MVYDEZG;KS;US;user3334;password;73;100000;F
2983;LPPDIB;EASHSICUYF;SHHZVHC;KS;US;user2591;password;28;60000;F
3163;GLFGRM;EGTLYVUCWB;UOUGUDV;KS;US;user5359;password;22;100000;F
3188;LKTEGD;EHMRVMUTBK;TAIKJSV;KS;US;user6318;password;46;60000;F
3260;KGPNHO;EJUGDGJVKZ;GKEZWUM;KS;US;user3354;password;37;100000;M
3610;LETAPH;EVOVUPQAOU;VJPNGNY;KS;US;user3624;password;81;60000;M
4038;LPYZYC;FKSWQTKPVI;YIFIUQZ;KS;US;user9370;password;54;100000;F
4144;CAKAYB;FNXVTQNYGD;PRCGSET;KS;US;user6016;password;22;60000;F
4233;XOENOK;FQQMTLZEXW;KNNHZTV;KS;US;user4067;password;76;20000;M
4601;ZDWOZP;GDEPNOMVBZ;STVPJGR;KS;US;user6461;password;86;100000;F
4888;MSPVIC;GNRZYYDCMG;KUDDECB;KS;US;user350;password;29;100000;M
4978;TRCCXZ;GQMKMVWXVY;GGSLRVN;KS;US;user9637;password;89;100000;F
5009;XSRSYG;GRZGQDGYEK;CETTYUH;KS;US;user3612;password;87;60000;F
5061;WVPNVE;GTTULYITNE;KQVYEEG;KS;US;user8242;password;88;40000;F
5091;BQFJNZ;GUQIWAJJUK;GKCNNFJ;KS;US;user9794;password;61;100000;M
5206;VGZHTR;GXWNPRZIRD;UZWQJLA;KS;US;user6199;password;88;60000;F
5377;GOEUOT;HECGFMWKIR;NBGHZNO;KS;US;user6904;password;31;40000;M
5488;JZUBGX;HHLENHIIWB;WRGITKR;KS;US;user7709;password;74;40000;F
5503;BUWAVI;HIBZKWBHES;OUINWGR;KS;US;user2773;password;65;40000;M
5586;DFAYDJ;HKMXGFDVLL;OHLDTVQ;KS;US;user6589;password;62;60000;F
5594;MODOBR;HKRIUZVSKR;QRRDFPY;KS;US;user1809;password;56;20000;F
5646;NYKHGQ;HMLAMXKNFD;XUGEMKS;KS;US;user365;password;25;100000;F
5744;YGHMJG;HPYZENGEWZ;IVHFDZM;KS;US;user2619;password;42;60000;M
5802;ORKNYF;HROYYLWCKO;ILYHVHA;KS;US;user3735;password;28;60000;M
5925;UKCQVB;HWPOLQJNAK;PLNKWTD;KS;US;user6224;password;38;100000;F
5997;QYSDTK;HZENFFRIDS;UHVKFDM;KS;US;user5102;password;24;60000;M
6053;NATTGP;IADCUDHRID;JLRWIAD;KS;US;user8200;password;58;20000;F
6079;ILOEAA;IAWVWKRNZW;ZODKCXR;KS;US;user9462;password;73;100000;F
6089;FZHPYD;IBEBAHMSWN;PFSGMLQ;KS;US;user3744;password;81;40000;F
6167;LMCCTN;IDYAKTJUYC;GEHFYBH;KS;US;user5694;password;44;100000;M
6244;FOUICC;IFZGUHUPVI;TRKESIO;KS;US;user8144;password;77;40000;F
6372;MIARAD;IJUMPXIRUD;WQLTZNG;KS;US;user745;password;18;100000;F
6396;GDQGDN;IKNAYFJBXJ;XLMGWKT;KS;US;user5459;password;88;20000;F
6588;NVQZRV;IRALBCNCAU;RQMZTEQ;KS;US;user2680;password;26;100000;M
6732;XRMATW;IVKFIMJUPK;JVJEMNG;KS;US;user5926;password;74;40000;F
6751;PHTXZF;IWIKVVVFOD;ATXZGMA;KS;US;user4440;password;71;60000;F
6761;XOLKYO;IWRZMNJLMS;FUZZTCX;KS;US;user4786;password;82;60000;M
6817;PITMTR;IYXRELTKND;ZBONZAF;KS;US;user5554;password;56;20000;F
6999;ROKQVH;JFRCWNQKSM;MOJACFI;KS;US;user6451;password;53;80000;M
7033;ITHXYS;JHADZDRSUW;OUDCYTG;KS;US;user295;password;60;40000;M
7107;BORATB;JJJDLSKSBB;VGPCYYL;KS;US;user7138;password;34;40000;F
7191;OPBNNQ;JLYFQSGCSS;XOBFTVM;KS;US;user2523;password;80;60000;F
7287;SSHUVK;JPITPTRZIO;IKGTSXI;KS;US;user521;password;73;60000;M
