customerid;firstname;lastname;city;state;country;username;password;age;income;gender
137;FWRQBD;AEPUGWFJCM;BWVGPIP;KY;US;user5274;password;83;60000;M
156;ALJQWC;AFEPFEDQMS;MFZYEBD;KY;US;user7345;password;88;80000;F
174;YENIBG;AFQNEUMLXC;YHGMZNX;KY;US;user9091;password;19;60000;M
498;YFZRZW;AQVWRYSPDL;RRKLPJT;KY;US;user1100;password;74;60000;M
519;QJYUPC;ARMYIEKHPD;DAAKSYJ;KY;US;user2763;password;21;80000;F
615;OTVXWJ;AUSFZGDAZS;BGQBOKF;KY;US;user1404;password;25;60000;M
753;QHKYKR;AZLEUOEIUY;WTJUILK;KY;US;user414;password;90;60000;F
854;IOQKUE;BCZYZIRIIX;ACVXXSB;KY;US;user2611;password;33;60000;M
866;VYFRHH;BDRFTIYOXR;RCXGYKQ;KY;US;user1166;password;23;40000;F
1124;HKTSVH;BNVCKQGELY;OEFPUBJ;KY;US;user2028;password;90;80000;M
1183;WTMDPF;BPXBJZHUNB;FIJQCQG;KY;US;user8168;password;88;60000;F
1287;IZTDIY;BSYTTGEFUN;DDZDHQH;KY;US;user3195;password;82;40000;M
1329;ELKMVK;BUIQAJKADM;TIWCBSX;KY;US;user5316;password;87;40000;M
1385;EMOJCM;BWHIPVRAIB;XNHKATB;KY;US;user8595;password;67;80000;F
1420;AKAMOJ;BXMXWVLUDA;VKCRWRP;KY;US;user9731;password;66;80000;F
1538;JHEWKY;CBFTEGSCOQ;XZDTMVT;KY;US;user3053;password;43;20000;F
1562;YOHINM;CCAUAHBRPM;IWLSEUY;KY;US;user2473;password;80;60000;F
1623;SJWLMZ;CEJCZSWMWJ;CCSXCSQ;KY;US;user7927;password;84;40000;F
1756;RZARVJ;CKOKVUYGIJ;MXNKSJS;KY;US;user5582;password;81;20000;M
1958;HNYSSO;CRDTXBLCVK;GWQMRHS;KY;US;user2088;password;29;60000;M
2228;EUNPUH;DAQWURAPGT;VIBUXZI;KY;US;user2530;password;54;100000;M
2278;HUSEDH;DCQOXPHIBB;LQPXETK;KY;US;user8005;password;41;60000;M
2403;HYMRNC;DHBZLVVHTW;RKKFGPK;KY;US;user8832;password;22;80000;F
2503;WGELNJ;DKLLNBGKRH;CYRLRVP;KY;US;user3352;password;19;100000;F
2936;APKKDN;DYZSQXBURU;HLYHLJS;KY;US;user5731;password;50;20000;F
2979;JLBCEV;EAMRFUNSCW;NBKZCCV;KY;US;user7816;password;68;100000;F
3035;OUXRFH;ECOSUZKAIM;QNVWDUH;KY;US;user5168;password;48;20000;M
3040;NEVDII;ECSEXAGWBJ;HVCZCEV;KY;US;user7165;password;31;20000;F
3115;ECMYUP;EFKFUVVQCH;EHRGWUN;KY;US;user9036;password;77;80000;M
3246;UIRIMK;EJCYLQBMUR;UIHJTYI;KY;US;user4405;password;86;40000;M
3257;RRGHYK;EJRZYYKBNP;RZAPWXC;KY;US;user1235;password;61;20000;M
3276;BLESFO;EKMOHGKSTF;QQPTJPZ;KY;US;user1640;password;20;60000;M
