customerid;firstname;lastname;city;state;country;username;password;age;income;gender
13;OJMTXU;AALUYWBMOG;KPBXCSC;LA;US;user1585;password;31;40000;M
77;FIZXJV;ACQQDNMAKE;HQUWJZA;LA;US;user1290;password;33;80000;F
157;RIPLKP;AFEQHKEVSG;MNFRNFD;LA;US;user4241;password;48;80000;M
214;OKUUEB;AGVKGVUJVF;DAXZROH;LA;US;user905;password;56;20000;M
241;QNOCZM;AHULKOCIMH;DCVKPMX;LA;US;user2269;password;72;80000;M
603;MSPMBM;AUODNJMEDY;XWMEEXC;LA;US;user1484;password;46;100000;M
676;PFMRJK;AXDEWFDTNY;JLQMWVL;LA;US;user9454;password;65;20000;F
840;IQVRGA;BCRHTSXTRY;AVZEOVI;LA;US;user3813;password;19;60000;M
886;ODYGVU;BEOJCQXJSH;GPNASPJ;LA;US;user9421;password;33;20000;M
1108;CCUBBQ;BNAUQPOSEO;ILMODVG;LA;US;user1610;password;71;100000;F
1497;JBXMRR;BZXGZWYHEC;NEBNMGM;LA;US;user1776;password;75;60000;F
1709;PCBZHZ;CIUNZNZNMI;KLOHEGW;LA;US;user6264;password;29;60000;M
1789;KOOHVR;CLUNIMOFQU;EKAAMXZ;LA;US;user3370;password;52;60000;F
1806;WFCWWU;CMKKQUOMHH;NZECNSU;LA;US;user1133;password;65;20000;F
1883;SDPXUJ;COTTVIGBXZ;TIWRYBY;LA;US;user4920;password;70;80000;F
1923;OBZEGL;CQBVXCALFO;EBYPTDA;LA;US;user6167;password;41;80000;F
2049;NLKKFY;CVAJTAODDO;MOXXJPN;LA;US;user7322;password;49;60000;M
2163;VRENFQ;CYQZONGXVD;EILBCYI;LA;US;user1756;password;20;40000;M
2187;XBOFYB;CZMBGUKZDT;YQHRTDB;LA;US;user1243;password;20;60000;M
2222;LMGWZS;DANOLWYQBI;UQSPCAS;LA;US;user4114;password;20;100000;M
2279;CQLUFM;DCQSDJHYBE;NDVRTNA;LA;US;user5243;password;50;20000;M
2315;LWEKUJ;DDUJVMIWSQ;SJALLSI;LA;US;user211;password;62;80000;F
2416;LAHYSM;DHRQSPOMXF;FOLPBEQ;LA;US;user1724;password;88;40000;M
2463;DGZMAF;DJDWFKDOPU;BHQOXUO;LA;US;user384;password;72;40000;F
2590;RDIAPX;DNCJNQCATF;RRFLCTE;LA;US;user3546;password;66;100000;F
2656;RGMJPV;DOUCDHDDLO;IEPQYGY;LA;US;user6428;password;48;40000;F
