customerid;firstname;lastname;city;state;country;username;password;age;income;gender
51;MSKTRG;ABVXWLAEXZ;TEWSGFF;MA;US;user9225;password;27;60000;F
322;PKITSQ;AKSYJUXHYN;EIPTIYO;MA;US;user6971;password;82;40000;M
914;OMIRYM;BFFZDMXDNM;KYRBDDH;MA;US;user8632;password;84;60000;F
922;RPOHED;BFNGFDABEW;LJIDEHZ;MA;US;user7798;password;21;80000;F
1079;CRXCCQ;BLYAZPHKOW;ILJFPNH;MA;US;user4057;password;80;100000;F
1137;ZWEHNB;BOBLRXGFXG;VPPDLWA;MA;US;user9104;password;37;20000;F
1199;LOJDDZ;BQKLUFSHBY;LMWJGLC;MA;US;user4960;password;50;100000;F
1222;EMEGZK;BQYSUILLMA;HBCKNIK;MA;US;user378;password;72;80000;F
1250;OHPCMA;BRXJUVECPH;MVHGMOP;MA;US;user456;password;78;40000;M
1336;BWXSBT;BUPYFYPXXR;HIHRHUV;MA;US;user8846;password;35;80000;F
1469;TZTPNG;BYRTMNYIQQ;OYNHIGP;MA;US;user7492;password;51;60000;F
1554;MATBSQ;CBQVQVEFBL;DEARDAH;MA;US;user2502;password;20;60000;M
1582;AXEWHK;CCUOHIPAQZ;NYTKJEZ;MA;US;user4887;password;29;80000;F
1592;WHUXNI;CDGHJMCKUU;HEDZSHZ;MA;US;user2187;password;57;40000;M
1821;HDUOSS;CMTFTNVFGK;WCBWZDD;MA;US;user7347;password;60;80000;M
1831;IDFRDO;CNDTJYLNUB;RPUKONB;MA;US;user480;password;87;60000;M
1844;VHPQER;CNUBIHOAVC;BVHHFXS;MA;US;user5966;password;29;40000;M
1857;DQCEWW;COBTFILTAM;QSSCQYV;MA;US;user1920;password;57;100000;F
1920;FWMXJP;CPZGAJHAUJ;NWLKGZL;MA;US;user6257;password;47;100000;F
1942;JBFWTT;CQRPVQLYBQ;ALEUCAW;MA;US;user5475;password;66;80000;F
1957;JJFSIA;CRCNUWEQSK;QYGEHCI;MA;US;user2291;password;75;80000;M
2129;OBPWIU;CXPMMKUDEJ;QJCAIAL;MA;US;user9024;password;25;40000;F
2346;ZISHJG;DEYSQKUFBU;HCVQGZZ;MA;US;user9726;password;77;100000;F
2459;LEMEIF;DJBQCBEPPL;UGCSQIG;MA;US;user4777;password;68;80000;F
2478;YJODXD;DJSCFCTFSF;ANBOVPS;MA;US;user5278;password;41;20000;F
2598;OSFIWK;DNJBQJVFYP;IOOOKKU;MA;US;user4156;password;73;40000;M
2618;ZFZGMG;DNTBIZKJJM;ZMGUVLR;MA;US;user5943;password;28;80000;M
2910;LDHYHG;DYBNHXJVUL;VYXDQMT;MA;US;user8488;password;65;60000;F
2930;ZLODKA;DYWHIYTOOF;ZUYVNUX;MA;US;user6808;password;59;80000;F
3066;MVBLUG;EDOVPGKFBP;DBAVGEX;MA;US;user7305;password;37;40000;M
3067;HMJYRY;EDQFGSJHGX;SVNTVWU;MA;US;user5811;password;27;100000;F
3129;NMZVGN;EFTQXPREKU;IAJFGQS;MA;US;user4690;password;54;100000;M
3142;JOUOFG;EGDTQMBVDA;GEYUFTK;MA;US;user9438;password;79;20000;M
3274;WBJXGY;EKJQHTCJHG;IQDFNHS;MA;US;user7137;password;67;80000;F
3335;HQVGLC;EMHGHQFOLL;OFVJQPI;MA;US;user7390;password;87;20000;M
3693;VGPLJF;EYTFHSNOMC;SSLHHYP;MA;US;user2101;password;21;40000;M
3731;FCNKTF;EZYXHJCBOE;BTNJMSS;MA;US;user1296;password;67;60000;F
3790;DWNHTC;FCIDQJMHJD;URGTRWT;MA;US;user869;password;32;60000;F
3825;WMANNQ;FDJOPZCCOC;YLIXJOJ;MA;US;user9551;password;23;40000;M
3867;UEEPMK;FEATNWOKEG;SHDHREG;MA;US;user4702;password;57;100000;F
3882;BEGWVS;FEPRRZSMKJ;BSNBFFM;MA;US;user8798;password;40;100000;F
3903;AGUQVI;FFPCRUSFKI;LGKNEOA;MA;US;user14;password;85;80000;M
4020;RDDAGD;FKHDJYDVWW;BWFKVVJ;MA;US;user9838;password;65;100000;M
4153;KEUILH;FOCRQLGUOQ;TGWQRMA;MA;US;user4329;password;77;80000;F
4269;ULBJDN;FRQZKZZKIJ;OHYVOYO;MA;US;user5099;password;53;20000;M
4507;DDHSGR;FZXUHJUXII;KJJXOAN;MA;US;user7125;password;72;20000;M
4541;FDCHRM;GBDMWXXCJA;KQDPAXG;MA;US;user3532;password;54;80000;M
4547;UQHIAO;GBLRZUTIRR;ZVITOQF;MA;US;user2846;password;52;40000;M
4559;BJTIIG;GCBRDAFREK;FXUPJIK;MA;US;user7222;password;65;80000;M
