customerid;firstname;lastname;city;state;country;username;password;age;income;gender
142;UQMEXB;AEWTFBDLNO;FYFDRSK;MD;US;user4899;password;77;40000;F
182;EVCHXB;AFWLXNENXT;UDLVTOR;MD;US;user7451;password;44;60000;F
236;RAGNSY;AHPPOSLFHF;LTADNHF;MD;US;user3913;password;18;40000;M
306;VKHODK;AKHVQXTYFT;GCFPVYV;MD;US;user8599;password;52;40000;F
411;ZWRJQZ;ANXYWUHNKQ;NDSMGQG;MD;US;user6866;password;88;100000;F
656;ZVVFKP;AWEUPJSAVS;UKSTFDL;MD;US;user6607;password;81;40000;M
715;ASGXMG;AYEKPAPPLD;VHCUMVG;MD;US;user8605;password;89;20000;F
743;YFQAVW;AZEWVWUGTC;ZEIFHSY;MD;US;user2078;password;75;40000;F
929;ISYORW;BFVRJBAWKN;PTCVOZF;MD;US;user2958;password;82;60000;F
1125;CTTERI;BNVIJMFUFV;DIDZLYL;MD;US;user9351;password;87;20000;M
1232;JEDURV;BRGGPRFOBK;NPRRDHU;MD;US;user8914;password;45;100000;F
1324;HYUZLR;BUBTXLRKQU;ISVHZLV;MD;US;user5212;password;29;20000;M
1358;KZTQRX;BVFLZDVKMB;IHCIDLI;MD;US;user1067;password;22;100000;M
1387;UIHHRB;BWHSTJRNHI;NUTCNOH;MD;US;user8248;password;36;40000;F
1457;QULYZL;BYMFPMMKJA;MNURNCF;MD;US;user80;password;59;60000;F
1532;RWQTJD;CAZOSXGTOB;FQAVOCK;MD;US;user2199;password;54;40000;F
1573;TXBPOG;CCQAXGRRVD;TEAZDHU;MD;US;user2324;password;34;100000;M
1655;LMSOOO;CFSKUYFAZN;RIRFFEJ;MD;US;user2235;password;63;40000;F
1706;GIPFFX;CIPZLTYBJL;OWUQYYY;MD;US;user7254;password;83;80000;F
1714;HHKRNL;CIZOQZEIWD;MHLLAZY;MD;US;user1205;password;90;80000;M
1800;KSKJYC;CMGGMLRNSM;CHSBQZB;MD;US;user380;password;62;40000;F
1856;EKOJBV;COBHFXKADE;PLTQEMN;MD;US;user9815;password;46;80000;F
1909;POWKVP;CPSPNHYRBT;SOBPFMW;MD;US;user1530;password;30;80000;F
1924;SDSIZP;CQDKEBMBNS;AGYEBNG;MD;US;user7835;password;58;80000;F
