customerid;firstname;lastname;city;state;country;username;password;age;income;gender
145;JNRFBI;AEXMZPTFMW;HELUUHB;ME;US;user2696;password;56;80000;F
198;DQIAAB;AGKJJUXIGL;ELZSBBE;ME;US;user6039;password;54;40000;F
260;ANEOUL;AINHNKZEUS;GTIVLOM;ME;US;user9138;password;58;100000;F
415;WBROHL;AOBWFRYCAV;YFUKMCN;ME;US;user2597;password;25;40000;M
470;TIUWSN;AQAXKRJDEH;JOABSCW;ME;US;user9212;password;59;60000;F
572;THOIAP;ATLNCYLPAN;NXMEDWR;ME;US;user7621;password;35;40000;F
798;GJTDTH;BBEAVUHEVH;OKHQQMR;ME;US;user2495;password;56;40000;F
946;RMCMFC;BGMRNAODUZ;AFKOMUS;ME;US;user9379;password;35;60000;F
950;WCBSKM;BGUPXHQMKE;FHIZCMB;ME;US;user3678;password;45;20000;M
964;UWXYKK;BHHMJWNGZI;FXMWMEB;ME;US;user5765;password;29;20000;F
1162;AJBQNL;BOXHPCAUCN;VKKNQIZ;ME;US;user1331;password;58;60000;F
1172;ENKUGP;BPJAMLQKIR;WONZEIX;ME;US;user7998;password;28;40000;M
1260;ZMTMVN;BSCPDMXIUK;GXVHXKU;ME;US;user2099;password;70;60000;F
1268;BJQEIU;BSHEWBNVIC;DMOWVLG;ME;US;user1339;password;65;40000;F
1488;NLCGBV;BZNUJIIRDX;IVYOHJT;ME;US;user655;password;70;40000;M
1680;GWTHKH;CGOFPKGPQT;TRIRPMD;ME;US;user1622;password;85;60000;F
1768;GSHFXP;CLAOZGEJUH;IPDKCYR;ME;US;user8650;password;82;20000;F
1861;LXSQYO;CODGHJZGGA;DYEKYVC;ME;US;user8714;password;89;80000;F
2059;WHUSPS;CVJMEIBMMF;XYPBQZQ;ME;US;user7394;password;47;20000;F
2077;YXMDII;CVXFLECYYL;IPPLYYN;ME;US;user5337;password;31;80000;M
2091;PNDDQL;CWFXPILKPF;EILICAG;ME;US;user5875;password;47;40000;F
2144;DJHMUH;CXZVXWIGVU;QRAMEQB;ME;US;user143;password;70;100000;M
2172;OGTHNE;CZACXPABSM;DWFDCQT;ME;US;user8822;password;79;80000;M
2319;KMKWAB;DDVVPQZIHH;RVCRTCX;ME;US;user812;password;68;40000;F
2424;XSRUJE;DCHIRSAOGD;YQGZNGK;ME;US;user9044;password;43;40000;F
2431;XMOZQZ;DIJLZQMEJE;IEUCRRF;ME;US;user8070;password;45;80000;F
2492;BODMMI;DKEMAZOEPP;YCANPUB;ME;US;user2383;password;28;100000;M
2567;DRSFVE;DMKOIEFBBG;DZHCSIO;ME;US;user2209;password;67;100000;M
2803;UVOOAP;DUJZFQIRJB;QJFLLAX;ME;US;user9528;password;37;60000;M
2823;UHVQFT;DVDSNFJZOR;KJLPKHJ;ME;US;user2155;password;51;100000;F
2826;TBCAOW;DVEMZCIXRB;FVJXEQW;ME;US;user4699;password;55;100000;F
2838;HDUYPA;DVOXFDHPXK;PORCTHO;ME;US;user371;password;70;40000;F
2843;ZOWDQS;DVTFHETPTD;PUJVUWR;ME;US;user8101;password;28;80000;M
3209;WIOXTV;EICUJSIOZM;LOPUVEW;ME;US;user4561;password;88;20000;F
3372;SWWEWD;ENLNADKRCA;WLJWKQO;ME;US;user8744;password;57;100000;F
3502;NIBRNU;ERVVZHVXBY;ZFZHIQL;ME;US;user4860;password;88;60000;F
3515;EAGOVZ;ESRTFPPPEV;CNJMVPX;ME;US;user7936;password;63;80000;M
3554;HZOVDD;ETYWLGVNUH;VXEDRXK;ME;US;user2142;password;32;60000;F
3681;FOKWBV;EXYUBUSLMW;NNZMUFI;ME;US;user8539;password;71;60000;F
4047;TFHHQG;FKXOKFHCZT;QDVYDPJ;ME;US;user2116;password;80;100000;M
4107;YSHZQO;FMVNJREAUT;EAPBQGW;ME;US;user1644;password;69;100000;F
4306;JDKCLO;FSURPEZGSA;NAAAOIZ;ME;US;user6905;password;66;60000;F
4383;OJFELY;FVEGJQCACW;DWHAKUF;ME;US;user529;password;51;80000;M
4948;AFTLUI;GPNMUCPUTR;UPNPQPK;ME;US;user8482;password;83;40000;F
5065;QGCTDM;GTYDXWOXKH;DKYMVTX;ME;US;user5529;password;78;80000;F
5070;REGTSE;GUAFKIRIYU;MTCCQJQ;ME;US;user170;password;64;100000;M
5319;MEARJS;HBUPFRDCWM;QIBFZZU;ME;US;user4346;password;23;40000;M
5366;RVAZRA;HDQUFULPCU;KVKKCHM;ME;US;user5854;password;80;80000;M
5458;TPWPMT;HGMQVVNUOC;WJTKLER;ME;US;user4272;password;76;60000;F
5631;TUUKJS;HLVLVZXPYD;CMCDSAG;ME;US;user8821;password;74;100000;F
5640;AOPVJW;HMEQWWDKZZ;RVFERJS;ME;US;user3955;password;81;40000;M
6076;HCAIHQ;IAVMGMLCSX;CRYWGEN;ME;US;user3308;password;72;20000;F
6091;MYEOUF;IBGSTNWYYM;TCMOJSF;ME;US;user109;password;51;80000;F
6210;GKNAXC;IFDHPUUVRP;ZKITLBG;ME;US;user8659;password;34;80000;F
6404;SBFPAT;IKWLRKZFUO;MIKZDFO;ME;US;user1840;password;49;100000;M
6476;YMYNYF;INLLLYVUTU;YKPNKWV;ME;US;user6071;password;84;20000;M
6549;ZZBQBK;IPIIBZPXCL;BPCCIPK;ME;US;user3511;password;55;40000;F
6582;XWUDBZ;IQYJNXBRYY;AVTHPLI;ME;US;user1901;password;40;80000;M
6665;LPKCAP;ITDXQOYXNX;RVZGRWJ;ME;US;user6183;password;84;100000;M
6681;FRKMCY;ITUAPZNZWH;GPDONUR;ME;US;user1343;password;18;80000;F
6711;XJIWFV;IUUSZDPYOK;VAUTCIY;ME;US;user6573;password;38;20000;M
6756;PHVPMA;IWOSBCSVJR;ULSSOHH;ME;US;user1483;password;66;20000;F
6803;GGUAJC;IYJFLUMJVC;WDUOBJQ;ME;US;user7173;password;41;40000;F
6860;GPZJXL;JAOIXULOWR;LUAADFK;ME;US;user6876;password;60;40000;M
7013;FWQUHV;JGFVJMFNBT;IJMHUWL;ME;US;user4886;password;47;20000;M
7263;EPBSOD;JOPRMKGIGQ;JIZRHNF;ME;US;user8929;password;36;80000;F
7275;WPBWLD;JOYFVXKUSB;WUCQXIZ;ME;US;user9867;password;66;80000;F
7426;NRZRPI;JUBLXGQJQI;IJUULUC;ME;US;user6156;password;61;100000;F
7538;EHCAYU;JYBULSAFPT;NLJDZLG;ME;US;user3847;password;34;60000;M
7583;OLHCAQ;JZGOTLWITN;CZYBKBG;ME;US;user1281;password;81;100000;M
7704;OKMSXO;KDKXKPGLFM;LLLXEPA;ME;US;user4806;password;67;40000;F
7832;PMDTNH;KHPHLISCLG;UBGACUE;ME;US;user3908;password;45;80000;F
7953;EPDAAQ;KMFHHAACPJ;IYWYYDX;ME;US;user7131;password;57;40000;M
8106;MWHMJY;KRJLWWGPEI;DPFAQWB;ME;US;user5361;password;30;100000;F
8150;EMAKOI;KSVAZXNHIO;NUCOBOT;ME;US;user291;password;32;40000;F
8168;FFORWY;KTHAFWFZCM;LLOBMTB;ME;US;user671;password;21;60000;F
8364;UDKVKH;KZSCLYDXGH;KGBBNVS;ME;US;user7660;password;42;20000;M
8534;WWNMYC;LFDVMDPWQM;IBSHMCU;ME;US;user6258;password;61;60000;M
8791;HOUWNT;LOCAGSQXWI;XKXREDK;ME;US;user5063;password;83;60000;M
8830;TLPLMC;LPJJEDXIII;GLHOUVW;ME;US;user6069;password;47;20000;M
