customerid;firstname;lastname;city;state;country;username;password;age;income;gender
488;IMHHNS;AQQHHQVDOF;SKUZYJW;MI;US;user9021;password;71;60000;M
573;AUIIJD;ATMGYACPBM;MRSJSGK;MI;US;user6766;password;46;60000;M
664;IDNZZB;AWQBRETGWI;DMRTEXF;MI;US;user6917;password;32;40000;M
1011;DJIURW;BIYAIOULUD;WCGNXMT;MI;US;user5687;password;60;80000;F
1045;JZUFTK;BKKQTAFWTN;HRPMUCX;MI;US;user4218;password;70;60000;M
1058;SVTZKD;BLCQCRXHLO;FLRUZCF;MI;US;user9632;password;84;20000;F
1071;QAXPPW;BLQRIXIBQE;NGKZBWX;MI;US;user6613;password;56;100000;F
1127;ZLXZZN;BNWTKRPDUM;AKGSKTT;MI;US;user4909;password;42;20000;F
1138;QOIRNH;BOCLGNKSYP;NEOJAVZ;MI;US;user5016;password;62;20000;F
1161;HUSTOZ;BOWBMNEHJD;YONMFGP;MI;US;user5396;password;42;40000;M
1286;QSTATL;BSYIRHRDLP;OJBWDGD;MI;US;user1676;password;34;100000;F
1351;UBTWYG;BVBRSGTBBO;WLYKWZZ;MI;US;user4905;password;77;60000;M
1467;XIDCFC;BYPVEELUMM;WYEJZTB;MI;US;user4274;password;60;60000;F
1583;MQMPXS;CCUXOLFDWW;BZKZNJX;MI;US;user8870;password;30;60000;M
1713;DGGFLF;CIZEMQHBMH;KBFMOBH;MI;US;user290;password;85;40000;M
1738;ZRIPYH;CJSOHRTSSS;PONWTSF;MI;US;user3231;password;38;40000;F
1906;NYYYQZ;CPPPKTAGUT;YMECOAW;MI;US;user1042;password;42;100000;F
1929;CLTGID;CQGBZOGGPH;KKYPVIU;MI;US;user5703;password;62;80000;M
2058;ITBTYL;CVJBWRAVRZ;RPOAVIX;MI;US;user7905;password;24;20000;M
2233;ZOSGUP;DAVANAEVUY;KUKAYUE;MI;US;user5345;password;24;40000;M
2621;UHHLRI;DNUHFDHHMI;VEOATKF;MI;US;user3710;password;53;20000;M
2623;WDGPDE;DNUVEEHZNR;FGAASXE;MI;US;user6424;password;90;40000;M
2892;XHOBVG;DXOEHXNXOA;ZXVBKCI;MI;US;user8081;password;43;40000;F
2985;RGPTNZ;EASWNDRZRL;XBDCADQ;MI;US;user542;password;24;100000;M
2988;SPCJVU;EAWVLAQZKF;HXHSNBE;MI;US;user755;password;59;20000;M
3350;NSZRDI;EMRPDMIOVH;BCTMACP;MI;US;user1613;password;65;100000;M
3410;EJNYRC;EOTKWHUWTL;ICIMPEM;MI;US;user9659;password;80;20000;F
3465;RCKFWU;EQPFVFOKCT;XBLMXQT;MI;US;user9565;password;73;40000;M
3512;IHBHOH;ESLJBSCOAI;OPAWARR;MI;US;user1778;password;64;40000;M
3770;VDKYZG;FBCHWBRLKP;SJHNUOV;MI;US;user5894;password;84;20000;F
3961;CSLNLV;FHVGBWNJUZ;TFUNIGO;MI;US;user7807;password;57;20000;F
4050;KZMNKX;FKZUOWOFWH;ZEJLCXL;MI;US;user9854;password;53;40000;M
4087;UDJXVI;FMIJNONZTA;FJWYHQQ;MI;US;user7978;password;27;60000;F
4219;APGIJL;FQFCKEMKIU;MXCMZDG;MI;US;user8229;password;84;60000;M
4231;RICFHK;FQPHGTVTOZ;LCKZKHZ;MI;US;user6549;password;81;100000;F
4447;YVEMIS;FXLKKGRTGO;TCJJILY;MI;US;user8091;password;74;80000;F
4654;SGLMIR;GFFJRRERHI;RASZCJC;MI;US;user546;password;78;60000;F
4666;LDQXJD;GFTMBLRACP;WMRZAHS;MI;US;user8588;password;64;40000;F
4704;JKGOWD;GHDFYCAYHY;ZWNGYPT;MI;US;user2663;password;59;40000;M
4886;XAXNAO;GNQNLRHTBX;CZRQXLC;MI;US;user554;password;25;40000;F
4942;KHBAOL;GPIRBAMOMY;NYNKOHO;MI;US;user796;password;56;100000;F
4949;YIFDSL;GPNULPDSCO;OVIBWNN;MI;US;user4606;password;61;20000;M
5013;STHEMJ;GSAWMQKDFN;PHBOTVN;MI;US;user8796;password;19;20000;M
5403;KTPDGH;HEWPMJLQRN;KFMDXZN;MI;US;user9568;password;66;80000;M
5421;PUWMSO;HFMUJSPKXR;ITLAEZW;MI;US;user6057;password;67;20000;F
5686;APEERB;HNPAKNTCUG;CQGULUG;MI;US;user3555;password;29;80000;M
5811;IELCBI;HRVIMIBHCG;LVDYOAX;MI;US;user8419;password;64;20000;F
5896;UVLEJN;HVKKYREKVX;MVXFUMT;MI;US;user8348;password;33;100000;F
5897;WJYLWG;HVLMYNMXDB;ZTHENRH;MI;US;user6943;password;52;100000;F
5932;XZIIHH;HWYHBPJYQL;MAUDUBX;MI;US;user2283;password;49;80000;F
6026;VWEZBS;CHBVREJDGI;LUDLTCE;MI;US;user1438;password;18;40000;F
6028;EXXEFY;CHGGBIBCKZ;JKLZGVD;MI;US;user2228;password;18;40000;M
6188;XSQCML;IEMWMINKMZ;OJYBBYT;MI;US;user8322;password;81;60000;F
6348;ZHSTOR;IIZVBUTDJY;MBMFGHL;MI;US;user4554;password;43;100000;M
6352;AVTSSQ;IJEZIAXULZ;YJZOGRT;MI;US;user6540;password;81;80000;M
6548;YJUXFC;IPHGTVVCMS;SXDLBRZ;MI;US;user8583;password;78;60000;F
6836;BWCUPH;IZRARVEOOS;NTBBQUY;MI;US;user565;password;75;40000;M
6948;HLHVNK;JDUKWUQKJD;AMVTIRQ;MI;US;user5067;password;34;40000;F
6964;KZRLRW;JEFMAKXYWB;WXRJFHA;MI;US;user2684;password;83;20000;F
7158;ARIOJB;JKVURNVGTP;TWSNEYR;MI;US;user3825;password;50;60000;F
7215;KGRJUM;JMSREUQJWU;EHIJNIQ;MI;US;user1688;password;52;100000;F
7258;UXRXFU;JOKIUIALTW;CBTZZJU;MI;US;user1461;password;45;60000;F
7366;LWCIKQ;JSEOAWLUBZ;VTMNNMP;MI;US;user9120;password;28;20000;M
7801;PSILZO;KGNLKUUZVD;DVKDASJ;MI;US;user2180;password;83;100000;F
7806;SDENNR;KGUNVQZDYB;MIJPHJS;MI;US;user8617;password;65;40000;M
7952;VCBQER;KMDMPYVWYV;JVKCTOH;MI;US;user7424;password;67;20000;M
8002;ABJRUN;KNWIARATZV;DXPCORT;MI;US;user4462;password;64;80000;M
