customerid;firstname;lastname;city;state;country;username;password;age;income;gender
21;YQOWVJ;AASLMDGICM;QPXRSML;MN;US;user8995;password;29;60000;F
126;VAULVR;AEHRHCQTEB;EOSBUIG;MN;US;user8453;password;65;60000;M
185;XLKEFZ;AFXQMMHVFR;LKOJTYK;MN;US;user9898;password;19;40000;F
186;EYZWPA;AFZKRONJSI;ZOREVFY;MN;US;user5676;password;49;40000;F
229;BGIHRW;AHJAUGOALQ;RPLUHPU;MN;US;user2176;password;28;100000;F
608;ENBGSC;AUQGTSVFZS;RFUHGCO;MN;US;user3214;password;32;20000;M
616;NBOFVD;AUSNPQCDDG;DHKZALF;MN;US;user9919;password;46;40000;F
643;EDMLJB;AVTYSLLWPQ;WKSPKHA;MN;US;user5240;password;76;100000;M
722;RMYRXQ;AYMWPLUYPH;OYNDHVD;MN;US;user470;password;56;20000;F
779;CWXEOV;BAJJXBSGOT;XSMAGMW;MN;US;user5069;password;36;100000;M
1099;STFPSC;BMVZYODNGB;JWSLKOA;MN;US;user2918;password;47;20000;M
1192;VTVDHQ;BQDQIXSPBA;XZKDWBU;MN;US;user9411;password;87;40000;F
1332;BWWAOA;BULLVAXYBK;ABORLQK;MN;US;user9830;password;22;20000;M
1495;XVPUPP;BZWYUVRXGV;HOBSSYM;MN;US;user2747;password;28;80000;M
1643;DPLCVR;CFHROORWUE;CTQNQTM;MN;US;user7599;password;41;20000;F
2127;CCPURL;CXNZEAIBEJ;CPFNOJY;MN;US;user8916;password;42;80000;M
2136;QKHJIF;CXTWZRICRC;GUVKJWN;MN;US;user5494;password;77;60000;M
2282;QQWTWD;DCTGNJPPIC;TIEACZJ;MN;US;user1728;password;37;80000;M
2304;ABXUWB;DDNCYENOTF;ZMDSXLY;MN;US;user822;password;70;100000;F
2310;SSCTZB;DDRCOHQPTE;JLSBQBM;MN;US;user2534;password;78;40000;F
2318;RUGKZI;DDVSIXETVV;UEVQBJH;MN;US;user8053;password;52;20000;F
2326;KOPUFG;DEBOOAEJGW;KWSQLBG;MN;US;user8023;password;25;20000;F
2480;ZIJCPV;DJVPAEAHRN;TBZNPMQ;MN;US;user3089;password;22;80000;F
2564;RAEYCC;DMHVEONYQD;RNQJHYX;MN;US;user3104;password;89;20000;M
2675;CIPEGG;DPMDDUNCDN;ZGZZXYE;MN;US;user4321;password;65;60000;F
2730;SXGEFV;DRXWSPTJBM;TAJVTWT;MN;US;user3431;password;45;40000;F
2921;WSYHBT;DYNXRZQGWY;GVWULBX;MN;US;user5229;password;47;20000;M
3022;MTJRYT;ECBQHQQGQC;HERMPJM;MN;US;user1252;password;68;100000;M
3098;JHTJHY;EEYEPDFTEG;ESGXCFC;MN;US;user4442;password;63;100000;F
3203;MLLNJL;EIAEZPVASH;KGOFUUN;MN;US;user5353;password;48;60000;F
3204;WJRLPG;EIALGOZGCK;LPBZNNR;MN;US;user3437;password;80;60000;F
3216;FBPWJP;EIICOPALDL;LVTKPJU;MN;US;user8299;password;44;40000;M
3374;GGOXBH;ENMDBJHSBM;JXQGRLR;MN;US;user6616;password;72;60000;M
3605;NHVEQF;EVKKNSUVBI;VULXYQS;MN;US;user4804;password;24;40000;M
3878;AJCLBI;FEKRPVMCPI;IYQCDED;MN;US;user4595;password;55;40000;M
3902;KLOXZV;FFOPFHOMLH;EXMUQNN;MN;US;user2109;password;47;40000;M
3934;GHKRPU;FGXZOXXHCL;MHGNKFF;MN;US;user7490;password;50;80000;F
3978;GTNTRM;FIHYCJTTDJ;JZWNPZO;MN;US;user6159;password;33;80000;M
4017;QYUGJD;FJVYZZSGII;SFLEHFW;MN;US;user5480;password;51;100000;M
4035;XGQHGC;FKSFXJKJMS;ZXPBYGN;MN;US;user9244;password;86;20000;M
4057;CYLKRE;FLJOREJVIH;MJGDOEX;MN;US;user7829;password;72;100000;M
4092;GCYUKC;FMMCYMVYBM;PHMVFQI;MN;US;user8161;password;29;20000;M
4423;DMPRPN;FWQWHFRDHX;IMGECFR;MN;US;user2865;password;72;40000;F
4515;CICRIM;GAEFOBKKUF;HOUWZAR;MN;US;user4995;password;30;20000;F
4576;YWNZNL;GCKMZMMMWU;CCWHXWK;MN;US;user4473;password;81;40000;F
4771;HQSTUK;GJTSDFDZSQ;QQSUDHO;MN;US;user7399;password;82;40000;F
4998;LRHORV;GRMLSLCZHB;TVAJFKV;MN;US;user1307;password;69;100000;M
5035;PJMJVD;GSUXZUALCJ;UBNWAIG;MN;US;user8752;password;35;40000;M
5584;KLYONX;HKLSOARPZZ;EIKUCIV;MN;US;user333;password;48;40000;F
5722;RNNLSO;HOZIEZSJGP;RZCSEOR;MN;US;user756;password;73;40000;M
5853;AUVYQD;HTLYOSLKOU;EEOCIJA;MN;US;user158;password;75;60000;M
6022;MAOGRR;HZYBNKIQBE;SNICDFQ;MN;US;user8182;password;71;20000;M
6051;HICZFF;IABSRXMPEP;TNGTWEY;MN;US;user8519;password;84;60000;F
6242;FITREV;IFYKEXBVKG;ALXIUMK;MN;US;user7976;password;33;60000;M
6422;SHWWUK;ILRLUDPPZK;PMXFVQS;MN;US;user4619;password;72;80000;M
6525;IXNJMN;IOTPUHGJLF;EXLYIBD;MN;US;user5631;password;21;60000;F
6557;WJSELQ;IPQJPVXOID;RQTRJPK;MN;US;user6735;password;40;40000;M
6636;JOBZZZ;ISNMADWGLX;QLXAYYY;MN;US;user9066;password;18;40000;M
6906;QVDMAH;JCGEHRZFFL;ITJCFEU;MN;US;user6831;password;24;20000;M
7131;JXBDKO;JKCSVBJQNT;SJEPGOR;MN;US;user1552;password;44;40000;M
7345;MLJFDK;JRICUVIESQ;LKZPMVU;MN;US;user450;password;29;100000;M
7842;SJKHHB;KHXYPGYDOU;VVHWURM;MN;US;user1589;password;49;80000;M
7885;BNMQSE;KJTPJAIKNI;LOWUOHG;MN;US;user6906;password;66;100000;M
7965;SBPLLY;KMOIRSOGJI;HFOLNYC;MN;US;user8567;password;40;60000;M
8033;SKMZWK;KOZEPLIKRI;HCJFELC;MN;US;user7099;password;45;40000;F
8133;QLMGTV;KSELQYXPWG;OLNFFZV;MN;US;user6541;password;21;60000;F
8157;REDWZQ;KSZDRQMEOT;TLQPJXH;MN;US;user7941;password;32;40000;M
8183;WXUZTM;KTRXOLIBZF;TSETLTJ;MN;US;user2119;password;87;20000;F
8258;JMBAVG;KVWHVMMNZU;UFVYFTU;MN;US;user713;password;50;60000;F
8293;WKGXBJ;KXBAOFVYQM;ONHPRNB;MN;US;user9691;password;70;40000;M
8443;KTTCCV;LCBZLVINVM;EUDPXSI;MN;US;user2267;password;77;60000;F
8719;PPCHSC;LLVRSYYLPN;PKVPNXO;MN;US;user6975;password;58;80000;M
8729;CEORFX;LMGDFFSCJT;PJGBEDP;MN;US;user4933;password;19;100000;M
8808;QEDOSY;LOQECZNPUP;HICECUP;MN;US;user1000;password;34;100000;M
8861;PCMKGU;LQOHWJJKMX;MREAXRF;MN;US;user6288;password;79;100000;F
8883;GEUFMM;LRFJSCWNFK;YVYOAZC;MN;US;user9239;password;34;20000;M
8907;GOBNEG;LRXDTQYPNF;GUJKXIV;MN;US;user6414;password;69;80000;M
8941;ULPWUE;LSXEMQVWUI;EIJAKQH;MN;US;user5794;password;27;20000;F
9013;IWBQGL;LVJBJTAHDK;ZBPVSSZ;MN;US;user5334;password;84;60000;F
9042;KTSMVU;LWFBPNHENE;PNRFIWQ;MN;US;user3503;password;77;20000;M
