customerid;firstname;lastname;city;state;country;username;password;age;income;gender
102;WHRQQU;ADKNZOKEHL;RJFSYLK;MO;US;user4410;password;62;60000;M
130;FZVIGI;AEJCWFWDMI;IPDWALE;MO;US;user5825;password;19;100000;F
351;DOMBPH;ALZWPIFNFQ;MYHIQCF;MO;US;user9802;password;84;40000;F
485;UQJPHK;AQKUDTFJAV;CBATXSA;MO;US;user3222;password;31;100000;F
487;BAHHYO;AQODELKSUT;ZZYPFNH;MO;US;user7040;password;90;40000;M
609;SHFZPQ;AUQKANUHET;MWVUTOE;MO;US;user4751;password;20;60000;F
645;LRBFBM;AVVSEUXZOK;FZIFWLB;MO;US;user8948;password;54;80000;M
661;LRIQEM;AWOCBCIHXU;HHOXTVF;MO;US;user8769;password;85;60000;F
735;NQBZIE;AYWJVXWRUO;OKKRDDC;MO;US;user4270;password;76;60000;M
745;WBFSBH;AZHPLCXTIY;SNTHAIA;MO;US;user8329;password;72;20000;M
772;KIEZXL;BAFYEYOCNT;JJQYGZC;MO;US;user6463;password;70;20000;M
799;AMREWM;BBEFDKNLNF;BRCZTXE;MO;US;user2870;password;61;80000;F
1026;SWFZUT;BJMMJVBOJA;JWUYQRM;MO;US;user3563;password;43;100000;F
1375;HAQGWW;BWAMMUSRNU;EBYKCEB;MO;US;user4639;password;90;80000;F
1487;CQVHRL;BZNQKKDBZD;WZIHXYK;MO;US;user4334;password;80;60000;F
1524;CFUZPI;CASHXWALZV;QBYVONC;MO;US;user5272;password;48;20000;M
1555;SEGTSB;CBTHPHIOUG;HVDQGRS;MO;US;user6847;password;88;40000;M
1606;HURYZA;CDQIDPYOQO;LXSCOHP;MO;US;user4968;password;20;40000;M
1915;MFDXJC;CPUKSZYJCT;WLONOJB;MO;US;user7745;password;73;80000;F
2002;KNJEMI;CTEYODRYET;LZLMHGM;MO;US;user6486;password;65;20000;M
2101;IIYSZD;CWNRDIOFUG;BIRJENW;MO;US;user2234;password;54;80000;M
2394;WOIVOM;DGTBNOBLYI;IZOFURW;MO;US;user5644;password;78;40000;F
2425;PEPZWV;DIAKUWFUBN;DOCEHNG;MO;US;user6287;password;90;20000;M
2432;CJRUEC;DIKHAGRESB;VEQCCFF;MO;US;user6732;password;86;100000;F
2438;QDKTCN;DIMAFULASN;LIBRQAL;MO;US;user9619;password;60;100000;M
2445;KUHAWW;DIRHCQQBOF;OBVFPUT;MO;US;user9277;password;70;60000;F
2461;ZEEBQK;DJCXZIHUGX;CRERPFN;MO;US;user3746;password;57;40000;F
2479;KTNSWI;DJUZVTHPGO;IWCATPO;MO;US;user9739;password;81;100000;F
2539;IBYWLU;DLODLGWSSA;NVDQPGU;MO;US;user7675;password;59;40000;M
2798;QEBODG;DUEIYDZGDD;RMTVDMP;MO;US;user4923;password;62;60000;F
