customerid;firstname;lastname;city;state;country;username;password;age;income;gender
107;PRDXPX;ADPJHRRLVQ;PUGLXLG;MS;US;user6641;password;39;80000;M
193;DEXEHY;AGDKKIKJZI;PQZOOHA;MS;US;user6792;password;42;100000;F
239;QREEAP;AHRTVDHSTD;FKTRUXD;MS;US;user769;password;53;20000;F
271;EWERLO;AJBGJOTFAD;DDSKAFR;MS;US;user5950;password;42;40000;M
345;PZNAHC;ALSUGLQPWZ;IFKBRFP;MS;US;user7364;password;79;80000;M
405;OTPRLL;ANSLVLZKGX;KWBKHOQ;MS;US;user6146;password;60;100000;M
471;OJGRGL;AQDBWQXRPN;MMZDGTX;MS;US;user9622;password;68;40000;F
569;LHARAB;ATIBQAHLMC;QIJEXKH;MS;US;user7224;password;42;60000;M
650;SLNRYE;AVZWCHBPZZ;DKNORLI;MS;US;user9339;password;53;40000;M
981;XRTJNT;BHVATCQQBO;XLQTTAE;MS;US;user8220;password;29;20000;M
1156;GQPKKY;BORWJHDRFY;BFRDMZU;MS;US;user7037;password;19;100000;M
1274;ALNPJW;BSLZVSMCKM;VPMITAE;MS;US;user5613;password;46;40000;M
1326;UAWMPA;BUHDDOPVVR;CDXKKKY;MS;US;user147;password;62;100000;F
1394;RUYZRW;BWPGJYYMWM;NJYRWNW;MS;US;user4504;password;85;100000;M
1417;LWSHVZ;BXKXYBPLYV;HOKILFL;MS;US;user3457;password;76;20000;M
1446;XXOKDI;BYHAUHFUNP;FHABPQT;MS;US;user3337;password;66;60000;F
1626;WMBPIK;CEPBIAEZDK;FZOLDSW;MS;US;user8011;password;62;80000;M
1634;AKDYNR;CEZDXROJBN;NKRJILX;MS;US;user9507;password;76;100000;F
1708;ZHMNRR;CIROXALQGW;DWENRAT;MS;US;user3510;password;54;60000;F
1838;QPFTML;CNOZNVRJDA;JGFZAVT;MS;US;user888;password;28;80000;F
1944;LAWZBP;CQSPOBJYHG;UPEFJPP;MS;US;user2100;password;88;40000;M
2001;IPYQFQ;CTBJGANMVQ;LUCUKXN;MS;US;user528;password;61;80000;F
2122;YTLTYR;CXHXVPGFUK;IQMSMJL;MS;US;user7010;password;75;60000;F
2317;MYWZGL;DDVQZDOYMN;EAPAICT;MS;US;user4976;password;34;80000;M
2443;MFHJIT;DIPAUFHIFK;QBWSOCR;MS;US;user2498;password;34;60000;F
2556;UKYXSY;DMBXOQOCQK;GPUYMYE;MS;US;user1951;password;51;20000;F
2678;IURQYE;DPQIZXQIXW;FKNSNRO;MS;US;user8534;password;29;60000;F
2705;KPGZTT;DQVCBBBFNK;NBUEJXI;MS;US;user287;password;48;60000;F
2771;UFDXCZ;DTGRWHDZXK;JZJWYEB;MS;US;user5433;password;34;80000;M
2822;RHJBBD;DVDSNDBODG;UUSOTXP;MS;US;user9330;password;81;60000;F
3036;LFYTRV;ECPMTBGQJZ;XLDDBKX;MS;US;user8129;password;85;100000;F
3144;QTJMBQ;EGEQWBSGSM;LURJESH;MS;US;user6215;password;65;100000;M
3151;OSKRCF;EGIVMDCLSZ;MAFZHIR;MS;US;user7281;password;64;60000;M
3226;PHOREJ;EINAWZPSBY;SKNKIVV;MS;US;user1747;password;65;80000;M
3309;ZJKQQI;ELMGEATWTS;QXSVWLY;MS;US;user9446;password;54;80000;F
3344;DCFXKG;EMNUKCOAKN;NDMEFRI;MS;US;user1664;password;49;60000;F
3587;PNKDKC;EUYDTIWVCE;BJVPJOP;MS;US;user8692;password;79;60000;F
3616;RTZAIW;EVRJKBCXBH;DYWXZKY;MS;US;user9130;password;64;40000;F
3623;QIRNMN;EVYGYWIGAG;CXFMVSX;MS;US;user9131;password;24;100000;M
3659;PRARUD;EXCJKQDQQP;UIMFHYL;MS;US;user823;password;73;60000;M
3662;DJVGRM;EXGCIWJHGI;RVSDWTE;MS;US;user6417;password;51;60000;F
3699;SMGZIM;EZAOPNMKSR;SWQJXOL;MS;US;user2798;password;26;40000;M
3798;KSYGON;FCRSYTRAII;GMOERMX;MS;US;user6538;password;71;80000;M
3883;PDXSVJ;FEPTZXHARV;ETQGRYW;MS;US;user6821;password;89;40000;F
3988;BBJNIP;FIRAVPWJWR;BLBJBLF;MS;US;user6675;password;41;100000;F
4344;JQZGRD;FTYQOCITBY;GOZOEYN;MS;US;user4400;password;82;20000;M
4715;PTYYGS;GHKKKLONQQ;DSPUAQE;MS;US;user8763;password;74;80000;M
4790;HVQWNW;GKLGMLOHXR;PRNQFSY;MS;US;user2633;password;30;40000;F
4928;JCIJMK;GOVGVTAEJG;MLTLRXS;MS;US;user4898;password;52;40000;F
5044;GCFOXI;GTEQPVPVYV;BFYJKMF;MS;US;user9664;password;35;20000;M
5110;BKFBJJ;GVBIEUJMNN;BKFHFZB;MS;US;user3799;password;37;60000;M
5123;NDTHMD;GVLMWJQNUV;SGHPZGU;MS;US;user1026;password;39;60000;F
5152;KUPEYD;GWGCANEPBV;IGOPJJR;MS;US;user4683;password;35;60000;F
5447;WOUQRL;HGGYSFAIGL;NBONXYQ;MS;US;user5476;password;47;20000;F
5524;IPIAGJ;HIUNZZSYBX;JJJYXGW;MS;US;user6042;password;25;100000;F
5713;LWZWZH;HOTLKXIESM;CYAEGTY;MS;US;user4170;password;43;60000;M
5745;BKGLBM;HPZMCSARXQ;MSKYXBS;MS;US;user3430;password;49;60000;F
5793;XPOMAI;HRHPOVXETW;AMBHLXW;MS;US;user6998;password;29;100000;F
5844;ZXUZGO;HSZKLULXZT;ALHIFOR;MS;US;user3024;password;46;60000;F
