customerid;firstname;lastname;city;state;country;username;password;age;income;gender
444;SSDLVR;APFSANTXTT;GGFJRLP;MT;US;user1227;password;60;60000;F
452;RYCBTN;APLKNAMRLD;USOVXFB;MT;US;user1023;password;47;40000;F
547;IWJMHP;ASNRBTLQIK;LAGYFNH;MT;US;user5659;password;72;60000;M
577;OBYQRH;ATQEHSJWAY;YACSIJJ;MT;US;user2442;password;60;60000;M
629;AUUFIG;AVEHAUZEDW;DJXKPMM;MT;US;user428;password;67;60000;F
633;JEOXBO;AVHDEOWIHU;GHWFYYB;MT;US;user577;password;41;60000;F
802;MHBHQT;BBFBDWLXLZ;OWJMYOS;MT;US;user7554;password;32;60000;M
1059;LBXMXT;BLEKOUSACP;MJDLKCR;MT;US;user7497;password;66;40000;M
1342;DAGATI;BUSELXPXQI;ZQNKHAO;MT;US;user3766;password;28;60000;F
1354;AYLPQL;BVDAJLLHRD;HLBUQZV;MT;US;user1152;password;29;20000;M
1456;VOUOMX;BYMCGKSRQA;ZPWVGOC;MT;US;user1478;password;61;100000;M
1522;XCGJVI;CAQLRWYVHT;AFGAHBO;MT;US;user8801;password;19;40000;M
1593;VBCSXW;CDGKFXADGT;PMNBEEE;MT;US;user9389;password;27;100000;F
1809;DUKTQK;CMOSHYQSCC;OSXCWXI;MT;US;user1910;password;85;100000;M
1927;UMNUDC;CQFCUNRPPX;CWVOYCJ;MT;US;user7327;password;72;60000;F
1930;WLRCHR;CQHFCCREAC;LUZRNLO;MT;US;user9902;password;90;80000;F
1953;FYZIHF;CQYLMGXJQF;HJVERKS;MT;US;user9179;password;32;20000;M
1996;FQOANU;CSZTCAOANT;ZQBDXDH;MT;US;user1629;password;65;60000;F
2038;KWHZLH;CULNLVLZIU;NGTPNRX;MT;US;user9738;password;25;80000;F
2048;KPYNFP;CUZOYKRCOK;YJKLDKS;MT;US;user4427;password;74;80000;M
2056;TAAOAS;CVHLWNGLUJ;MAVGRLQ;MT;US;user3597;password;82;60000;F
2083;DUAGED;CWCWOSWYTS;GNZVASV;MT;US;user3554;password;90;40000;F
2087;DGXZYM;CWDVZCNNWD;DZEIYAN;MT;US;user1394;password;40;40000;M
2097;RLVPHG;CWJMGGCQFI;ZKTXCJK;MT;US;user1392;password;37;40000;M
2114;TSAWXE;CWZFACLLNH;OJABGFZ;MT;US;user8100;password;88;80000;M
2206;QGSING;CZXIHYAWVC;OWVJSOI;MT;US;user5672;password;40;20000;F
2226;KCMIAQ;DAQEEISICU;ULLLJLO;MT;US;user3632;password;84;20000;M
2302;RTKSUO;DDKDJJJYPB;YFDFEZS;MT;US;user2069;password;78;60000;M
2689;HFSGED;DQFKZWXYQG;DSLMCMW;MT;US;user1058;password;18;80000;F
2738;HTFCXU;DSGCORLQEH;ZGLOXZW;MT;US;user5107;password;57;60000;M
