customerid;firstname;lastname;city;state;country;username;password;age;income;gender
55;AXLFQU;ACBGZAJIHS;EDXARBP;NC;US;user2887;password;21;40000;M
79;RUQXGT;ACRSHJLTWU;COYNLHC;NC;US;user9783;password;25;80000;M
181;RKSJUK;AFVKAIZAIS;ZUONGVZ;NC;US;user9695;password;71;20000;F
216;WERIED;AGWOEIBXLL;WOCTJVX;NC;US;user6664;password;31;40000;M
270;YQVOTZ;AJAUZBYFOW;DZUORIM;NC;US;user219;password;54;60000;M
513;MZAVTY;ARJEQNNONA;XXXOUNK;NC;US;user8794;password;44;20000;F
556;EKGBAG;ASXAWMWDDN;SHPJSZY;NC;US;user6164;password;27;40000;F
829;CEQUFS;BCFOZNFXZK;DRJMAIU;NC;US;user9763;password;49;100000;M
865;QIAJWE;BDQTIXDSKR;CORQAFA;NC;US;user3907;password;61;20000;F
1338;JWTHFA;BUQZVJJOMQ;MVEDOHK;NC;US;user8937;password;35;80000;F
1465;DVHITX;BYOOSEJOKY;JGAIHJQ;NC;US;user3286;password;82;100000;F
1672;XBSYKA;CGIRRZHNXZ;UJZWEQF;NC;US;user9328;password;67;20000;M
1812;AKRIHM;CMPGDFNBOS;BOPGEJW;NC;US;user4940;password;53;100000;F
1895;WQHIMG;CPFKMRIPST;YZOSXMF;NC;US;user7604;password;33;20000;M
1925;XHBKRS;CQEJVSXIGR;EKLDNVR;NC;US;user154;password;65;60000;F
1968;BRIDKE;CRRQQHFFOR;QVCCSXN;NC;US;user1794;password;38;80000;F
1992;FPMDAE;CSPPWCOKXC;JBSICTU;NC;US;user9501;password;18;40000;F
2030;LHLOAQ;CUBYNUEIHF;NWDKALQ;NC;US;user9736;password;49;60000;M
2115;FDRLEQ;CXCQWKHMZF;AHOHXYS;NC;US;user7493;password;29;80000;M
2177;OTOJRL;CZEUOTNSTZ;WAQEVEI;NC;US;user8686;password;61;80000;M
2333;MCDAIQ;DELQBTPAEG;NYYKXLS;NC;US;user218;password;76;80000;F
2372;GVLSML;DGCAPEALVJ;SEJIABN;NC;US;user5692;password;36;60000;M
2434;OGSOBX;DIKNVMFVQE;RJQCAGT;NC;US;user6896;password;79;60000;M
2977;DWSVLD;EALRQTHXSZ;VLXBXPS;NC;US;user9385;password;38;60000;M
3423;OWHTYV;EPAUMZWLJB;MVJBDPR;NC;US;user5106;password;90;100000;F
3665;RHYIID;EXGXDENRBH;FYRJHZV;NC;US;user9827;password;68;20000;M
3955;OWQCSJ;FHSVETBHSY;RRUXMYB;NC;US;user6684;password;52;80000;F
3963;ASGCSX;FHYTDLMUZM;CITSJQA;NC;US;user3929;password;46;100000;M
4099;LQQVLN;FMQYIAZSOK;FBNDTTH;NC;US;user8652;password;25;80000;M
4305;IVWQZZ;FSUECUNOKA;JGEDONV;NC;US;user5169;password;34;100000;F
4342;RXBZAJ;FTXUDYEPEW;WWQEPMJ;NC;US;user4824;password;54;20000;F
4417;ZBDLGP;FWKCPNEIYA;JHVHFUY;NC;US;user6761;password;36;80000;F
