customerid;firstname;lastname;city;state;country;username;password;age;income;gender
100;DSROZU;ADIFAGXVLE;NKDMMCI;ND;US;user5003;password;68;100000;F
360;NGNDLX;AMHQOGXSRU;CYHOHXP;ND;US;user4526;password;90;20000;M
388;ASYDFR;ANADHXPUOD;EKYDZII;ND;US;user6068;password;77;40000;F
395;TYPBFL;ANMPXKGIXG;DBAEYLP;ND;US;user2284;password;18;20000;M
490;BPLRCX;AQRFIRTACX;TWEZRLU;ND;US;user7656;password;82;100000;M
732;HBMYWG;AYVHTZMUJY;TOZQAHK;ND;US;user7569;password;39;80000;M
968;FSCGPD;BHKMFWGZYL;WBFLQDJ;ND;US;user8026;password;65;100000;F
1012;KIMVUX;BIYBQQVMVE;AQYZSGT;ND;US;user8484;password;27;40000;M
1223;XPRFEV;BQZYTWSTZN;KMFZXWB;ND;US;user8379;password;25;40000;F
1353;EDYLFH;BVCJLYMGVU;ONBCQGQ;ND;US;user9427;password;78;60000;M
1389;LYRJMI;BWKVYMUUXL;TGZHYCS;ND;US;user5756;password;21;60000;M
1424;XWDWVK;BXPKWJJLCF;LXKMQKC;ND;US;user7525;password;80;80000;F
1530;GOSSEP;CAVEKMOKGA;TBDJAFM;ND;US;user184;password;77;80000;F
1647;GGXIGS;CFLOQHDGEN;ZTYHUKV;ND;US;user5241;password;55;20000;F
1674;RKKSEN;CGKMHRAEHB;CKKDDKU;ND;US;user9031;password;45;100000;M
1935;LRBBTE;CQNNFWQQYT;HRPHMLY;ND;US;user239;password;71;40000;F
2131;XAWOMR;CXSAIZGVWX;QUPENUY;ND;US;user1284;password;25;20000;M
2157;WWFCYF;CYMLIIQZQK;ANDIJBP;ND;US;user962;password;54;60000;F
2258;WOULIK;DBTJHOWYQT;GWTORFW;ND;US;user1387;password;24;20000;M
2395;KRAMTI;DGTLWCBFIP;TPJXLCA;ND;US;user2194;password;46;80000;M
2722;MSXVGM;DRMOILTMLW;NNRXBDN;ND;US;user7398;password;44;100000;F
2802;IUPOYS;DUIJEOLTRM;TNTYLDW;ND;US;user7306;password;32;100000;M
