customerid;firstname;lastname;city;state;country;username;password;age;income;gender
104;OXQBTJ;ADMPDGRMOP;UGDXNQO;NE;US;user9674;password;59;100000;F
346;ZQEOOY;ALTDXGQZOW;YKOVOHN;NE;US;user9020;password;30;100000;M
432;QMWTRU;AOXEBOGJUE;BDLAYZR;NE;US;user9828;password;27;40000;M
500;DKDAYQ;AQXGKUPUOH;OTNWHQB;NE;US;user1979;password;39;100000;M
548;QMNFSR;ASSRHUBNWF;LHRWRSM;NE;US;user2488;password;39;20000;F
589;MXGDVY;AUFXQLLWVE;MTJZLLO;NE;US;user3627;password;31;80000;M
680;DRSUBQ;AXFFRGEUJG;CZODLNE;NE;US;user8302;password;55;80000;F
1288;BUSJYY;BSZMNBIJMV;BTOQEGC;NE;US;user4589;password;26;20000;F
1347;PHOSVN;BUXNQDZOAQ;CQOGCBS;NE;US;user6557;password;74;80000;M
1419;PGRFLK;BXMQVOERVH;CQPBVEG;NE;US;user6345;password;47;80000;M
1434;VGUZPN;BXWEZNNAHV;DAHEJCT;NE;US;user550;password;54;20000;M
1591;XVPTHR;CDFGHHBGXW;PACFQST;NE;US;user6204;password;25;60000;F
1675;SDJJXH;CGMTBELOOB;RLDVDTN;NE;US;user4106;password;79;40000;M
1702;PCEHQT;CIHPHXNKHX;BPMHRSY;NE;US;user7172;password;23;100000;F
1711;UFQYYA;CIWHYHPHUE;JRKIQWM;NE;US;user8276;password;50;20000;F
1817;MZOGSC;CMRVLYVUOY;VRTRWXC;NE;US;user5011;password;63;20000;M
1922;YBZGZI;CQATYFKZAL;BMMNXXW;NE;US;user7252;password;56;20000;F
1952;KGXRRI;CQXGYHLHNY;ORHZOXF;NE;US;user626;password;75;100000;M
2076;IUZAXY;CVVJKXZQQO;MMUMIYN;NE;US;user1766;password;51;60000;M
2132;LRPGEK;CXTFCFQMSD;ZYWJBRN;NE;US;user443;password;76;80000;F
2421;QNRRLO;DHYFUVTDNU;GUUSGDU;NE;US;user5874;password;85;100000;M
