customerid;firstname;lastname;city;state;country;username;password;age;income;gender
146;LAQTXZ;AEXVJAGLZG;GFPSVAE;NH;US;user8312;password;84;20000;M
173;LNMWEU;AFQEZDDIRN;FPEEVZE;NH;US;user4367;password;38;40000;M
240;KJCWTE;AHSJRAGAKN;UHTEEIK;NH;US;user5075;password;53;60000;M
344;SXBLKH;ALRWLTZNPL;MNBAHZQ;NH;US;user3451;password;69;40000;M
373;WSXUWP;AMPACSGYRX;RQGYHZN;NH;US;user4310;password;56;60000;F
464;QPDBAD;APVPAUNPHQ;HTPTSML;NH;US;user3107;password;57;40000;F
691;GDTOVQ;AXLNGYQPZY;ZDUTAAO;NH;US;user4490;password;83;40000;M
826;XXCQYA;BCEEYYEYTB;TIURZBO;NH;US;user2791;password;18;60000;M
900;DTZJKL;BEXJLQYOCZ;FEXKOYA;NH;US;user7508;password;80;40000;F
940;EUEURC;BGECEVMXAC;WFAWYWD;NH;US;user7714;password;44;20000;M
1027;WXENRL;BJMVKCCCVL;AZPHJUO;NH;US;user459;password;38;100000;F
1065;REHCVZ;BLIYFROQUJ;ZABMEYN;NH;US;user8941;password;36;60000;F
1201;ZHLILN;BQLBWHDGOZ;IOBNKKF;NH;US;user7166;password;40;60000;M
1478;YZBKEW;BYYVDOLXXJ;TQEFKTW;NH;US;user3527;password;56;100000;M
1507;NWVREJ;CAFEDYYRZM;XTGAIJY;NH;US;user9837;password;78;60000;M
1543;VSDEZR;CBKGVKEEFU;VTQWHOA;NH;US;user9712;password;89;80000;M
1725;VKOGMT;CJIEXBZWEO;OQUOHMB;NH;US;user4585;password;80;80000;M
1752;ARYFYP;CKKIKKETIF;UFCBJEW;NH;US;user9687;password;76;60000;M
1769;ALPWVT;CLCNZTNTPQ;BNMIHAY;NH;US;user229;password;67;60000;F
1855;IUAYVJ;COBDHVVKJF;SNZGUZT;NH;US;user8501;password;58;60000;M
1890;EDCKFG;CPBBXROZKC;RMIUZNB;NH;US;user172;password;61;100000;F
1967;COIYKA;CRQJYWLFTE;XVJRYRG;NH;US;user8036;password;56;20000;F
2011;XKAWNH;CTJKULUUUF;FULBXXM;NH;US;user2229;password;80;20000;F
2043;CFFQZB;CUSQPHKFNG;MDAXTJH;NH;US;user8614;password;78;40000;M
2145;LPLPES;CYCIBJBGRY;GFHKCTM;NH;US;user4739;password;84;80000;M
2271;YVTYNP;DCIUBIBPSC;GINWXNY;NH;US;user1637;password;76;100000;F
2522;IKHCLL;DLCLJGDKIV;RFWHHEI;NH;US;user1562;password;21;20000;M
2611;IEMHUT;DNOLSQQUVD;NJTSCUP;NH;US;user3315;password;25;100000;M
2929;LKSYDK;DYVYBZLGUE;OFIESKZ;NH;US;user1311;password;52;20000;F
2990;KEKMMG;EAYCFBIJMY;VJAIQAP;NH;US;user86;password;50;60000;F
3091;GQQUHM;EEPGNUSYTU;FABPYGF;NH;US;user1390;password;24;20000;M
3218;LXLCLG;EIJCUGCVFU;IGNPRFO;NH;US;user271;password;75;40000;M
3221;LDZBUI;EIJTKLQPKR;VYJSNRK;NH;US;user8470;password;57;80000;M
3324;DDMWFH;ELYAPYGAFY;YDRVPPC;NH;US;user6382;password;48;80000;M
3381;GMUONY;ENQLNJKXPW;VHXWMSR;NH;US;user8206;password;72;60000;M
3383;JSPDXT;ENRFOOSGWU;XTNOVQT;NH;US;user7025;password;49;40000;M
3420;GXIXKD;EOXWGTVYGD;CTFYAWU;NH;US;user2600;password;48;60000;M
3471;CQEKZV;EQXTFMYQUV;EXSWONL;NH;US;user8532;password;34;20000;M
3563;PGRGJK;EUGAHQLLYK;OPNWQKZ;NH;US;user7944;password;21;60000;M
3592;KQTHKX;EVEEJKMKVV;ZGHMKBC;NH;US;user8994;password;32;40000;F
3651;PTNRVN;EWTYHTBARR;IJLLLUE;NH;US;user1244;password;35;40000;M
3799;RKKPCS;FCSABMWHUI;UKRJEYQ;NH;US;user8924;password;78;60000;M
3845;JQEUQJ;FDTSBSULCS;PXGLVYB;NH;US;user4288;password;53;40000;F
3916;AHRFAM;FGCRWOFGYR;HCTHXBE;NH;US;user3449;password;38;20000;F
4088;IDMTXL;FMJVPGWSEZ;RYVJCCN;NH;US;user8587;password;88;40000;M
4155;AJDLYI;FODKAODQIY;DAYQUDC;NH;US;user7469;password;35;80000;M
4174;GDCPUI;FOVVREPXAJ;TXPOURG;NH;US;user2750;password;48;40000;M
4272;GMFBVS;FRWOKOPBVN;STDESIF;NH;US;user5113;password;38;60000;F
4443;EJHHAI;FXIQCQQWSO;BHOMEWD;NH;US;user9253;password;62;80000;M
4487;HTVJEV;FZFZJGNWFB;MNGVJCZ;NH;US;user9395;password;86;100000;F
4614;VEJBPJ;GDWFQELAXQ;ZRMVARR;NH;US;user6152;password;46;80000;M
4630;ZMJQVY;GENCBCLFTB;ZLLOWXB;NH;US;user6736;password;69;60000;M
4775;FDOAZX;GJVLKOJOXV;JQLFFEZ;NH;US;user8574;password;48;100000;F
4799;XSEXJX;GKUDOJKHER;LXBBKPR;NH;US;user1682;password;21;100000;F
4862;VMGFYX;GMNMYNOMOQ;HOPBEWZ;NH;US;user7616;password;75;80000;M
5051;AQYWTL;GTMBXVOJHI;MXJZJAB;NH;US;user4704;password;61;60000;M
5107;TBYZHF;GVAACCBJSN;ICEDOQN;NH;US;user947;password;29;80000;M
5142;YFEGVW;GVXIDHNSJI;ZCORQCE;NH;US;user3750;password;86;100000;F
5287;GXLBXN;HAXFROUHYX;MDBZHED;NH;US;user4974;password;50;20000;M
5313;WOYFDS;HBOWFZPFLA;ENCLTTC;NH;US;user8580;password;36;60000;M
5334;GRIVKF;HCKGESCNRH;HBAXYOH;NH;US;user7719;password;21;20000;M
5476;WVIHUP;HGZBDCARLV;DMBVIDD;NH;US;user4139;password;48;60000;M
5484;TRFKQL;HHISNZKPLY;DLONYEJ;NH;US;user9305;password;30;60000;F
5612;TMUHLR;HLDXOPPUFM;NPNLIKR;NH;US;user7203;password;20;40000;M
5615;PLRGLT;HLFYQWYGJY;KRQJDOK;NH;US;user1117;password;86;80000;M
5757;TGARYD;HQFRXJHURL;YKSLINZ;NH;US;user4982;password;39;20000;F
5825;VUTPIB;HSGZUPMQBG;WVHDTXF;NH;US;user3320;password;33;40000;M
5962;VETQHC;HYCBQVHFRV;RJFVAAS;NH;US;user2173;password;61;40000;F
6097;JJVJLY;IBNECNXUVY;YHHVGDP;NH;US;user4643;password;41;100000;F
6146;ATILRN;IDGRDOGPBQ;AOCFGLI;NH;US;user7231;password;79;20000;M
6147;SDMNDP;IDHTGZAGQF;RLSHJKE;NH;US;user8218;password;51;60000;F
6360;ODWTKN;IJMTFODTWP;SDKZESA;NH;US;user3736;password;90;80000;F
6362;STTJDR;IJNLTVXKGR;UWGRWVC;NH;US;user8557;password;89;60000;M
