customerid;firstname;lastname;city;state;country;username;password;age;income;gender
56;VGEBGO;ACBWRRIWIC;BKAXIQX;NJ;US;user1822;password;51;20000;F
493;JVNHYT;AQTDLXIOGS;NGZEADA;NJ;US;user9085;password;45;80000;F
499;NAHLYF;AQWEGZDEIH;KWQKLGI;NJ;US;user6963;password;46;60000;F
521;GLZFLU;ARNYJHIXMZ;ZRBMYTG;NJ;US;user4124;password;21;20000;M
553;EFXQWL;ASUHEZGDDT;UMISGLD;NJ;US;user7443;password;73;100000;F
566;FFARVT;ATGYGHOHOV;DBPESZA;NJ;US;user6054;password;44;80000;F
606;MDTXFF;AUPQLJBCUT;GMLCMJA;NJ;US;user6470;password;55;40000;F
613;OYWZRH;AURTBIBCSV;RABYAQH;NJ;US;user6758;password;52;60000;M
1056;KSRFVA;BLAFMIXABZ;ZPPMGBO;NJ;US;user3090;password;28;60000;M
1102;ZHCQEZ;BMXXDFJDMS;WRXVSMU;NJ;US;user837;password;26;60000;F
1403;EMDMBU;BWZWAELBHZ;HYIQXSV;NJ;US;user9308;password;25;40000;F
1462;IZIOZP;BYOIYVKSVQ;FHDJXAW;NJ;US;user9479;password;55;100000;M
1468;RNBZFC;BYQGYPHOJI;YCYBJVO;NJ;US;user5149;password;31;100000;M
1499;AIBFRZ;BZXNASCIXS;GIJITAX;NJ;US;user8696;password;86;40000;F
1649;YNCFBA;CFMUJZIZDN;IQGVRQT;NJ;US;user7372;password;28;20000;M
1715;DGEDPW;CIZVRUQKCR;WWXBJVQ;NJ;US;user1149;password;76;20000;F
1765;RIIEJR;CKXYTDAAXJ;JXWWZNZ;NJ;US;user1399;password;65;20000;M
1775;CTJQRV;CLHDVRKMFL;ALZOGAK;NJ;US;user3443;password;76;40000;M
1829;CSFXNU;CNCKEFAOPV;WVXHRTE;NJ;US;user4096;password;67;100000;F
1889;KHGZYI;COZXVOOGBL;AQFOLCE;NJ;US;user3890;password;42;60000;F
1904;BCQMHY;CPOPTBKWMT;NGYIHBS;NJ;US;user5994;password;35;100000;F
1914;CFXJFC;CPUDSACHKI;GVUOCMG;NJ;US;user9518;password;59;20000;M
2159;NXJXGV;CYPDLTVKRC;NYJNUHW;NJ;US;user5739;password;26;60000;M
2161;DSSLNC;CYPULYPVQK;QCMVPDX;NJ;US;user531;password;28;60000;M
2204;HHWJQT;CZVQFRIJET;MZFSMEL;NJ;US;user9155;password;49;20000;F
2218;IOYERZ;DAKGVNFJOA;OCQKPMJ;NJ;US;user839;password;47;60000;M
2405;BBAXDS;DHEWDLHWMX;KLGSTDH;NJ;US;user2409;password;26;60000;M
2473;WWCTTL;DJPJCVZJNX;IPAHBWL;NJ;US;user9730;password;86;80000;F
