customerid;firstname;lastname;city;state;country;username;password;age;income;gender
266;XRHPLM;AIXBGVJFBG;UJJZNMC;NM;US;user1398;password;46;80000;M
359;OHFCJZ;AMERQJSDHL;RLYAWDF;NM;US;user1051;password;77;80000;M
494;VJBPIF;AQUIBPLWMR;OAUAEKX;NM;US;user4333;password;21;20000;M
541;XTBYFL;ASIJVXDVZR;LEVVWII;NM;US;user1329;password;43;20000;M
709;TONBGL;AXXEMIDRCV;JKEGCRI;NM;US;user9102;password;77;80000;F
711;GBJGNN;AYAITVXQIE;VYUKIIK;NM;US;user2339;password;43;40000;F
762;FKSPND;AZRCFBTMDS;DPKZFTM;NM;US;user3353;password;65;80000;F
870;QZUCNA;BDYJBUEAVD;KULCVSC;NM;US;user4539;password;74;80000;F
912;RFECBO;BFCRJYPKII;CHBWXOT;NM;US;user9585;password;22;100000;M
918;NYPDRY;BFKAVSKQYR;JSBXQGC;NM;US;user1429;password;55;60000;F
989;HAMRGO;BCHEXNJBRB;KSFGSTY;NM;US;user3725;password;23;40000;F
1239;DZTWYR;BROHTXCRAO;OBXVKVM;NM;US;user7256;password;81;100000;F
1667;OUXVJU;CGAVIGFQTO;TJRXODZ;NM;US;user559;password;20;20000;F
1774;IUKFFJ;CLFXQVDAIR;XMKNEUL;NM;US;user5503;password;54;40000;M
1807;CKGSHN;CMLZZSKGUX;AJRGQGV;NM;US;user8250;password;26;80000;F
1900;FZDPAG;CPKIHWWWQC;AOQQCFQ;NM;US;user9675;password;56;40000;M
1978;SWEDTM;CSFMLEETXS;ASWTYWK;NM;US;user4997;password;42;80000;F
2130;GOXPJC;CXQBMFYFMH;CFYBQHT;NM;US;user2248;password;33;100000;F
2290;PZJSEE;DCYKLNFSVX;PEXKCZB;NM;US;user7194;password;35;80000;F
2704;XRRDMQ;DQUXGNWEHY;SSSTKQA;NM;US;user3339;password;71;20000;F
2744;LTNXBZ;DSNTKYZAND;BLSBOZP;NM;US;user6562;password;52;60000;M
2867;QSPQNS;DWNYZORAMX;HXHIHXH;NM;US;user3166;password;62;80000;M
2886;SJCXCV;DXFARBSUXV;WVIRXOP;NM;US;user3806;password;34;40000;F
2938;CNRPJR;DZBEDUHGZR;SBVAAVX;NM;US;user2350;password;58;60000;F
3253;MFJIXY;EJKQQNLVHY;GXQSDWB;NM;US;user8065;password;79;20000;M
3310;LJHBZO;ELMJHURDNT;QEVZHOE;NM;US;user294;password;21;80000;F
3358;WFYDWS;EMYEMWRTFH;YDHEVUB;NM;US;user2355;password;58;20000;F
3434;SPYEAL;EPKYPRGXSE;TZEBFFU;NM;US;user2087;password;40;40000;M
3764;XWEWDC;FBDHHJOQLE;BYCEYYF;NM;US;user534;password;54;20000;F
3803;WJXXYO;FCTLIFHNPZ;OTYVJZJ;NM;US;user7954;password;75;80000;F
3806;VLAJVF;FDAELIKOWW;TXBETGB;NM;US;user6143;password;24;20000;F
3832;ISZINQ;FDLPZMBOGZ;KUILEFE;NM;US;user1601;password;46;60000;M
3918;RQUOAR;FGFKTLULWU;VYUPNWE;NM;US;user5625;password;31;100000;F
3952;DBHHND;FHOSARHFOC;FHCJUII;NM;US;user3859;password;88;60000;M
4116;JGEJSM;FNAJDTSTXU;CAKUYCH;NM;US;user4893;password;53;40000;F
4504;WPJKIY;FZWBVHHKSP;CARHFVU;NM;US;user9973;password;82;80000;M
4518;DOGBVP;GALQMOWVER;YHQGDFR;NM;US;user1361;password;65;100000;M
4820;VMORPP;GLJNKGJJAQ;KRIJROF;NM;US;user2899;password;54;80000;F
4883;OVBDUI;GNPDQJJWVC;ZISZIFT;NM;US;user8828;password;72;60000;M
5023;TVUEVJ;GSOXQQYLOD;GZPIMAU;NM;US;user2598;password;76;60000;F
5057;IVNWLN;GTQUZYVAEA;FKLTKWI;NM;US;user3336;password;47;20000;F
5081;OIPXKE;GUJZYBPIST;ZPYRTFN;NM;US;user4016;password;27;100000;M
5139;YNLJUH;GVQXQLCJVE;SKKWHBB;NM;US;user3183;password;25;40000;M
5248;GQVAIX;GZKMGDSSSF;AMJPDRT;NM;US;user4617;password;44;80000;M
5291;GZTBDI;HAYTLISIAV;EEEMIBI;NM;US;user3849;password;67;60000;F
5296;FLCQAZ;HBCUMAHVHV;SVXQDIU;NM;US;user465;password;21;80000;M
5357;TFDBAD;HDMJQYFXSQ;LVRIWXX;NM;US;user1460;password;64;100000;M
5428;DWWUBC;HFSJBNQNAD;QNZCCXT;NM;US;user3243;password;77;40000;M
5568;CDYDFA;HJZFOYYQSH;KJGMYVL;NM;US;user2792;password;71;20000;M
5639;TTOQOZ;HMDWDPKZUS;DFGTENG;NM;US;user6892;password;87;80000;F
5666;IGTUJX;HMXCVLCJPD;CJYRGXL;NM;US;user4328;password;65;40000;F
5807;AIGBSB;HRSRQMZJAG;WYUPXPD;NM;US;user8369;password;79;100000;F
5991;TGJGEM;HYWYUETPQW;HPCMECQ;NM;US;user1833;password;50;100000;F
6003;UEKRTU;HZKSMHUTRF;FNPUJIN;NM;US;user9707;password;84;40000;M
6096;CFLHWE;IBKSYYCAST;KZFGGCB;NM;US;user1762;password;31;60000;M
6099;DFYBQQ;IBOAMSZDMQ;PGMQJZL;NM;US;user8314;password;56;80000;M
6207;ONRKIU;IEXJASAHKM;OIYJLAD;NM;US;user3194;password;66;60000;F
