customerid;firstname;lastname;city;state;country;username;password;age;income;gender
89;ESIBSF;ADATGYDMLV;ZVWLYRK;NV;US;user2831;password;41;60000;F
155;BKUANE;AFEJABHPVF;SVOTEDN;NV;US;user7296;password;43;20000;F
202;QXESWY;AGMPETVQPM;DQHBZXK;NV;US;user9699;password;44;80000;F
263;VDHJMU;AIVMQXXYAT;MATMKON;NV;US;user6105;password;41;20000;F
385;BKWGWJ;AMYDQZMQFM;DHQKXBA;NV;US;user9243;password;20;100000;M
522;GSZDKZ;AROAKQJKIP;VYLIYBU;NV;US;user3267;password;41;100000;M
621;UNQTIB;AUXGUIDRUC;CENGLFT;NV;US;user9522;password;51;100000;F
636;ZHQXDE;AVLQODSGTY;XAXREGA;NV;US;user8713;password;77;100000;M
667;STUGZY;AWUQWFTIIH;ZHNTSMI;NV;US;user3080;password;90;100000;F
681;HFPWWI;AXFGYVDBWZ;VUBPBRL;NV;US;user374;password;56;20000;F
708;OFLQKO;AXWVTTLLVZ;SYMVNFH;NV;US;user2151;password;23;20000;F
769;CTLDTG;BABJDSEGVI;TBTYVKK;NV;US;user9523;password;49;40000;M
832;UWIYAO;BCJKJMKYDQ;VMTPKCM;NV;US;user4037;password;63;60000;F
1186;FHJDZN;BQAKWOXKMU;PPGPVNZ;NV;US;user2778;password;39;100000;M
1196;KLVZZB;BQFROUGPYT;AUPNROS;NV;US;user7791;password;47;20000;M
1214;PRNEBL;BQUXSGNXCM;KXQGZGT;NV;US;user1927;password;57;100000;F
1362;NQQFDC;BVGXBEOIWQ;DILXLZB;NV;US;user5566;password;78;40000;M
1660;CDZZKT;CFUWODLMUA;PEZTKIB;NV;US;user545;password;71;40000;F
1731;XMOOTO;CJMSFPHMZQ;YNMABNE;NV;US;user7124;password;61;60000;M
1834;DPKMVB;CNIVTDZEVE;FSBOXYZ;NV;US;user7214;password;40;40000;F
1842;KECLMA;CNSPZFBRJF;SJIWLIR;NV;US;user9004;password;25;60000;F
1882;DFENTA;COTLJUTAPZ;RANACGL;NV;US;user5510;password;58;20000;M
1886;GFKISM;COXPYQCQCQ;HDFANQO;NV;US;user7314;password;90;80000;F
1937;WGZQFS;CQOANVMPBQ;PWEGXWZ;NV;US;user8657;password;36;100000;M
2057;GOTZKV;CVHQPIZIUQ;YIBGYDW;NV;US;user3269;password;29;100000;M
2071;LWEOSE;CVRZJQESNL;WVGPSIW;NV;US;user419;password;18;60000;F
2128;OOBBJY;CXOVMNTOBN;FJZSAHE;NV;US;user3421;password;49;40000;F
2285;NQONZE;DCUHMJSLQR;GRZSNPK;NV;US;user4930;password;50;80000;F
2366;BFDEYT;DFVLIREGVD;TCOJVDQ;NV;US;user884;password;23;20000;F
2490;NDNTVR;DKBVKXMOSF;XTEFYYZ;NV;US;user7014;password;51;40000;F
2569;MIUQAM;DMLHLLDYNO;MUVIZGZ;NV;US;user6254;password;58;40000;M
2576;SYEJFR;DMPBEBSTRX;ZDSKIWC;NV;US;user6649;password;30;80000;F
