customerid;firstname;lastname;city;state;country;username;password;age;income;gender
165;FLKKWL;AFKMJMXZCK;JXDVNWY;NY;US;user4287;password;87;40000;F
336;UJDDFF;ALHMGHSYFM;RLWSLEH;NY;US;user8717;password;37;100000;M
367;YLSEGR;AMLXNBGFKE;QAGLGUR;NY;US;user5436;password;86;40000;M
380;HSDNBP;AMUHUVBRGK;RFSLPKB;NY;US;user2706;password;51;100000;F
472;ZQZSDR;AQDHXGJORH;PERSZEE;NY;US;user636;password;59;60000;M
644;YLBAEY;AVUFTYSUJO;FQBECMH;NY;US;user4123;password;32;60000;M
778;WIQIHN;BAJJLQXMAH;YAJJNYN;NY;US;user4675;password;70;100000;M
857;BRUZMU;BDHAUWWRLP;MXLXOKC;NY;US;user7716;password;20;100000;M
909;VZPCRG;BFBIRBJYIT;BHCTZBL;NY;US;user2693;password;63;20000;F
951;DUNFRG;BGWRFHAPBM;ZBCYGEX;NY;US;user60;password;34;100000;M
1001;NXAYNN;BIPGHLRRRK;NJCZRFJ;NY;US;user6797;password;87;60000;F
1019;UOQGNI;BJBVBKZMOX;SHTZONS;NY;US;user9722;password;84;40000;M
1153;IRPULM;BONDVJIZNX;TFRNEDC;NY;US;user4193;password;28;60000;M
1176;ISVNNF;BPRQSZFVFD;BDRPLYW;NY;US;user925;password;31;20000;M
1211;RXZVGO;BQSDQYXXMJ;AKUITRB;NY;US;user6638;password;35;100000;F
1230;TQKVAG;BRFTPLRRWH;MOZVVOW;NY;US;user5284;password;78;40000;M
1272;ZJTMLC;BSKNKBEUPO;WPGBYXF;NY;US;user6798;password;44;60000;F
1322;VMHKAG;BUBOXSJDEM;TCSMYLH;NY;US;user4896;password;78;20000;F
1460;CESJEA;BYNQMXQSFH;ENDAVJO;NY;US;user1220;password;87;80000;M
1544;WDWBMD;CBKIQQZLUT;TYYMOEN;NY;US;user6350;password;42;60000;M
1565;CXHJAU;CCDCMNLYMY;FHUQYDS;NY;US;user5944;password;34;100000;M
1730;ABACEL;CJMOBUPFYH;QQGXBKC;NY;US;user4265;password;42;100000;M
1848;CTESZI;CNXBQZPTXA;CVJRFTX;NY;US;user9552;password;24;100000;F
1980;LOTUTY;CSGCXSNVUZ;ABBYYQY;NY;US;user6108;password;66;80000;F
2061;XUBOFI;CVMGSTPFLB;VKXQWAM;NY;US;user7804;password;58;80000;F
2352;JLJSWX;DFGUMXXVAC;UVLTGAT;NY;US;user8592;password;48;100000;M
2511;TEBJWB;DKQFJGLNYS;NYNVNXN;NY;US;user9608;password;50;20000;F
2534;LMKVSZ;DLMSFLSRKJ;YSPRQIX;NY;US;user4244;password;57;80000;F
2720;AWDOJY;DRKLKTVYUB;EAIWUAU;NY;US;user5580;password;45;40000;M
2732;LUYBNX;DSBWUCGACA;IBVGLCM;NY;US;user7196;password;84;60000;M
2776;HCIOLL;DTKGLFKXXT;KDGHJKE;NY;US;user781;password;33;40000;F
2907;DHRGEC;DXYOEZNJOT;YILEROF;NY;US;user4711;password;69;40000;M
2913;NJDVPQ;DYDSMCMMIW;JGDZXPR;NY;US;user7979;password;82;80000;F
2980;MSGIZS;EAOGVHJZSS;UKWFIEO;NY;US;user8252;password;36;20000;M
3078;YUQRSF;EEFOZBWYRE;AWIWVHT;NY;US;user1900;password;36;20000;F
3116;KJBIPF;EFKGMOGNKQ;GJSFVAR;NY;US;user1522;password;23;80000;M
3187;CHURAJ;EHMMKRIPNH;THTBEMI;NY;US;user2976;password;67;20000;M
3282;NZEEAG;EKRJYGCEFU;DMPGQPH;NY;US;user3163;password;30;80000;F
3322;VYMUAD;ELXKDFLCQY;YZEKCOX;NY;US;user4961;password;24;60000;M
3463;LZHFCK;EQMYKDQTWE;KTFNOGJ;NY;US;user3128;password;63;40000;M
3684;WEEIWI;EYIUCELLKO;VNWKPPW;NY;US;user6299;password;26;100000;F
3763;UOOZYU;FBDAEUIWKO;OSLTKAO;NY;US;user1780;password;50;20000;M
3765;WMVWHR;FBDKAFVMIQ;ICUABUY;NY;US;user3041;password;73;80000;F
3839;JRBXAV;FDRRKZLLRL;ISBKRSJ;NY;US;user7274;password;37;100000;F
4001;SZZBKT;FJHJYJRNQL;LYQBNNG;NY;US;user3780;password;88;40000;M
4103;KIHFBT;FMTDTVDVUC;QOAHAME;NY;US;user1820;password;33;100000;M
4327;YNDSZN;FTMYDHNYUB;RSDDVEN;NY;US;user3702;password;29;100000;M
4410;LLZBQJ;FWEBSFEXZK;CXFXZZM;NY;US;user6775;password;84;60000;F
4477;QOCNKU;FYSOMCSBYH;HVQGEKA;NY;US;user7982;password;25;100000;M
4506;LAUHLF;FZXGAMPYNA;YKLCDPU;NY;US;user6993;password;52;20000;M
4553;YKOENM;GBUEKQYVMX;TPNFIXC;NY;US;user8489;password;33;60000;M
4712;BADMTS;GHJFFWYEYG;CLXZAUZ;NY;US;user6036;password;60;40000;F
4803;OKDCDF;GKXNNSSCDR;EHIEKLM;NY;US;user8235;password;83;100000;M
4807;HWSBMH;GLBTOSJHKJ;SRXERDX;NY;US;user7931;password;43;60000;F
4982;VXHJCN;GQOVRYTOFN;NGHCELL;NY;US;user5058;password;33;40000;M
5047;KCOBVM;GTHEJXFYUU;VPYGMKH;NY;US;user4528;password;78;60000;M
5386;DXFZAQ;HELYOYDZYP;ZNVAXML;NY;US;user3444;password;35;100000;F
5411;KLPSAR;HFEPAIFZVT;THVKLST;NY;US;user4458;password;34;40000;M
5413;GCISDE;HFFJOMHIUO;WSIRXUD;NY;US;user8770;password;77;60000;F
5636;QUXSVH;HMAXUEJQGK;HRMUOHT;NY;US;user2631;password;54;40000;F
5667;OYYHLZ;HMYONZTMWE;LLEXEMR;NY;US;user7795;password;25;40000;M
5699;VDKLJQ;HODFWQYDXJ;WAGVWQV;NY;US;user5708;password;39;80000;F
5770;PXLCHG;HQSSAATCRR;QSBMIYK;NY;US;user7429;password;85;40000;F
5968;GHWMSR;HYEBMFTIOM;JQZLCDM;NY;US;user3482;password;54;20000;M
5990;PZHNFS;HYWJHBSRMY;DKRSYON;NY;US;user2651;password;38;80000;M
6262;TFARZA;IGRMPVEIQI;TSLOHCJ;NY;US;user5421;password;84;20000;F
6334;QWMOPP;IISJCTHILK;ZSPIZTA;NY;US;user8963;password;69;80000;M
6439;XPQPQB;IMFNUWKOOE;OXNGJGL;NY;US;user4709;password;89;20000;F
6507;JDXYTL;IOGQRQJBOC;GSOFAUL;NY;US;user7178;password;43;80000;F
6695;MUTAVN;IUIDVLHIUA;RZXBQBY;NY;US;user7273;password;60;80000;F
6833;CFPYVB;IZPJMFUZCX;NUBOBIM;NY;US;user3410;password;88;40000;F
6987;FOJBYN;JFAGUGRPMF;MUUYAYF;NY;US;user9087;password;25;20000;F
7169;XPKXPM;JLIYZFQXDV;TEXKYSZ;NY;US;user8850;password;61;80000;F
7355;SAFAIR;JRUDYWRQJK;ENVWGZD;NY;US;user3962;password;56;80000;M
7510;UCPSKQ;JXFYNGXAYD;NWDRRGH;NY;US;user1929;password;61;80000;F
7561;MVIMGF;JYVHYMBVPH;FPYKQCL;NY;US;user8695;password;69;100000;M
7605;GTMIBH;JZWBDSPOHY;LGLSDQO;NY;US;user6536;password;33;100000;M
7744;UVBWOT;KEPDSQDXUD;UOBXGMH;NY;US;user3225;password;42;40000;M
7793;VGRUOQ;KGGJLAVFZO;FZPMVQN;NY;US;user7962;password;31;80000;F
