customerid;firstname;lastname;city;state;country;username;password;age;income;gender
82;OQHQLV;ACUZRLCSGA;REKUMQX;OH;US;user8217;password;47;60000;F
225;AWSVGH;AHELCETQHA;QBYOWAD;OH;US;user6699;password;76;80000;M
277;WBNLVG;AJHLAJENUO;TCTJTCO;OH;US;user2421;password;35;60000;F
297;ANWVIR;AJYTUOSJDF;CHEEVRX;OH;US;user9083;password;62;80000;F
318;XKHQZN;AKRPFUQSMA;JUUPFWZ;OH;US;user1119;password;26;40000;M
324;LCGAJR;AKTWEFHRXT;RTAJJSM;OH;US;user4708;password;67;60000;F
386;AAZUWR;AMYFULSJXX;LTIFPVW;OH;US;user3855;password;33;80000;M
449;SXSZBX;APLAUVHQFE;IWPKCBP;OH;US;user8024;password;78;100000;F
514;RFHJYE;ARJFHEEUAE;NVKMYIR;OH;US;user3581;password;34;60000;F
634;EBNJVO;AVHRIRCBML;IHYPWTB;OH;US;user4431;password;38;20000;M
694;BYSEQL;AXNROZRHIJ;TMKIVXX;OH;US;user255;password;58;80000;M
725;JUEIDO;AYRHSSUOZY;UXWGDYK;OH;US;user4150;password;20;40000;F
949;EOPTFH;BGQYVFHEMD;KRIYFHG;OH;US;user8935;password;75;60000;F
1334;QQRGDQ;BUPASKBWTU;XKACXSY;OH;US;user5712;password;39;60000;F
1348;FOKVOH;BUYHYTQEVQ;TYBGDQQ;OH;US;user8303;password;83;60000;M
1360;EBVNTF;BVGPVYWDUD;NYUJMSV;OH;US;user5081;password;30;100000;F
1386;OHMMWP;BWHRNXLYOO;ICKVHFM;OH;US;user1852;password;63;60000;F
1475;MFXMQR;BYWSXXQUVY;SKXNUVY;OH;US;user8467;password;53;80000;M
1516;ZKBZNS;CANYEDQPUP;VYXYHHR;OH;US;user2292;password;30;100000;F
1559;FTVQGR;CBYIZZIDUI;WXXIYXT;OH;US;user9956;password;67;40000;F
1560;JTAIDO;CBZMMLEFYY;BCWUWYM;OH;US;user2701;password;37;60000;F
1703;XYZYMG;CIKKPRFKPH;BBWPWNJ;OH;US;user5780;password;38;60000;F
1744;RVDYJW;CJXXSMVMWE;HVTVVEY;OH;US;user7878;password;63;60000;F
1999;SEQNGN;CTANNESWUB;ZVKAHUW;OH;US;user9025;password;65;40000;M
2133;PPPFXV;CXTIDPZRRW;YFETERU;OH;US;user5373;password;62;40000;F
2201;ANSDRN;CZUFSSPPGA;ISDZIXI;OH;US;user2618;password;36;20000;M
2229;LMXYVP;DARCPPDCFO;WICBEVF;OH;US;user4183;password;79;20000;F
2306;IYKTKB;DDOUXKZLXJ;OWIBRLI;OH;US;user520;password;39;100000;M
2361;KESFDI;DFRTAKVCVV;LMRHTPK;OH;US;user4588;password;41;60000;M
2375;NYKCZU;DGDSZJSDNW;VXXBOKD;OH;US;user5951;password;34;80000;F
2417;EORTXS;DHRRFNUWCI;JSSOSZF;OH;US;user9505;password;22;100000;M
2570;QMJSZD;DMLVFLUXZW;QJQDNUM;OH;US;user4300;password;84;20000;F
