customerid;firstname;lastname;city;state;country;username;password;age;income;gender
233;WYYRNH;AHODPQOFKT;YYWQTZN;OK;US;user3211;password;67;40000;F
425;ZWPCLE;AOKNHNDWNI;KOXLGLQ;OK;US;user7329;password;67;20000;F
624;XDZLXF;AVBWXMBDFI;JJZUNCF;OK;US;user2669;password;43;80000;M
1004;HBUUYT;BIQCDTZGIU;LMCNBWQ;OK;US;user980;password;26;60000;M
1005;WZLCVC;BIQNKHPJQI;FNOHUDV;OK;US;user2193;password;88;60000;F
1110;VLKDEB;BNEOHBNSSW;PQVVNCI;OK;US;user8187;password;25;80000;M
1164;SAJVEZ;BOZXMXNSBF;ENIRJVI;OK;US;user1059;password;86;40000;F
1661;DHEOYL;CFWWOCOSUY;COSMFZR;OK;US;user4584;password;63;100000;M
1707;ODNGHD;CIQKTSWMNS;UJIGALI;OK;US;user8245;password;89;80000;M
1747;JMJHVJ;CKCQNVGKVM;FUGJAOK;OK;US;user4005;password;53;40000;M
2003;WGZAZN;CTFRHRDAZX;HXVLMVM;OK;US;user3052;password;45;40000;F
2035;EBUQFJ;CUIAQUEKMN;MRPNFRP;OK;US;user1986;password;85;80000;M
2286;RFANAO;DCWPOOPYYN;GEQUXBO;OK;US;user3699;password;68;100000;M
2441;VQQGZP;DIMTPFNCKI;LRLMQNG;OK;US;user4678;password;49;40000;M
2510;RHQTTT;DKQDUPSYYD;XEGHIZA;OK;US;user8103;password;24;100000;F
2568;EBTXHV;DMLBRHEJLX;LKAFERG;OK;US;user1061;password;87;60000;M
2676;YMVLEV;DPMTPACJSA;YABWIFC;OK;US;user1202;password;63;80000;M
2770;XYNFPJ;DTFRJIEZZY;BIJTFBO;OK;US;user8116;password;71;20000;M
2863;MXGMCL;DWKTQTPFAF;ZFCGYMU;OK;US;user9744;password;26;80000;M
2920;WNICOJ;DYMWCTRLMT;ELPPWGI;OK;US;user9524;password;53;100000;M
3196;GZOQRE;EHVLKOAALX;EQYHMWF;OK;US;user9657;password;72;40000;M
3485;AAZQJX;ERFPAAQCGV;ZQTYJGR;OK;US;user4309;password;83;20000;M
3627;RXHTOX;EWCUUOUAQN;EAFMIBL;OK;US;user3778;password;26;20000;M
3643;IDRNTB;EWQNEWVURD;AJOBTJE;OK;US;user8908;password;31;80000;F
3710;OZHFKG;EZMMCEHWFJ;FYAELJD;OK;US;user4854;password;27;20000;M
4163;BNOMIJ;FOITNOTZAL;YQHHGTY;OK;US;user4243;password;82;20000;F
4213;OSPLES;FQDIDSPYWF;BPOCHNV;OK;US;user2105;password;65;80000;M
4362;QVZEDT;FUMYMZKTOL;FOIDTGB;OK;US;user1532;password;73;100000;M
4655;VPYFPC;GFFOEPPYBH;MQWLCAY;OK;US;user814;password;24;60000;F
4851;JMJVIJ;GMARJKZFRY;AECZKTO;OK;US;user3178;password;30;100000;M
4898;ZJZVTB;GNYRYORLCZ;WAVNEBG;OK;US;user8014;password;72;40000;M
4924;TPFFKS;GOTLRGIARO;XBSATVV;OK;US;user5671;password;47;20000;F
5199;FYGQDG;GXSXZRKAUE;HPSERBW;OK;US;user4494;password;69;100000;M
5262;NMYVIV;HAEMTVBKFH;NCCQYBJ;OK;US;user7246;password;63;80000;M
5294;VFSUHL;HBBALSPYYK;BXLAKVT;OK;US;user2334;password;43;20000;F
5315;PVSHOF;HBRBHZEGMS;DZSXZOY;OK;US;user5190;password;57;40000;M
5416;YQZXTH;HFGXRLGWTL;RWCIBNB;OK;US;user8071;password;20;60000;M
5494;UNVIBY;HHSDLFFKQV;QNJDIYH;OK;US;user8840;password;75;100000;F
5510;FVQHBM;HIFXPHHHPF;NZPSRLT;OK;US;user9847;password;61;100000;F
5571;UVSQCH;HKBEZJGXKH;RYERCIX;OK;US;user4750;password;90;80000;F
5579;QOHWFB;HKHPZHBWJK;OCNGJBS;OK;US;user6704;password;23;100000;M
5606;IYQENO;HKZACVTMLN;RLAWGRP;OK;US;user4707;password;77;100000;M
5624;LRRFTJ;HLQHDZUUQS;LEODKVW;OK;US;user7619;password;23;40000;F
5817;YBUNKF;HSCUUYLFNS;UGPSETC;OK;US;user3012;password;31;40000;M
5918;JYOZSA;HWFXFDHLQE;HYVITEW;OK;US;user665;password;24;40000;M
6050;QYYDYA;IABCONGUAJ;WHZUDVR;OK;US;user3468;password;54;60000;M
6112;EORYXM;ICAJKZPMJK;ZXMEVOL;OK;US;user649;password;66;100000;M
6116;YGVTCW;ICJBXPAJQT;NZUQIIC;OK;US;user4849;password;42;80000;F
6234;EIXCLV;IFSXYIKIGR;PUNUBUI;OK;US;user5763;password;25;40000;F
6259;DPUUGH;IGKJBIDCOM;DAQRPGJ;OK;US;user1028;password;60;80000;F
6260;DMDIRU;IGLCBUQACR;BVQJYHJ;OK;US;user9016;password;63;20000;F
6303;MAZBJN;IHZXEVHBMR;RFPAKLU;OK;US;user7697;password;54;100000;F
6322;ZMXEMN;IIHNWNRBZS;NYDHWVV;OK;US;user2171;password;49;40000;M
6342;JDTEMS;IIWLDLBFKC;DVTROSN;OK;US;user1176;password;51;100000;M
6694;QCVOBE;IUHXEWCSIK;DYORYHP;OK;US;user8682;password;67;20000;F
6722;JEDSUF;IVCFQCOPCM;BTZTDVO;OK;US;user2859;password;85;80000;M
6729;JRPKZN;IVHJZOFNKY;RYNCJQA;OK;US;user2159;password;87;60000;M
6852;ZPHAGP;JAGTNPDGJU;JOFFIOD;OK;US;user6726;password;88;100000;F
6870;FYHFPW;JAYYIUVHIU;VZYLULS;OK;US;user3153;password;39;60000;F
7038;KJHDJA;JHHRWOFSRH;IWAHXQR;OK;US;user6055;password;41;60000;F
7055;AUCZOG;JHZDAABYYI;TOLWLJM;OK;US;user6952;password;32;20000;F
7149;OVKQKD;JKPTHRAYQA;YUHTTLA;OK;US;user6230;password;71;100000;M
7192;JYQFWW;JLZIITTQTR;EKYYEJR;OK;US;user1923;password;34;20000;F
7225;TDGGTZ;JNBQLSPKGB;IBXLCZG;OK;US;user605;password;67;40000;F
7299;YNLWWJ;JPTLMAFGZI;LBUUJAW;OK;US;user9734;password;29;60000;M
7371;VUPYED;JSGFBLMMWV;VKABKIE;OK;US;user3708;password;47;60000;M
7390;QCLKKR;JSUFCAHLZK;MLQSNOO;OK;US;user4903;password;89;60000;M
7467;ANDCNI;JVMQBXERDL;PBIOFLM;OK;US;user6988;password;90;80000;M
7489;SZHRRK;JWEKFCBRDO;BCQVQZS;OK;US;user8405;password;43;20000;M
7587;LXSOUG;JZJIRMFHOX;HMRJYDS;OK;US;user140;password;46;80000;M
7628;RVZBIE;KAQJZMEBKQ;QNJUTMP;OK;US;user4286;password;36;60000;F
7954;KDLAEK;KMHJNDUFSI;URFNELH;OK;US;user8866;password;41;40000;F
8201;ULBCPE;KUCAYDXIJU;PRQAQMS;OK;US;user9991;password;38;100000;F
8292;WDOBPA;KXAYSNIWQE;XMCNRDH;OK;US;user5300;password;52;60000;F
