customerid;firstname;lastname;city;state;country;username;password;age;income;gender
22;PWGKGT;AASNAZCBEQ;PPCDMTC;OR;US;user5043;password;66;80000;M
47;BHXQOJ;ABTGLCHBNY;JXPYCGK;OR;US;user2900;password;55;40000;F
53;SVPSNK;ABZGKLSDEA;NTOBAWR;OR;US;user9541;password;33;60000;F
103;FOEFQN;ADMNDZALJL;AQPHNZG;OR;US;user6265;password;89;80000;M
203;PLCUTM;AGMTQLKZWO;TTQWPJI;OR;US;user1499;password;71;60000;F
207;TAAIEB;AGQPKSVZPD;BQHXWZL;OR;US;user4184;password;54;80000;M
218;KVAXMC;AGXIDCWUAL;CWYBIPU;OR;US;user7113;password;57;40000;F
497;IVWWOE;AQVRYJFQVH;BVAOODP;OR;US;user8701;password;60;40000;F
672;NYQNOK;AWYJSFNKFN;BWNXJDG;OR;US;user5187;password;59;100000;F
855;CETNJO;BDCATCIAKJ;WXQTQPD;OR;US;user985;password;35;80000;F
860;VOQTLS;BDKLXYXLSB;VELFLEK;OR;US;user5915;password;86;80000;F
911;EHQFES;BFCOPAPFUF;HFUWLME;OR;US;user6117;password;29;100000;F
983;AXTMOK;BHXBGEIAMD;KUHULID;OR;US;user6596;password;73;60000;M
1083;YHLXJY;BMDQYMQFOK;TPPMESP;OR;US;user3306;password;67;100000;F
1132;KNLHKI;BOAPRCDERG;DCBDCSD;OR;US;user5033;password;47;40000;M
1252;EKUBYI;BRZSGGYGOO;WIGJYOD;OR;US;user5880;password;32;40000;M
1278;DKMFDP;BSNZJDJPIS;JIDANPO;OR;US;user9562;password;48;80000;F
1515;GGQZPO;CANUFYNXXC;OTXYBKY;OR;US;user7853;password;32;80000;F
1518;OANHVR;CAOUMZIUEZ;ZLDQOSF;OR;US;user67;password;29;40000;M
1659;EBXJKX;CFTZCYDDUX;HJUSKHE;OR;US;user9204;password;39;100000;F
1804;OSGUYH;CMHUXYGBNN;HORUKJY;OR;US;user395;password;21;20000;M
1983;HARWYC;CSIDDDEYHY;FMYXMJG;OR;US;user8661;password;64;100000;F
2085;ODLPXE;CWDKMSTYJH;DQJLFHT;OR;US;user7832;password;80;40000;M
2303;SJTGNW;DDKRSIQGPU;WKSXYKP;OR;US;user3700;password;50;40000;F
2350;OKRGYW;DFFSAESDTP;OOZCXVM;OR;US;user4688;password;21;60000;F
2410;AFKOAG;DHJKJYYFGE;QRXBIDA;OR;US;user8075;password;32;100000;M
2435;DOAQEK;DIKPMEVDWU;UEXFOCI;OR;US;user4169;password;48;40000;M
2487;JZIRJT;DKAEGHHEQN;GVBDHPA;OR;US;user6340;password;47;40000;F
2544;PLAORW;DLRDIKXYUO;HTZYRRR;OR;US;user5226;password;34;80000;F
2565;CMMHAF;DMJCFNOTRG;FTAQKSQ;OR;US;user9927;password;38;20000;F
2644;VYZGJN;DOJQVRSIYB;OMIDWIU;OR;US;user2141;password;41;80000;F
2717;SSWUVJ;DRCHQHCVMV;WBSUBJM;OR;US;user7215;password;31;60000;M
2842;LASBEO;DVRTOYORRZ;XEXEJBX;OR;US;user3888;password;70;20000;M
2926;RWSPZL;DYSFJPJBUK;CBVSBBX;OR;US;user5324;password;26;40000;F
3031;NRTHWC;ECJNHVVXPR;COGCMCP;OR;US;user2150;password;77;100000;M
3048;KGOLQB;ECXPCVMKHV;GNLUIZA;OR;US;user2971;password;58;60000;M
3171;SYNGWN;EGXBUXTVRA;GOUJYUS;OR;US;user4039;password;88;60000;F
3220;UYAJIU;EIJQCFOGOS;KANOLNO;OR;US;user2528;password;79;80000;M
3239;AFDUHI;EIYDLMKELL;XLVMOCP;OR;US;user6234;password;31;80000;F
3357;CPZSSI;EMXJZAUHLL;TYCGEUM;OR;US;user4679;password;74;100000;F
3368;ZMVCXZ;ENGFNAVXHT;XCZJFVB;OR;US;user2787;password;58;60000;F
3523;UXFMDX;ETBSBVBUVF;LDBXQJQ;OR;US;user9514;password;20;80000;M
3547;VHMPUK;ETQEJRMTYK;XSQJZIA;OR;US;user4421;password;67;40000;F
3947;IFBCZP;FHJDSDSCWD;JJGBEOR;OR;US;user4133;password;18;80000;F
3951;CMYWQG;FHLLHPWNZQ;QZUKNIQ;OR;US;user37;password;60;20000;M
4006;WDCOJO;FJNRJNDFDF;RLDIQXF;OR;US;user8810;password;47;40000;F
4128;LUHPWP;FNHIGJBJYE;JHKSBNJ;OR;US;user6226;password;39;80000;M
4171;QCWGNR;FOSKEMQXBS;SXTNIGR;OR;US;user9320;password;24;60000;M
4218;KYVMBG;FQEWWPONLE;DPZJKAJ;OR;US;user6717;password;73;40000;F
4321;PAATXY;FTJPQYFXYL;KLAZHKE;OR;US;user500;password;41;40000;F
4372;JGGGEO;FUYNLANMMD;JWQQYRQ;OR;US;user8279;password;80;20000;F
4491;VVCZER;FZJUODRXYY;WEVKDRS;OR;US;user7134;password;63;60000;F
4568;WRQIHK;GCEKYWLAPD;UCLJRKF;OR;US;user4363;password;49;60000;M
4597;ASAFBG;GDBMLPHKLK;FVHJMLX;OR;US;user5900;password;53;40000;M
4623;EYMGLK;GEJPMNNMOP;FMFTZAD;OR;US;user7229;password;68;20000;M
4633;QSSZQV;GENRMYIQRO;FYLVOQS;OR;US;user3347;password;86;20000;M
4691;GCDKHM;GGMFYTOHLT;TQBYNNT;OR;US;user5481;password;49;80000;M
