customerid;firstname;lastname;city;state;country;username;password;age;income;gender
41;NVXUVA;ABLVWOOWSX;YFWACRT;RI;US;user8849;password;18;80000;M
140;HDNZWH;AETBEZNEZS;PSMCRFJ;RI;US;user277;password;43;100000;F
150;FIIWRA;AFAXRVZRQS;DEFPURE;RI;US;user9121;password;52;20000;M
295;FIWLMY;AJXTSIQIUY;HJGNPRY;RI;US;user1209;password;38;80000;F
369;PDNNJX;AMNMDNNERT;MJOCYLT;RI;US;user4379;password;28;80000;F
430;GIJEZF;AOTWJJYWNM;ETVNJMV;RI;US;user6374;password;24;40000;M
555;MZDCTB;ASVWSEQFEF;QPZHAAW;RI;US;user7671;password;19;60000;M
761;DBWULW;AZQMWYFKAF;IBQKHBA;RI;US;user1282;password;26;60000;F
853;QBINVO;BCZYIXYGCJ;DFMRMCS;RI;US;user7573;password;62;80000;F
917;JRLZDB;BFJXYFXETE;WNLGSAE;RI;US;user7388;password;90;40000;M
1006;QXKOLF;BIRWUDQAEL;HYCAHPV;RI;US;user5572;password;62;40000;F
1057;LFTMFK;BLBFJNRXLD;MJDNREG;RI;US;user3566;password;71;100000;M
1100;WTGBJI;BMWPTYGAJA;JNSIACL;RI;US;user2891;password;58;40000;M
1169;VMYFDK;BPFUHQRXBZ;VGIJEVZ;RI;US;user7291;password;63;60000;M
1229;VXWYPQ;BREVWGGDXX;GGKYBSL;RI;US;user4358;password;39;100000;F
1325;PMRFJI;BUEFFQGFLT;NJHFFUQ;RI;US;user9774;password;52;40000;F
1418;WWLIOG;BXLUKMHCNE;EGTPLFC;RI;US;user8041;password;35;40000;M
1587;GCALTS;CCZHKCBPTL;ZMNXYXF;RI;US;user7851;password;61;20000;M
1609;ULJIPP;CDSBQNRTAR;IKLWETK;RI;US;user8550;password;22;40000;F
1862;SSQLWY;CODQIATRKL;JYEJEWX;RI;US;user9506;password;45;100000;F
1863;VTPJRP;COFFPYAWMI;TLYESRH;RI;US;user1091;password;21;20000;M
2012;CYGEDJ;CTMXFXEBDS;MXBMYVG;RI;US;user2972;password;75;20000;F
2237;LMRMFY;DAZAXGPNIL;DZRXBLA;RI;US;user4047;password;82;80000;M
2256;QFSITS;DBQVHXNFXH;AFYWCEF;RI;US;user4142;password;68;20000;F
2592;AEOIZJ;DNDXJFENXB;SPBHYZH;RI;US;user1403;password;89;60000;M
2638;KYSDGA;DOHQNPWUSC;TTZFCKY;RI;US;user4763;password;77;80000;M
2641;JCOHZU;DOHZBYXSWC;OUEMJSO;RI;US;user789;password;20;60000;M
2816;XBUROI;DUVDFMCIJA;ZNIAHHH;RI;US;user9046;password;72;40000;M
2836;PSAUHR;DVNUREYXFD;EHDLRIN;RI;US;user2005;password;90;100000;F
2871;YKLQFC;DWTSOLTIMP;SOFYYPK;RI;US;user2575;password;56;80000;M
2915;KBTZZP;DYGUWFQFTP;WDLSBYO;RI;US;user6745;password;20;40000;M
3304;VFQINP;ELJJFZACHQ;ETUGJLH;RI;US;user1834;password;49;100000;F
3388;MAZFUU;ENVGZNQDZP;TIPNFXS;RI;US;user91;password;22;20000;M
3424;TPTVHB;EPBYAVQOHA;TAFUVNP;RI;US;user7032;password;27;20000;F
3667;HQPSMJ;EXHHQDOKYL;YWLCNAA;RI;US;user7471;password;60;20000;M
3753;PNXKOF;FAVCYUDRGE;LSOAFFP;RI;US;user6106;password;37;60000;M
4067;UAFIZN;FLQLIGORKS;FKKNCXR;RI;US;user1139;password;29;20000;F
4098;AFLMVS;FMQAYLAAMV;QBLHYRF;RI;US;user8809;password;47;80000;F
4181;POYPWX;FPAZJQQITM;LMMDCMK;RI;US;user8858;password;90;60000;M
4201;HFOSKI;FPQYIHNIUY;LKTFQQD;RI;US;user3465;password;48;40000;F
4215;JMXHOH;FQDYYWKTFN;SMSJQXV;RI;US;user2264;password;70;100000;M
4288;IVBNMJ;FSIOBOVCZK;KKYKRFL;RI;US;user2314;password;44;100000;F
4564;JQIZMF;GCDRDHJOHJ;QPESABE;RI;US;user5602;password;23;20000;F
4572;YWICVX;GCGSAKMEOX;ZUMAFSP;RI;US;user4781;password;37;100000;F
4784;JDRNHE;GKEZLMYAWM;DBSRLOT;RI;US;user1345;password;19;80000;F
4824;JWAPBL;GLKNNOTISF;XYWNFOD;RI;US;user3164;password;88;80000;M
4831;LUNUWY;GLMQKIDFUJ;PRHAICH;RI;US;user6855;password;87;40000;M
4836;GWYLFF;GLOWJSSSUW;MFTQOPC;RI;US;user5733;password;67;40000;M
5168;MPZSSF;GWXNUGRJUL;EQYAIXU;RI;US;user2413;password;43;80000;M
5237;FEEKWA;GZCGEKREHG;DRZYNRB;RI;US;user8710;password;73;60000;M
5305;GZOTHA;HBIXFUUTGH;AYLFCNY;RI;US;user8622;password;64;40000;M
5345;JDBYPV;HCWEBWPOCS;YWUJTNY;RI;US;user6879;password;18;60000;M
5435;XPYCOX;HFZQMMGSFP;XHPAQWD;RI;US;user8906;password;74;40000;F
5473;VFMBQU;HGYADLMITO;KQEHMLP;RI;US;user8815;password;36;60000;M
5501;MMGTSB;HIAPYYYQTY;SRZMDFP;RI;US;user9467;password;63;60000;F
5653;RFQXFO;HMOCORWVSQ;SYBLILH;RI;US;user1047;password;37;20000;F
5893;SQGSCG;HVHNXOCYLA;VRTFMJX;RI;US;user928;password;25;80000;F
5948;DJCLVA;HXPOKRMGAL;HENAUQG;RI;US;user7659;password;69;80000;M
6315;KMUBXP;IIDYBVQYZD;ZHKTLNT;RI;US;user488;password;86;20000;M
6419;GLIAXK;ILLONMWJTG;ULWEBOQ;RI;US;user1936;password;50;100000;M
6893;QSPXVJ;JBPPQDZUAM;INCLXCP;RI;US;user4371;password;25;40000;F
7019;TTAFAF;JGKCMUNTSK;PYQWPED;RI;US;user3181;password;64;20000;F
7082;HFJSQU;JIPMXSFUXK;RCYITNZ;RI;US;user8921;password;40;100000;M
7096;LDHVIG;JJAGOEVFCK;QTHMPJG;RI;US;user7339;password;36;80000;F
7097;GPQSUZ;JJAQUYKBHJ;CBXBFBM;RI;US;user6095;password;60;20000;F
7313;ZQTLTG;JQDLMNFNIU;NMINQEG;RI;US;user7882;password;31;40000;F
7634;QTQYZN;KASXYGBFNE;TLVNARH;RI;US;user3898;password;43;60000;M
7755;RQJOWE;KEZXVWITKH;QTURUKK;RI;US;user6213;password;79;40000;M
8000;USGQRA;KNRMDMAJPI;BKHCLMI;RI;US;user9326;password;46;80000;M
8158;TVUQWI;KSZDZVNAIJ;QBGVXBK;RI;US;user4793;password;77;20000;F
8167;HGNJDR;KTGLDHKJBO;CHSWBWH;RI;US;user1442;password;69;20000;M
8376;EGWRZN;KZYURJAHTR;ULNEBIZ;RI;US;user2115;password;84;60000;F
8411;RQIUKV;LBBJATYCKU;UKBJREJ;RI;US;user2818;password;18;40000;F
8521;KXKQKC;LEQJCFEUHI;AMOLDFY;RI;US;user3491;password;64;80000;M
8563;RPTMIY;LGGRYQQAPI;DYFEKLH;RI;US;user7300;password;81;100000;M
8716;ZQRIDB;LLSRXKDZUR;WVQFDDQ;RI;US;user5640;password;78;20000;M
8770;QASXGM;LNLQQAZQHR;ETVBZRP;RI;US;user9679;password;40;40000;F
8801;LURRIU;LOMHUCBXWV;SXPIEMD;RI;US;user2910;password;55;100000;F
8891;LQQZCM;LRKBNXMZUU;XSDIQXC;RI;US;user2196;password;29;40000;M
9039;QUHWZB;LWDMAYRWDI;EUOSHRJ;RI;US;user6269;password;26;100000;M
9071;IFOTDB;LXBGMZVZNY;EJALDHH;RI;US;user7007;password;31;40000;F
9298;RCBPKF;MERBZNQZAT;TNXSZQE;RI;US;user4167;password;67;40000;M
9620;KRJLXJ;MPVZFCPWGM;LFUMFUX;RI;US;user4475;password;59;80000;M
9642;MNIEGT;MQWWRQHZDL;HIIZECY;RI;US;user8751;password;39;20000;F
9722;KOWBOW;MTQBXZVWVO;GPXRAGR;RI;US;user415;password;33;40000;M
