customerid;firstname;lastname;city;state;country;username;password;age;income;gender
1;VQSCJE;AAAGBGUUNE;MKHPWIJ;SD;US;user4180;password;72;60000;M
313;OTIODB;AKORSQIELV;CBRLCMW;SD;US;user2630;password;40;40000;M
416;BVGEBE;AOCJNANWUZ;IMUXTHB;SD;US;user583;password;29;60000;F
468;CXUBFK;APXYQPXOPS;IWHUFST;SD;US;user1902;password;20;60000;F
506;XSXSOG;ARCQJWCLIM;NJFKJOG;SD;US;user3866;password;68;60000;F
524;AWJSBJ;ARPKEQWQDH;QZQCEMO;SD;US;user8872;password;73;60000;M
536;BGHDCV;ASGNEZZJME;IPXAQOS;SD;US;user7161;password;28;80000;F
673;JQQDNW;AWYLVTCYJG;MRMJALC;SD;US;user2830;password;55;60000;M
693;NDJFFA;AXNNTJQNVW;NTQJANU;SD;US;user8874;password;87;60000;F
705;WGCFTG;AXUJXIKULX;VFBHGRX;SD;US;user8725;password;55;20000;F
822;HGQHUY;BCBMEQJCAE;XBAIYDO;SD;US;user1650;password;38;80000;M
889;BHOBZI;BEQZRGATZK;GLXRABE;SD;US;user8205;password;67;60000;M
945;JUQUCE;BGKLAAKTUH;CPLTWKW;SD;US;user2914;password;36;60000;F
952;QCIXHY;BGWXQQDDJP;WSFUOZN;SD;US;user2265;password;33;40000;F
1130;HXMCBQ;BNZTTSNWQX;QKNZGPO;SD;US;user4814;password;23;40000;M
1159;PSGPMW;BOUVQSHVKB;MVPTXEV;SD;US;user4792;password;52;40000;F
1171;AUZITM;BPHXCGRCAL;OVMFHJL;SD;US;user8759;password;20;80000;F
1204;NBEFSQ;BQMWSRSXPR;BLPJLYK;SD;US;user2378;password;84;60000;M
1297;SHOXDO;BTEPSVGOMK;VFIKKPQ;SD;US;user5391;password;45;40000;M
1430;HJCDVI;BXSJKQOUHY;ROSFYOL;SD;US;user1990;password;81;20000;F
1440;ILEEOI;BYDDZAAFNZ;NGDHQAS;SD;US;user6734;password;67;20000;F
1492;ROWUDL;BZSVBWVSPS;QDJVVTX;SD;US;user4212;password;70;20000;F
1599;AATAYV;CDMWHCIARJ;YVBNTGN;SD;US;user933;password;65;100000;M
1704;ZJGIUO;CIKVFUCGQO;NDJGLZM;SD;US;user1666;password;90;20000;F
1859;FLLREM;COBYRVKBEN;XSBMAJU;SD;US;user3893;password;75;80000;M
1919;EQPUNV;CPYRKNHACN;PSIVXDS;SD;US;user96;password;83;100000;M
2245;NWMUGA;DBCHWQJSBQ;RMJGBEK;SD;US;user7580;password;83;100000;F
2284;IQPIFL;DCTVTFLEKY;HGEUFCF;SD;US;user7418;password;87;60000;F
2448;IMMVUV;DIRRATRTGP;WOMRJER;SD;US;user2172;password;43;40000;M
2628;ESUSJT;DOCYDVDHCP;NQSESHC;SD;US;user4682;password;64;20000;F
2759;OMOJZR;DSYPXTEDUW;PKRROJH;SD;US;user3692;password;52;100000;M
2982;XTUEKT;EAPTUWLGIM;TTYADUC;SD;US;user9527;password;20;80000;F
3377;HEYBSL;ENNVASDYMB;WVAOXNL;SD;US;user8031;password;57;100000;M
3407;CDXOTJ;EORGYIEBZH;HOLQBNB;SD;US;user3971;password;58;40000;M
3488;NAROBY;ERIWMILQJC;YHYYSRM;SD;US;user4185;password;21;80000;F
3635;ABOEKA;EWKIOTATTL;TZJPMKM;SD;US;user688;password;37;20000;F
3646;YSLZYD;EWSAPICKKO;CYOLTSZ;SD;US;user5490;password;19;60000;F
3945;QOJFSC;FHGLDHBLUC;ZEYZRER;SD;US;user1045;password;41;20000;F
3979;CUNPES;FIIDMGZEKJ;EYFOSOV;SD;US;user8386;password;86;60000;M
4094;PSEUFL;FMNJBXNOSX;DBGNDQG;SD;US;user8624;password;66;100000;F
4162;GJIACF;FOITIKEIKJ;PZLBDJM;SD;US;user4390;password;53;40000;F
4661;JFTLQO;GFQKGRQOBG;EFFHLKU;SD;US;user4729;password;57;40000;M
4830;SMDCIT;GLMGUZPJBO;QHANWDW;SD;US;user273;password;84;40000;F
4858;QFEUPX;GMENXVPQCB;EBFTSBF;SD;US;user5120;password;54;40000;F
4860;JQQSWL;GMJIAZVIFO;EFOBFRT;SD;US;user4326;password;69;100000;F
4996;ZUXRIX;GRLOZEPBYF;FXAPFQH;SD;US;user4868;password;86;100000;M
4997;AIRZTI;GRLZDFAQVJ;DTONMRB;SD;US;user9917;password;40;40000;F
