customerid;firstname;lastname;city;state;country;username;password;age;income;gender
68;BCIRTA;ACKUCAHJXS;ILYAVFA;TN;US;user7549;password;66;60000;F
111;RKEUGE;ADSAOUQNHR;PGYRGZA;TN;US;user6682;password;75;100000;F
134;CCDCVH;AENBUCWVDN;RCBJTJJ;TN;US;user2922;password;29;40000;F
248;LXJGDC;AIBTOBHBGT;ZTQUSQF;TN;US;user5411;password;38;60000;M
363;NCCVJV;AMKIZAACUH;GLVUXOA;TN;US;user3534;password;58;60000;F
428;YIUHIP;AOOGROGJQM;ASBLYKB;TN;US;user1405;password;37;40000;F
658;CLAXZL;AWJVNNYIYD;EYMRIUO;TN;US;user7519;password;70;60000;M
728;VTKBKK;AYTTACQNOM;CNMTPGC;TN;US;user7874;password;22;60000;F
738;WROKNL;AYZIOUCGZN;NAHYUVN;TN;US;user7402;password;85;60000;M
784;LFPYXC;BAOXFNDSFM;DXSPCEG;TN;US;user2827;password;79;20000;M
1039;JDBHBF;BKGOVLLJVS;EVCYGSS;TN;US;user7357;password;26;100000;M
1068;ILPYWI;BLMPNJYWNU;MGKWXLR;TN;US;user6854;password;78;100000;M
1383;CHRRMC;BWHAWJHMOA;HVKSDEK;TN;US;user1835;password;35;100000;F
1388;NUYPPJ;BWJRWZRECA;PBPARMY;TN;US;user8602;password;28;40000;F
1395;LHZWPF;BWSCKAMRCB;KZXWPFJ;TN;US;user2369;password;29;40000;F
1536;HGMDWL;CBCVLOBCJK;HKNTGIB;TN;US;user1550;password;49;60000;M
1613;GMABCA;CDWVJMSELI;BMIVHZK;TN;US;user2999;password;60;100000;M
1627;TRHSKE;CEQEHRSGPA;YCSKODH;TN;US;user5156;password;19;80000;M
1687;YSFMUW;CGSFYYYGHL;SPBQYAO;TN;US;user9893;password;37;100000;M
1697;RCZEXI;CIFTNPKBJL;FSHSTHS;TN;US;user4823;password;68;80000;F
1852;JFWQKM;CNYXXCVJTB;VPZEOAD;TN;US;user7881;password;27;100000;F
1884;HMXOMC;COWELRIYJL;ZSEJCZP;TN;US;user2923;password;82;100000;M
1984;SMBYBH;CSIDFYVPWC;LHHZNDK;TN;US;user1278;password;76;80000;M
2074;DCHKWZ;CVTIRKCDQL;KKAXHVZ;TN;US;user3924;password;27;20000;M
2219;DVMTEI;DAKMAEXNGI;SIVPWON;TN;US;user8813;password;32;100000;F
2295;PXUHUE;DDBOXXJMHS;NWBZKYN;TN;US;user6237;password;76;20000;M
2493;BHNKQE;DKEOULJTBN;UMXSNCL;TN;US;user3560;password;75;40000;F
2531;TLWLHR;DLJXUZUESZ;FVQJFVF;TN;US;user3762;password;63;60000;F
2595;CFYBKU;DNHHJFEQXL;IZEABHU;TN;US;user3342;password;83;20000;M
2619;LEKJME;DNTDASAHZP;KNDEFNJ;TN;US;user1344;password;87;80000;F
2946;QQKRHK;DZFGSICFNQ;CVNIUQD;TN;US;user7744;password;26;60000;M
3006;DWYOZZ;EBRQTIIUBV;MWKEJJU;TN;US;user3207;password;47;60000;M
3027;XDCRCW;ECEKSRYRAJ;PCOOLJI;TN;US;user8475;password;56;80000;F
3097;XDPTSW;EEXCYVFLVY;NLCNXUL;TN;US;user6830;password;20;20000;F
3425;YQLZDZ;EPDOQUHUCY;XIUHQLM;TN;US;user1732;password;74;60000;F
3461;UVBPDF;EQLXWNJMGL;UFWDUWN;TN;US;user5219;password;19;100000;F
3482;ADOMEQ;ERDBLHMIPZ;VJQYZQI;TN;US;user3864;password;54;80000;M
3520;AZRZRL;ESXRVDZKVS;IYAUGRB;TN;US;user3634;password;75;40000;F
3726;GLIRRB;EZWXUCDQCP;WAJOXBM;TN;US;user289;password;75;60000;M
3749;YBGJJK;FATNGNJQIV;SKJTSRG;TN;US;user9835;password;83;60000;M
3795;QWRSPV;FCMQPVCOMX;TRJKHSK;TN;US;user3026;password;81;60000;M
3898;EJIXIC;FFILQCZDGK;YPHLWYZ;TN;US;user1854;password;24;80000;F
3906;HUAHOT;FFREGOKBGV;YUTAIJG;TN;US;user610;password;81;80000;F
4009;FVRSJV;FJPBFURPOC;CGYRXIQ;TN;US;user9671;password;86;100000;F
4039;KDWOQI;FKTBONAQNO;LCXCGMD;TN;US;user8388;password;55;20000;F
4101;YFZWDP;FMRDZHLJVN;WYKBHCN;TN;US;user5310;password;42;80000;F
4120;XRNEZP;FNCRFPRAAY;ZGXUDGL;TN;US;user1877;password;32;40000;F
4375;OXQTLB;FVAHTPHBKR;IXFJKES;TN;US;user9846;password;61;20000;F
4459;ICREOT;FXUZWWKRRU;SBMXLGZ;TN;US;user2819;password;73;100000;M
4469;VJHGTW;FYLRGVIODK;YJPJLBR;TN;US;user7100;password;82;100000;F
4736;FITMBO;GIFLXBZVSM;GMKEKKU;TN;US;user8985;password;73;80000;F
4782;DHCMMQ;GKDXFPLAGR;UOWEERH;TN;US;user4173;password;33;80000;F
4796;VLISGI;GKRMYYRMAD;IKFEGHU;TN;US;user6520;password;54;60000;M
