customerid;firstname;lastname;city;state;country;username;password;age;income;gender
5;DRMYMX;AAEAUODIEF;WPBAGWD;TX;US;user2602;password;49;40000;F
31;XYKIWN;ABEBBUOLDG;MDBHPYV;TX;US;user3467;password;35;80000;F
215;NWZJIK;AGWJYDBUUM;LIIFKUI;TX;US;user5206;password;24;60000;F
258;RCIJUM;AILVGNISUA;HXCGYGX;TX;US;user2677;password;48;40000;F
355;NXMOOC;AMCYTDVTJJ;EIOWWCF;TX;US;user7891;password;82;60000;M
554;RGKMNJ;ASUULYIKRQ;NDZIYLS;TX;US;user3014;password;76;20000;F
601;ZPXNTF;AULUFLNSWV;UOLUAXV;TX;US;user9620;password;43;100000;M
647;POJKUS;AVYVMOJPQQ;NIOVYKQ;TX;US;user9672;password;76;60000;M
852;EJWNCZ;BCZPPVBZSR;HBEMIWY;TX;US;user4642;password;55;100000;M
881;JPDWIB;BEKJWAFYFO;GSAQBHZ;TX;US;user2068;password;55;100000;F
1021;XUEDMC;BJCSYDLIYT;JVFXWHR;TX;US;user7588;password;65;80000;F
1036;KJEBSV;BKABWIOICP;UGLKQAM;TX;US;user892;password;49;20000;F
1077;GECEKC;BLXISIAIKB;ASHWMXX;TX;US;user9974;password;31;40000;M
1094;VJOQKB;BMOAWQDFXP;ATORQHE;TX;US;user2041;password;33;60000;M
1236;GESYJI;BRMUGKQMMF;BPNOKFC;TX;US;user2106;password;18;60000;M
1416;MUXAIA;BXKXOQPUFZ;JBMMHGR;TX;US;user3282;password;18;40000;M
1590;CDPRRP;CDBWJKPIDK;CCRSWZU;TX;US;user238;password;78;100000;F
1603;WFQHTN;CDOPJBSAFO;OMPDRTV;TX;US;user5066;password;66;20000;M
1792;ECHCBX;CLZTYBPUNR;VMXILPP;TX;US;user3259;password;34;20000;F
1794;RCEZEF;CMCAKJCNJN;JFKSCSP;TX;US;user9337;password;20;60000;F
1828;YKRZHL;CMZQBOMQNF;VDHPWFB;TX;US;user5955;password;54;40000;F
2156;GJZALL;CYLWMFMCGZ;POHPNWD;TX;US;user230;password;67;20000;F
2348;PDILFC;DFDDWHJGXC;RDWVHDS;TX;US;user6083;password;88;80000;M
2386;PFGULG;DGKSVJIWUJ;QMUPDIZ;TX;US;user5737;password;50;100000;M
2574;FFVKJP;DMOHNYQXBX;NCKHCEU;TX;US;user7783;password;57;100000;M
2667;HZREAV;DPHDNLJWAC;OPJBDQK;TX;US;user2938;password;70;80000;F
2812;LDBGSU;DUOWWISWEJ;CIOOINN;TX;US;user1708;password;82;80000;F
2894;CXWHLU;DXOLPRPYXL;SIWZVXL;TX;US;user1885;password;49;40000;F
2951;ZXXQVQ;DZITJAMPAU;RFKHVNH;TX;US;user226;password;37;40000;M
3058;ESFKNI;EDHEYQEAWJ;GWHIWKY;TX;US;user9990;password;60;20000;M
3133;LQUQPU;EFVRYXCZUO;PUDPYFW;TX;US;user4155;password;71;20000;M
3153;YNBIJU;EGIZPVYIJJ;EECVCKW;TX;US;user7009;password;82;60000;F
3258;LQVCIF;EJSOAIJVXV;QFLUVPX;TX;US;user8512;password;73;20000;F
3264;WNGEIU;EJXGGIFLIP;TWFZPAX;TX;US;user2149;password;37;60000;F
3299;RVUXIC;ELDRJIRGAF;SSDVPUM;TX;US;user8069;password;25;60000;F
3305;SKZCNJ;ELJNTDURGL;WYABLNI;TX;US;user3747;password;39;20000;M
3821;TCBXMA;FDGIVEYDHW;KNCGMJV;TX;US;user8415;password;26;20000;F
4004;GNVVTC;FJMSYEZGOT;FQLECAZ;TX;US;user9299;password;49;80000;M
4028;SWVHNG;FKOJCVFDTM;PUUWXFX;TX;US;user4130;password;23;40000;F
4079;MHODDU;FMAXNWFPTD;BIDIFNG;TX;US;user6720;password;49;60000;F
4242;JDHYUX;FQUTRDWYRZ;WGLTLYF;TX;US;user6189;password;21;80000;M
4341;FRELQT;FTXMKPSBJB;WHNVJCF;TX;US;user4202;password;66;100000;M
4402;LMQDRH;FVZGJIMQMD;TSTNIZE;TX;US;user5922;password;86;60000;M
4589;KYCQPX;GCUQCLXSAW;DGYTGVB;TX;US;user3369;password;38;100000;M
4634;DKSQXR;GEPNDCDRDW;UUXNISD;TX;US;user9651;password;54;60000;F
