customerID;firstname;lastname;city;country;username;password;age;income;gender
1;VQSCJE;AAAGBGUUNE;MKHPWIJ;US;user4180;password;72;60000;M
5;DRMYMX;AAEAUODIEF;WPBAGWD;US;user2602;password;49;40000;F
13;OJMTXU;AALUYWBMOG;KPBXCSC;US;user1585;password;31;40000;M
14;DARAQS;AANOLPUJWT;KBAOFEO;US;user4374;password;44;20000;F
17;RAYNQY;AAQDQKVTMW;ONAHTUE;US;user1064;password;68;80000;F
20;WFPJQO;AARNRJYABZ;QCIFSXL;US;user7688;password;70;60000;M
21;YQOWVJ;AASLMDGICM;QPXRSML;US;user8995;password;29;60000;F
22;PWGKGT;AASNAZCBEQ;PPCDMTC;US;user5043;password;66;80000;M
23;XDSRVR;AAUYFQTLQE;UANGBCM;US;user9268;password;54;60000;F
31;XYKIWN;ABEBBUOLDG;MDBHPYV;US;user3467;password;35;80000;F
32;HTATYX;ABFWKNCTFY;LIUFMHJ;US;user6418;password;30;100000;M
35;VGKBQE;ABHHXZRBRV;UVULNUT;US;user8392;password;22;80000;M
39;BSLRYT;ABLEUNBYXK;EYOSQIW;US;user4134;password;59;100000;M
41;NVXUVA;ABLVWOOWSX;YFWACRT;US;user8849;password;18;80000;M
42;MLOZPK;ABNGLCWFEZ;VIRDBWJ;US;user2483;password;18;100000;M
43;TQBGXD;ABNRAJDXCS;LHBIKTD;US;user8490;password;23;20000;M
44;HWVUIK;ABNZGTADRD;ZJBYYUP;US;user8968;password;83;20000;F
46;UXDZXH;ABQLMRRRLK;LBTUVTF;US;user8459;password;54;20000;F
47;BHXQOJ;ABTGLCHBNY;JXPYCGK;US;user2900;password;55;40000;F
50;QXTCKR;ABUHUQSAFG;PFIPQEB;US;user1752;password;29;100000;M
51;MSKTRG;ABVXWLAEXZ;TEWSGFF;US;user9225;password;27;60000;F
52;TKEMQC;ABYHLMOWIK;MHBWOKN;US;user5164;password;40;60000;M
53;SVPSNK;ABZGKLSDEA;NTOBAWR;US;user9541;password;33;60000;F
54;YRXJBR;ABZKLFOPSF;ZSYGVCE;US;user3162;password;62;80000;F
55;AXLFQU;ACBGZAJIHS;EDXARBP;US;user2887;password;21;40000;M
56;VGEBGO;ACBWRRIWIC;BKAXIQX;US;user1822;password;51;20000;F
62;NNUIRR;ACGWNNXHQX;MFGSZJI;US;user9762;password;42;100000;M
64;FFGOVH;ACIYQYPHHI;EZWEARD;US;user4268;password;79;80000;F
66;VOOUAI;ACKLQSRXAB;YFDBHAH;US;user588;password;59;100000;F
68;BCIRTA;ACKUCAHJXS;ILYAVFA;US;user7549;password;66;60000;F
70;AJIYBM;ACLGEXAFZJ;PPOIGRS;US;user3939;password;46;20000;F
71;DAHTVV;ACLLBIWQFT;OYDOOFK;US;user6459;password;36;60000;M
75;OXNNTW;ACOQKLYKNA;WIMUYID;US;user2121;password;52;100000;F
77;FIZXJV;ACQQDNMAKE;HQUWJZA;US;user1290;password;33;80000;F
79;RUQXGT;ACRSHJLTWU;COYNLHC;US;user9783;password;25;80000;M
80;GIZYEM;ACSQEIGNNX;BNAWJIV;US;user5498;password;45;80000;M
82;OQHQLV;ACUZRLCSGA;REKUMQX;US;user8217;password;47;60000;F
84;PBJDZA;ACVOCCKCNH;EGZBNLQ;US;user3344;password;69;80000;F
85;OWZXHQ;ACYCKCXFYI;JSSOLOV;US;user9075;password;87;100000;M
87;CFGEIK;ADAQDIYKAU;MRNOPYM;US;user813;password;58;60000;M
88;KHJBWV;ADARDXYQHC;YKLRTQV;US;user3233;password;38;20000;M
89;ESIBSF;ADATGYDMLV;ZVWLYRK;US;user2831;password;41;60000;F
93;WIAJHC;ADFBFLGVKT;AXKBOGN;US;user463;password;37;60000;F
94;WHSIUR;ADFILNYKKW;VSSVEPH;US;user241;password;58;20000;F
95;VONHAK;ADFODGNIIO;EBNEVEI;US;user4664;password;83;80000;M
98;IPDDGT;ADGZNOZOAC;XAOYXQO;US;user4023;password;40;20000;F
100;DSROZU;ADIFAGXVLE;NKDMMCI;US;user5003;password;68;100000;F
101;EVUXDL;ADJKDIKNOK;KVPKXZL;US;user3934;password;23;80000;F
102;WHRQQU;ADKNZOKEHL;RJFSYLK;US;user4410;password;62;60000;M
103;FOEFQN;ADMNDZALJL;AQPHNZG;US;user6265;password;89;80000;M
104;OXQBTJ;ADMPDGRMOP;UGDXNQO;US;user9674;password;59;100000;F
105;TBIHFF;ADMTENLWVV;HHGCMVG;US;user1245;password;47;100000;F
106;NISQNU;ADNWUZKIDP;HROAGTQ;US;user5984;password;42;100000;M
107;PRDXPX;ADPJHRRLVQ;PUGLXLG;US;user6641;password;39;80000;M
111;RKEUGE;ADSAOUQNHR;PGYRGZA;US;user6682;password;75;100000;F
112;ZOUAOL;ADTKQPIRDI;PWQDJSH;US;user8364;password;35;80000;M
119;CDGFWF;AEADILKAGE;USUPIIT;US;user8458;password;56;80000;F
125;DFRGYB;AEHHEGFKOQ;FGYYWYE;US;user6987;password;44;40000;F
126;VAULVR;AEHRHCQTEB;EOSBUIG;US;user8453;password;65;60000;M
127;OKBUGR;AEIIVGYYAI;YISUKUX;US;user3536;password;19;80000;M
128;JGGSDP;AEIJHWDBDH;PTBCREF;US;user6739;password;41;40000;M
129;USDPHZ;AEIRGYHUZX;KGXAFWU;US;user5643;password;70;100000;F
130;FZVIGI;AEJCWFWDMI;IPDWALE;US;user5825;password;19;100000;F
134;CCDCVH;AENBUCWVDN;RCBJTJJ;US;user2922;password;29;40000;F
136;NVHNBB;AEPOQOHIQM;SPDAXNX;US;user2713;password;43;20000;F
137;FWRQBD;AEPUGWFJCM;BWVGPIP;US;user5274;password;83;60000;M
139;GHDKWQ;AERWABPCDM;JVDMDXX;US;user7736;password;28;40000;F
140;HDNZWH;AETBEZNEZS;PSMCRFJ;US;user277;password;43;100000;F
141;MMDRUZ;AEVWAAKEBE;BAKNASJ;US;user4441;password;36;60000;M
142;UQMEXB;AEWTFBDLNO;FYFDRSK;US;user4899;password;77;40000;F
143;HLAQUU;AEXDEHDLZI;VMVSDET;US;user6077;password;78;80000;M
145;JNRFBI;AEXMZPTFMW;HELUUHB;US;user2696;password;56;80000;F
146;LAQTXZ;AEXVJAGLZG;GFPSVAE;US;user8312;password;84;20000;M
150;FIIWRA;AFAXRVZRQS;DEFPURE;US;user9121;password;52;20000;M
152;WOJUUF;AFDLOZMLCQ;RGWPYVT;US;user1021;password;26;20000;F
155;BKUANE;AFEJABHPVF;SVOTEDN;US;user7296;password;43;20000;F
156;ALJQWC;AFEPFEDQMS;MFZYEBD;US;user7345;password;88;80000;F
157;RIPLKP;AFEQHKEVSG;MNFRNFD;US;user4241;password;48;80000;M
158;SMAOFB;AFFCTVBIMN;XZPKVYK;US;user1212;password;57;40000;F
162;LFJGJX;AFJLUJAJAX;QXEYKIK;US;user6560;password;68;80000;M
163;PBXRNK;AFKDONPPPB;IYGGQDY;US;user7118;password;90;80000;M
165;FLKKWL;AFKMJMXZCK;JXDVNWY;US;user4287;password;87;40000;F
168;YZEBNZ;AFNIGHQPQR;QKAIVTH;US;user3082;password;58;60000;M
173;LNMWEU;AFQEZDDIRN;FPEEVZE;US;user4367;password;38;40000;M
174;YENIBG;AFQNEUMLXC;YHGMZNX;US;user9091;password;19;60000;M
175;GGRUQC;AFQYJRYMIB;FVAXKJX;US;user1288;password;64;20000;M
178;EBDPXQ;AFSBGGDUML;LXFQQWL;US;user4066;password;72;100000;F
181;RKSJUK;AFVKAIZAIS;ZUONGVZ;US;user9695;password;71;20000;F
182;EVCHXB;AFWLXNENXT;UDLVTOR;US;user7451;password;44;60000;F
185;XLKEFZ;AFXQMMHVFR;LKOJTYK;US;user9898;password;19;40000;F
