customerid;firstname;lastname;city;state;country;username;password;age;income;gender
44;HWVUIK;ABNZGTADRD;ZJBYYUP;UT;US;user8968;password;83;20000;F
695;SPMQKK;AXOBYJYMTL;XITKEAB;UT;US;user7147;password;37;80000;M
726;ZSADLI;AYSABCSQDS;SOWIJGE;UT;US;user988;password;87;40000;M
863;HTPOUL;BDOZLTOFNI;XGRDEQU;UT;US;user7734;password;89;100000;F
953;VLKUXN;BGYWSTQNEU;URPXOEN;UT;US;user7102;password;62;80000;M
1085;HCMVLB;BMFKFGQGWN;ACBTTXS;UT;US;user2993;password;30;40000;F
1175;RHBCNJ;BPQSTLIQFR;PUHXUHQ;UT;US;user7183;password;50;100000;F
1433;XTYTGQ;BXUTITJRNO;XAFJDFR;UT;US;user7898;password;74;100000;M
1584;PAPOTH;CCVKLALMUD;KJTQFUI;UT;US;user5417;password;84;20000;F
1981;RJHSDW;CSGDLSWHLS;AQOZIIH;UT;US;user2408;password;72;40000;M
2024;ACJFHD;CTYABOFNXU;IYVERAU;UT;US;user5202;password;20;20000;M
2029;TRXSHQ;CUBHNLNBPP;VVHXMLE;UT;US;user8640;password;61;20000;F
2139;JYRFGX;CXVBCHFQEX;ZQQHBLQ;UT;US;user4296;password;45;20000;F
2225;SRWVXY;DAPNMWWQRN;XKETEOG;UT;US;user870;password;42;20000;F
2230;WTWBFU;DARCVZGRPW;RJDEMAT;UT;US;user7840;password;80;100000;F
2235;YEBZSN;DAVVAMSGVH;WWTIKBN;UT;US;user9219;password;79;100000;F
2264;FBIFDV;DBZIKDVDZN;AVFNPVN;UT;US;user838;password;88;40000;M
2322;PSOSVW;DDXJVBBWWF;MZHSEUJ;UT;US;user6733;password;73;80000;F
2642;RLQBZQ;DOIUYBOSBC;NSHOVKP;UT;US;user2311;password;81;100000;F
2655;YKRUFF;DOSZHHBZPV;FBNDIWY;UT;US;user4189;password;54;60000;F
2693;GZMXGS;DQJVUBCCSD;VSFFURB;UT;US;user547;password;40;100000;F
2774;UJYNDB;DTHWMFLPGO;AVMUSTR;UT;US;user9407;password;56;60000;M
2832;FUVETY;DVIFZGMTQY;VSIFKYK;UT;US;user4198;password;34;20000;M
2934;HPJKQR;DYYOATAYHF;DJSXLUS;UT;US;user2941;password;41;100000;F
2972;RAQKCS;EAHQFKNBLM;MLAVILF;UT;US;user8871;password;43;60000;F
2989;GEBDIV;EAWZCRVHCY;JAPSRIX;UT;US;user9515;password;87;40000;M
3141;CVXZSV;EGBLKQJXKL;YXFJCVM;UT;US;user7607;password;50;80000;M
3442;LVEUUO;EPSKVGTOLF;UKNQCZM;UT;US;user2449;password;73;100000;M
3657;PGVHNU;EXCFPTSNXD;FPBTDTY;UT;US;user2652;password;90;100000;F
3851;PJOFKB;FDVXQSOOIY;BHFRVAH;UT;US;user4815;password;47;40000;F
4137;DAQRKC;FNQIUXWJTJ;ZFSTYXU;UT;US;user2610;password;67;100000;F
4234;ZSJEZB;FQQOLWTWGW;SXROZBA;UT;US;user2758;password;24;100000;M
4261;JCYMHN;FRKMMGGXOI;FBYKOJP;UT;US;user9660;password;57;40000;F
4267;IETOAI;FRQRGSGVDL;RFBWWIE;UT;US;user7213;password;46;20000;F
4348;CLAHRK;FUCXKGJGNV;UNVXWYQ;UT;US;user9012;password;37;60000;M
