customerid;firstname;lastname;city;state;country;username;password;age;income;gender
95;VONHAK;ADFODGNIIO;EBNEVEI;VT;US;user4664;password;83;80000;M
139;GHDKWQ;AERWABPCDM;JVDMDXX;VT;US;user7736;password;28;40000;F
224;YODJZG;AHDWTTFQSE;WIXEBUU;VT;US;user7121;password;84;40000;M
232;TCVXRM;AHLTIGGVEB;PAWNIQJ;VT;US;user9704;password;20;80000;M
434;QTIRMC;AOYAKXKBWC;ATKCXTC;VT;US;user6754;password;29;20000;M
534;VXYXZI;ASGDDOCXYY;CWVJNRM;VT;US;user7589;password;90;80000;F
875;TSHTOQ;BEHMEQYKZN;NMFOEWR;VT;US;user5835;password;48;40000;F
885;BQYUJL;BEOHLSFVXQ;PYKSEFE;VT;US;user3399;password;33;100000;M
1063;RUBQAZ;BLGNTRBUBW;HRHPQYC;VT;US;user2772;password;90;20000;M
1105;DLFHWP;BMZCUKPCVE;ZPSGWEB;VT;US;user6907;password;33;60000;M
1215;CFAMGR;BQVSNMVVDU;LFZYTVG;VT;US;user8873;password;55;80000;F
1293;JWPTPK;BTCSWJHBCC;TVMHRYV;VT;US;user8978;password;73;60000;M
1363;QBLDIF;BVGYQKQVZC;UBAYTJN;VT;US;user9533;password;20;40000;F
1489;UIJIYG;BZOMBQDTDQ;YKURBCZ;VT;US;user570;password;28;40000;M
1504;QPLGMZ;CADOJPATDZ;HPKLRJJ;VT;US;user8943;password;30;60000;F
1733;NCGWRC;CJOPRHUHIE;ZAVIELY;VT;US;user9;password;86;100000;M
1770;RBOYUK;CLCOKQQTLQ;LSDRRWA;VT;US;user6469;password;86;20000;M
1781;ANOAEU;CLNPIFATXY;QZXMJGZ;VT;US;user5816;password;69;100000;M
2095;JGYUTV;CWJHFVRMYS;RWOHINN;VT;US;user6277;password;45;60000;F
2420;PQZNNM;DHWPVAUWEP;MSOLNFP;VT;US;user722;password;41;40000;M
2559;NXXKFH;DMEDMGZMXJ;BZRLSHY;VT;US;user8960;password;48;40000;F
2582;CLTRCP;DMTLGQWMOA;BABELRC;VT;US;user1559;password;33;20000;M
2604;QUWVYU;DNLCWQTMPB;GDGAXVV;VT;US;user7739;password;48;60000;F
2652;RYTUWH;DOQGUYWCRL;VSZZDMC;VT;US;user6551;password;23;100000;F
2758;NGYZER;DSXLVWMKLE;HYDRCHA;VT;US;user7943;password;64;40000;F
2847;GUOFZQ;DVUPAYVLSY;BQYIXTD;VT;US;user4838;password;37;40000;M
3061;WNBKAC;EDJNNUZPYS;FCKNMQG;VT;US;user3472;password;40;20000;F
3096;EVYRSE;EEVFZMKHNC;NERFZCN;VT;US;user1597;password;47;20000;F
3185;WQEERT;EHKGLOYRSA;SVDKZWV;VT;US;user5034;password;45;80000;M
3290;FEJUHM;EKWOTUDVTJ;YYOYRBE;VT;US;user2070;password;54;100000;F
3301;NVMRVI;ELHDCGLUTJ;KKYKFFA;VT;US;user3811;password;56;40000;F
3409;VVZBON;EOSTYBPQSK;KWHQVYN;VT;US;user3680;password;29;60000;F
3478;OAFXYT;ERAPPUXQFM;KFJWRTN;VT;US;user7545;password;52;60000;F
3528;CCBTFC;ETCCDRLYTD;QKQQTXE;VT;US;user5430;password;71;80000;M
