customerid;firstname;lastname;city;state;country;username;password;age;income;gender
152;WOJUUF;AFDLOZMLCQ;RGWPYVT;WA;US;user1021;password;26;20000;F
261;HKZGYN;AIUNSPKNPH;HLGPYCT;WA;US;user8381;password;54;80000;F
366;CSYNCZ;AMLUQCCZAO;BJASLJY;WA;US;user1313;password;22;80000;M
400;QPEKXY;ANQOWPTKJW;YTOYIVQ;WA;US;user2840;password;65;20000;M
482;BSBZHE;AQHJTNGQFT;ATNKMCD;WA;US;user42;password;56;60000;M
562;FTZYIE;ATAUASIMCI;TYMHKMB;WA;US;user5552;password;39;20000;M
582;SNRITA;ATVPPEMHGY;JPZUUMH;WA;US;user6676;password;26;100000;F
583;YRIYCD;ATWWRGNDMA;ZIAZMGB;WA;US;user9911;password;58;80000;M
602;WZCQDL;AUNFITUBEU;OSGBHYP;WA;US;user2529;password;24;20000;F
619;CMZFJE;AUUKNGITTW;AXADLNT;WA;US;user5800;password;38;20000;M
628;CCKSIA;AVDWJQDNPD;BRFQHES;WA;US;user468;password;79;20000;M
748;JOATWA;AZIQLWUDGR;LVLDJKP;WA;US;user6480;password;86;40000;M
768;EBPWHF;BAAZGJKWEQ;HUAXSIV;WA;US;user961;password;38;20000;M
806;NVKRVB;BBJGGDHKRC;UDBDVTS;WA;US;user3582;password;90;60000;M
934;FNJJSE;BGBBWEMILV;ITBUMZU;WA;US;user8421;password;35;100000;M
1170;RIXEYM;BPGCXDNDPW;GFLKXIK;WA;US;user5449;password;76;20000;M
1242;YYTDUT;BRSQUTIZIV;YSLATPT;WA;US;user3121;password;46;60000;M
1327;SHHRAT;BUIGQVDAGL;GRXXTXM;WA;US;user6381;password;78;60000;F
1391;WTWMAG;BWNICYHEPU;UTRTJFX;WA;US;user7733;password;49;40000;M
1422;CQRUIY;BXOUJRMEFT;BTSAERM;WA;US;user4280;password;54;40000;M
1428;XXJRKB;BXRBGOQBYK;CIAOZSF;WA;US;user6543;password;74;60000;F
1493;IKYNPD;BZSXNLEPYB;YIOJKPT;WA;US;user332;password;54;100000;F
1514;HFOWQH;CANIRVYRXE;CMGNMEE;WA;US;user1535;password;47;20000;F
1853;EFGBLQ;CNZQPTNEKU;KAVRMYB;WA;US;user794;password;50;60000;M
1941;HJFJWO;CQPMWDSFSH;JNLHPXJ;WA;US;user9892;password;70;40000;F
1954;TQFOMZ;CRAGFZHRZU;DTDTZBY;WA;US;user7265;password;76;100000;M
2088;JLBGFO;CWEDOCZXNZ;CTGBQKG;WA;US;user1934;password;68;80000;M
2141;ETJDFE;CXYNTGFFKK;JTCLRUE;WA;US;user5637;password;28;80000;M
2153;FBAYNF;CYJHWRNGSU;ESSTHLS;WA;US;user6564;password;19;40000;F
2221;KIKJYL;DANHBKJLIM;FXGFINT;WA;US;user1984;password;73;100000;M
2223;GRGMYH;DAPCEVPXZP;QXOEVGY;WA;US;user5191;password;33;40000;M
2281;LBRAXD;DCSVWAFVUI;DYTIFCK;WA;US;user8441;password;24;20000;M
2351;ZWXRPC;DFGHOPMMJT;PGKYKAD;WA;US;user4646;password;25;40000;F
2427;KRIKVP;DIBNKKXKJU;FPNCIXQ;WA;US;user8289;password;53;80000;M
2451;CMJHLQ;DIUVQOQDWC;WLPUNSR;WA;US;user8233;password;85;100000;M
2468;KZXVZP;DJLAMGAESF;ANBIWRF;WA;US;user1330;password;25;60000;F
2508;VYDOGR;DKNSWPXWQY;BNAFWQA;WA;US;user5406;password;32;100000;F
3045;KGXAUV;ECVUJFCZGB;SCQTJAU;WA;US;user2513;password;20;40000;M
3072;QELIUN;EDVXRRNSMU;KNDVPBH;WA;US;user8493;password;67;40000;F
3104;CFRDZV;EFDCORKWWW;PTEVYLE;WA;US;user3874;password;73;80000;F
3289;HBNZJV;EKWBNALEQD;GRGHOXB;WA;US;user1789;password;69;20000;M
3497;DIBBUE;ERQRCHEWNW;FJOLPOR;WA;US;user4345;password;48;20000;F
3844;TZXKBL;FDTNRTJUVE;BCJZUTA;WA;US;user5967;password;65;100000;M
3928;FRYNMR;FGNEPBVUHL;NMDNWLO;WA;US;user3242;password;32;40000;F
3942;YSOYDX;FHBHANFMXX;ODRQSTW;WA;US;user2823;password;90;40000;F
4129;ZLAQZQ;FNJFOVMREH;GPSOSGM;WA;US;user7707;password;37;20000;F
4177;ROYQNX;FOXIENWWSC;CHIEMUF;WA;US;user5777;password;81;20000;F
4273;BZRXHE;FRWONXDHTD;QMDFXUL;WA;US;user2329;password;22;40000;M
4315;CHSCFD;FTDXICEWJN;OQOUBWI;WA;US;user503;password;33;80000;F
4320;NXBEZP;FTGVIYZXGL;JVPFBYN;WA;US;user1611;password;56;20000;F
4427;ORKOBK;FWVFQRDUOS;XTTKSZD;WA;US;user6246;password;28;80000;F
4494;GWGAXH;FZKBKINJWJ;TJIHBVF;WA;US;user7555;password;23;20000;F
4602;FQRAPE;GDFBKYQRLZ;KSWLWGS;WA;US;user2762;password;88;40000;F
4678;CKSJBX;GGFWCTQNGQ;RUSSPFL;WA;US;user2206;password;87;80000;M
4696;QMPKUA;GGRRFWMUJU;EJYKXJX;WA;US;user1841;password;60;60000;F
4749;RPSPCF;GIQRGZCYHT;GMRXBJF;WA;US;user3815;password;23;100000;F
4759;ARGROW;GIZAJHTEFY;QTJNZXH;WA;US;user9078;password;47;40000;M
4804;LIQYGL;GKZTTSSYJJ;PSEFPDJ;WA;US;user5841;password;44;20000;F
4932;DWXYMI;GOYBSDTZYI;UPROWAN;WA;US;user9711;password;84;80000;M
4975;UDFUKP;GQHNDVNMGD;ZAOCCOQ;WA;US;user467;password;84;40000;F
5056;SVFLQY;GTOLKRVALA;AGMZCHH;WA;US;user6819;password;90;40000;M
5124;KXDXXH;GVMFZKLFFZ;ENLLIXP;WA;US;user2965;password;19;40000;F
5255;MGINOR;GZWJSMYVLF;UHMYBON;WA;US;user978;password;19;80000;M
5588;RRRLIV;HKOKGSEJPT;VECBPQX;WA;US;user7646;password;58;80000;F
5641;MCZXRV;HMEWEKZXAI;BENMNSM;WA;US;user8214;password;24;40000;M
5769;JPJMBU;HQQYMOQYJA;QFRMPWT;WA;US;user2988;password;43;60000;M
5930;GSJPIX;HWUVGEPHLY;LHUYJBU;WA;US;user6864;password;69;80000;F
5957;SZYJTM;HXXCFXSBDI;ILJEQKJ;WA;US;user3968;password;56;80000;F
5982;BKIURU;HYPHOYICPP;DDMHZHK;WA;US;user274;password;46;80000;F
6220;XGYYIV;IFJZUDFUMG;HZOOQKW;WA;US;user3283;password;37;20000;F
6340;YMGFBP;IIVAXLJWBQ;UHLCQTZ;WA;US;user9430;password;29;100000;F
6364;GSEQKF;IJPTITRKIY;SFGZTVX;WA;US;user6814;password;40;100000;F
6378;UOWGMO;IKABVBIQAF;DOLLPML;WA;US;user7957;password;44;60000;F
6438;SQCYTJ;IMERUBMDRZ;YHDHHZV;WA;US;user5738;password;49;100000;M
6580;LLJPPF;IQUQSEBHHZ;VTTOTOZ;WA;US;user5491;password;72;60000;F
6686;CCRSWM;ITZOQXPYTT;GIIRVFL;WA;US;user1146;password;63;100000;F
6687;ACZQEO;IUBQTTSMLG;OAMAXXE;WA;US;user1531;password;66;20000;M
6709;VITPYO;IUTCOITTJS;VTKFHSJ;WA;US;user5461;password;44;100000;F
6747;CCLZBS;IWEZKJHFAX;DFRRBGJ;WA;US;user4716;password;59;100000;F
6760;JSSMHG;IWRFCYVUDT;BTNWRKH;WA;US;user1075;password;82;40000;F
7127;UFNTQC;JJYNUQIJCQ;SHHAPDC;WA;US;user9884;password;33;100000;F
7198;GGHPLP;JMCGBXVEGQ;KLVJLKN;WA;US;user3878;password;29;60000;F
7308;CEZDNF;JPZTBLILUQ;ICPAOHW;WA;US;user1802;password;42;40000;F
7327;ZWVNCH;JQRAUSVOXV;EYLLVWJ;WA;US;user1645;password;83;80000;M
7528;AUVOTJ;JXSCOXZAQT;XWGBRJV;WA;US;user8377;password;64;20000;M
7541;TMCHKR;JYFWPFUBYD;CBHQIBM;WA;US;user8301;password;21;60000;F
7729;MAVEKP;KEDVDGYPTN;GJVZSRP;WA;US;user1367;password;46;100000;M
7838;TKAIPN;KHTZZUAYTG;VNKCZGM;WA;US;user1878;password;81;100000;M
7899;QGNMSL;KKCZDFFEXN;GRYBHJI;WA;US;user7922;password;81;40000;M
7978;SKTCMN;KNDESNRFAI;UNNMCGQ;WA;US;user1987;password;31;80000;M
