customerid;firstname;lastname;city;state;country;username;password;age;income;gender
71;DAHTVV;ACLLBIWQFT;OYDOOFK;WI;US;user6459;password;36;60000;M
75;OXNNTW;ACOQKLYKNA;WIMUYID;WI;US;user2121;password;52;100000;F
85;OWZXHQ;ACYCKCXFYI;JSSOLOV;WI;US;user9075;password;87;100000;M
143;HLAQUU;AEXDEHDLZI;VMVSDET;WI;US;user6077;password;78;80000;M
382;EPKFQD;AMVFDBKISZ;IZZIVUG;WI;US;user7672;password;75;100000;F
393;IACNEW;ANJUWMXFHX;WYILEUU;WI;US;user7681;password;87;20000;F
688;TTWJSE;AXJWFBWDOW;ZBROCGF;WI;US;user3621;password;71;60000;M
712;RAJMGO;AYAYGQQUWP;GRDXJWV;WI;US;user3348;password;44;80000;F
774;MTXTNL;BAGTSUZCLH;IIVGSIV;WI;US;user5600;password;34;40000;F
867;WNHXAE;BDVKEOQAPS;THVQBOT;WI;US;user484;password;86;80000;M
935;VTVYQY;BGBCZZLWRW;CMUMXEL;WI;US;user5348;password;33;80000;M
1086;QYASGV;BMFQVQDOYG;SCNXPSC;WI;US;user4227;password;71;80000;F
1139;ANFLTQ;BOCMUDTYIY;YPNMQQO;WI;US;user9276;password;32;40000;M
1167;SRABHX;BPEGYEQXVE;NOGPFUU;WI;US;user1579;password;30;60000;M
1244;BZWUIE;BRSVFTVKYW;TRRRNTH;WI;US;user9640;password;62;80000;M
1372;QWDAIE;BVUXEULSXE;ABUHDFC;WI;US;user5054;password;60;80000;F
1520;BMDVOK;CAPCSMRQRA;TMSUPSM;WI;US;user3206;password;18;20000;F
1612;YFCXOQ;CDVPCTSIBD;DRDPHUL;WI;US;user9056;password;45;100000;F
1736;BITJWX;CJPPETHUUS;SOFEKBL;WI;US;user8445;password;39;60000;F
1918;UYKLYE;CPYDCHNEBA;GYFAQUJ;WI;US;user707;password;57;80000;M
1972;ZYAWXF;CRSQIJCKYG;TNPTOIE;WI;US;user8345;password;60;20000;M
1997;KUPKVA;CTABBXQVVS;VTJNCOE;WI;US;user4508;password;69;40000;F
2272;FIRBXQ;DCJZMIQHPR;NKZWDZR;WI;US;user5807;password;32;100000;F
2334;JOZUVM;DEMDZVIOAN;DBTUUOX;WI;US;user4327;password;43;60000;M
2389;QQVPJF;DGOERGYJDP;OUUWNVR;WI;US;user2412;password;66;100000;M
2419;SBONIF;DHSSXQBYGG;PTVLMTJ;WI;US;user2989;password;33;60000;M
2617;CBCUGY;DNSNWNAKIO;ZUTCQZD;WI;US;user308;password;89;60000;M
2748;PVMTVK;DSQEPTTMTU;DIXKNVQ;WI;US;user3622;password;84;60000;F
2777;MHFGOH;DTMMFWDHEA;XHVQREB;WI;US;user30;password;66;60000;M
2893;PXYMAN;DXOGDRKOUW;BFFFJVP;WI;US;user2864;password;33;100000;M
2954;ZWYEIQ;DZMHMWNWQS;NQRGYPH;WI;US;user1888;password;39;100000;F
3049;JLHGPC;ECYIGTSRVM;FSTHVCW;WI;US;user4741;password;21;40000;M
3054;UROAAS;EDASWODVDG;XTBDXDZ;WI;US;user1412;password;24;60000;M
3099;IHWRRG;EEYSZDPPJQ;HPUZPHQ;WI;US;user4834;password;52;20000;F
