customerid;firstname;lastname;city;state;country;username;password;age;income;gender
190;MNFLFY;AGCQXIFMID;ABTYZWW;WV;US;user3102;password;79;100000;M
767;WJWZXS;BAAJSUJHQZ;VCJBIAO;WV;US;user4945;password;50;20000;M
938;IATYJN;BGDQFBDCSY;CZQYIBN;WV;US;user6184;password;57;40000;F
1333;XGSIRD;BUMFUNUOKZ;KVQOFUZ;WV;US;user1358;password;32;100000;F
1541;MKZPVX;CBIHNABLQI;HJIZJPW;WV;US;user268;password;54;60000;F
1689;BFZOAW;CGUQNKXSGR;OGJUDOI;WV;US;user3204;password;50;20000;M
1939;JLRYSG;CQOTBPBCEA;HMDBNAD;WV;US;user8992;password;38;40000;M
1974;BBZDFO;CSADCEERFV;GILTCAH;WV;US;user7278;password;47;80000;F
2037;HMVPRI;CUKMCCNPMK;FSBQKNC;WV;US;user6617;password;39;40000;F
2182;LVNGOO;CZJIFNXDWN;RJLDPOL;WV;US;user1496;password;72;40000;F
2430;RDFRSZ;DIGKDSWPJW;NTMHSCR;WV;US;user9766;password;72;20000;F
2659;YTEGHK;DOYYNKPYVH;HVSEOWA;WV;US;user9387;password;39;60000;F
2790;QJGKNU;DTYFJAZDFH;EGRINOI;WV;US;user9095;password;69;100000;F
2942;LOBCNU;DZDAWRLDIJ;CDOUOII;WV;US;user3568;password;37;40000;F
2962;NVQSUL;DZYVWJLBXU;PTTTGFN;WV;US;user1268;password;25;20000;F
3262;SIWSNL;EJVNHHWGSZ;ZDRSBPZ;WV;US;user4695;password;19;40000;M
3362;OOVGDD;ENDFJSJDNM;BZHOUAY;WV;US;user1437;password;19;80000;F
3411;LBJNYF;EOTYJQMGLO;QIASYER;WV;US;user776;password;44;80000;F
3696;VGXMHP;EYWYAKVFWC;XSTPFIO;WV;US;user2489;password;65;20000;M
3890;XYOJRG;FEXPHALXFH;UJUHOSZ;WV;US;user3453;password;82;20000;M
3938;HRPKTR;FHAAWLWICQ;VRDYKHR;WV;US;user2756;password;89;20000;F
3982;SHSTZZ;FINSQSZNVX;KMNMBUZ;WV;US;user6689;password;72;100000;F
4105;QQGXXM;FMUQUXSCBS;KWBJUXY;WV;US;user6760;password;70;20000;F
4146;EBDAYJ;FNYOGVHOSB;ORSZSBH;WV;US;user9214;password;46;100000;M
4476;OOAZGK;FYRXYXSWAS;RSEUCBK;WV;US;user1846;password;68;80000;F
4641;SGMGWI;GEUHZDYZQE;WBJMECT;WV;US;user9070;password;54;100000;F
4711;FUVXLD;GHIOKPCESH;KQMQNOP;WV;US;user1467;password;23;40000;M
4748;XKZTZG;GIPXXPWGLI;ODEYENE;WV;US;user641;password;56;80000;F
4994;NRIUON;GRIYPHRQGP;PQEALDY;WV;US;user917;password;38;80000;F
5045;XBEXFO;GTGHJXQVMO;NKGRDGC;WV;US;user657;password;61;80000;M
5147;NVFWAQ;GVZSBFYEVD;KWUKNKM;WV;US;user6583;password;23;80000;F
5150;JFTXRY;GWFKXLIWBX;DDGDFXS;WV;US;user1020;password;25;80000;M
5335;GSGRWL;HCLEOFWYSV;EHSYYYC;WV;US;user5002;password;80;20000;M
5483;HKJJAA;HHICCVIDPL;TXWUUAW;WV;US;user748;password;22;100000;M
5518;XXUPLM;HIRXUFREKN;TYIKSQE;WV;US;user3169;password;84;20000;F
5547;BFQDQK;HJOQDTIZYS;FOEFUBC;WV;US;user7489;password;63;20000;M
5632;NDZFIY;HLXZEKFKRX;YXCCCHQ;WV;US;user1768;password;86;60000;F
5804;ZNIXYX;HRPTDLTJMW;YGYRGNN;WV;US;user6410;password;25;20000;M
5928;TKDMLB;HWSORYEDGE;LPMWCMH;WV;US;user85;password;39;80000;M
5963;PETSEX;HYDDENGRPD;MVTVLCQ;WV;US;user5275;password;22;60000;M
5965;AEVGZJ;HYDIYXRAMI;NELSIRA;WV;US;user7198;password;67;20000;F
6000;ZMZVBJ;HZHDIQMNER;JWIPURN;WV;US;user6479;password;46;80000;M
6193;VZCSJU;IEPMFSGCMQ;SBIYLIP;WV;US;user5218;password;70;20000;M
6202;STTZMU;IETUEWNNJD;OGHAUGN;WV;US;user5789;password;90;40000;M
6310;YSJPYX;IIBUZZWRRU;KFCRWVW;WV;US;user9321;password;18;40000;M
6380;WCVHGE;IKEYGEQNPX;CURWHDE;WV;US;user5354;password;66;40000;M
6503;MMCSFL;IOGDGJUPZS;TXJVDQG;WV;US;user2913;password;37;20000;F
6583;CWMHKV;IQYKYRNMNZ;MWAUBNZ;WV;US;user3916;password;89;80000;F
6645;FXKPAN;ISSFOSBNKD;JUYVMYS;WV;US;user5829;password;71;100000;M
6844;NSDGXH;IZXYVRHSDI;NQUEHEC;WV;US;user2518;password;75;80000;M
6868;DMOQUH;JAVCBJMFSH;DOUCGTW;WV;US;user5830;password;69;100000;M
6875;MNPPAN;JBCFYFEIAZ;WZVJLIW;WV;US;user3058;password;72;40000;M
6877;HTUPOR;JBCXHEGORT;EVVARPZ;WV;US;user6928;password;36;40000;M
6919;KRNKGM;JCPWABICSU;UQVAMLV;WV;US;user2302;password;28;20000;F
7045;HFOGBC;JHQTMZYTJK;OXJBWHP;WV;US;user6281;password;59;60000;F
7123;BPVNTY;JJXMYWYLBZ;ABHDVUN;WV;US;user4977;password;24;60000;F
7146;GLFIGO;JKOEWXHAGG;POYWFWA;WV;US;user5404;password;88;80000;F
7163;ILBCYT;JKYIIGBXDQ;KFFLLXT;WV;US;user1025;password;51;20000;M
7338;MMTPOI;JRBKUJUCPQ;XETJKJS;WV;US;user9519;password;42;20000;M
7376;KWMDSB;JSINQJJRKX;ZYVHJHP;WV;US;user6518;password;87;20000;F
7427;FLETVW;JUCMZJMOWL;BPGTVET;WV;US;user1658;password;65;100000;F
7578;KZDICQ;JZEAOGRZNH;TMTSQGW;WV;US;user1952;password;44;80000;F
7598;WHIVKX;JZRLKOYECF;CKNDCDC;WV;US;user5995;password;34;40000;M
7738;OZKCAM;KEJXNLPOVH;UCANBRE;WV;US;user3726;password;29;20000;F
