firstName|lastName|sex|birthDate|hireDate|salary
Melany|Gaige|F|1969-08-21|1999-12-29|27424.177673934115
Edison|Espinal|M|1972-06-15|1994-02-25|22022.275266316974
|Galli|F|1972-10-02|1999-01-08|27179.604124253216
Zela|Cayton|F|1971-11-04|2001-06-26|21771.650410534152
Lawson|Purinton|M|1971-01-18|1989-07-12|38981.84431448957
Rance|Jenney|M|1973-02-12|1996-11-18|32112.872427257647
Velva|Brice|F|1971-07-17|2003-02-21|20676.503129311433
Welton|Vassell|M|1971-07-26|1991-11-28|29197.484662323986
Rebekah|Bolorin|F|1972-06-23|1988-02-03|38018.587346865
Gertrude|Morua|M|1971-11-11|1996-10-17|51126.8925617982
