customerId|firstname|lastname|address|city|zipcode|state|createdDate
120878|MIRIAM|BOHRN|Milano Ln 25871|Milo|64767|MO|2005-02-19
120879|LEE|MENDONCA|Chiswick Ct 26214|Sherman Oaks|91495|CA|2006-04-09
120880|BERNEICE|SCARLETT|Deeptree Av 27528|Othello|99344|WA|2005-05-22
120881|WILLETTE|AITCHISON|Duke Dr 13528|Prophetstown|61277|IL|2005-06-15
120882|SHERIE|KUREK|Maximum Rd 21453|Duck River|38454|TN|2006-02-23
120883|SHIRL|TREGER|Oakleaf Cyn Dr 21035|Lansing|25862|WV|2005-04-22
120884|GHISLAINE|PALMATEER|Kirby Ct 24220|Crescent|73028|OK|2005-03-25
120885|BRYANT|HOSTON|Stein Wy 16480|Troy|48083|MI|2006-02-14
120886|MARGARETTE|VALENZA|Fox Run Cr 28023|Wautoma|54982|WI|2005-11-14
120887|ASHLIE|SAUERS|Denoya Dr 27358|Greenhurst|14742|NY|2006-05-12
120888|SYLVIA|ATWOOD|Magnolia Wy 28778|Urbana|46990|IN|2005-02-15
120889|CAITLIN|SELIGMANN|Samual Dr 20456|Ringgold|76261|TX|2005-09-30
120890|TERRESA|MERIDIETH|Creekside Dr 24171|Casa Blanca|87007|NM|2006-03-06
120891|LYNDON|WENG|Avd Ignacio 25107|Exeter|02822|RI|2005-01-17
120892|KELVIN|SESSO|Peerless Bluff Ct 19015|Golva|58632|ND|2006-04-29
120893|RAY|WAYE|Honey Maple St 17426|Paicines|95043|CA|2005-05-16
120894|COREEN|PETIET|Tulipland Av 14805|Livingston|95334|CA|2006-08-25
120895|EUNA|BALADEJO|Bella Santa Dr 26133|Carolina|00986|PR|2006-04-16
120896|TAMMIE|ALDREDGE|Walnut Creek Ct 23708|Birmingham|35255|AL|2006-02-07
120897|GERARD|FEGURGUR|Cheshire Ln 27371|Lyndeborough|03082|NH|2006-11-22
120898|NATHAN|BARKAN|Dulce Ln 22121|Cambridgeport|05141|VT|2006-07-11
120899|TORA|OLTHOFF|Starlight Ln 27754|Springfield|65808|MO|2006-05-15
120900|ELIZABET|GRUIS|Carrousel Dr 15620|Saint Clair|48079|MI|2005-07-01
120901|LYNDON|DEMATTOS|El Toro Fire Truck Trl 14083|Greensboro|27401|NC|2006-02-03
120902|SHELLA|SCHERMA|Oakcreek Av 24783|Everly|51338|IA|2005-11-04
120903|KEELY|QUAIN|Castaic Lake Dr 17650|Kingshill|00851|VI|2006-05-19
120904|VICTORIA|DREYFUS|Paseo Bonito 31742|Jack|36346|AL|2006-05-01
120905|QUINCY|BATCHELLER|Cardinal Dr 26585|Mecosta|49332|MI|2006-07-07
120906|GARNET|HIRAO|Falcon Crest Dr 28405|Correctionville|51016|IA|2006-09-30
120907|HEATH|SGAMMATO|Nicklaus Dr 25728|Goddard|67052|KS|2005-03-27
120908|SYDNEY|HARGIS|Napa Ct 24704|Williams|97544|OR|2005-08-27
120909|TAD|FINKENBINDER|Bella Santa Dr 26057|Taylor|38673|MS|2005-06-22
120910|ROSINA|FAHLSING|Springtree Pl 27824|Wynot|68792|NE|2006-10-18
120911|SANJUANA|TRAMONTI|Waterford Dr 27185|Redvale|81431|CO|2006-11-28
120912|JUDE|HUGUS|Dakotah Ct 29414|Sarasota|34236|FL|2005-05-12
120913|PENNI|SHAUL|Hillfield Ln 28327|Andover|06232|CT|2005-07-25
120914|CARLENE|HEERKES|Cronus Ct 18806|Fresno|93791|CA|2006-05-14
120915|GERMAN|VANALPHEN|Sumner Av 27820|New Philadelphia|44663|OH|2005-05-06
120916|SHARYL|HIRLIMAN|Duchess Pl 26053|Mansfield|57460|SD|2006-09-01
120917|RONALD|MASSUCCI|Haskell Vista Ln 23384|Bolingbrook|60440|IL|2005-12-31
120918|LORI|MERKEY|Sandy Dr 18171|Arcadia|15712|PA|2006-01-20
120919|RACHEAL|GEIGLE|Redbud Ridge Cr 23207|Wilcoe|24895|WV|2006-12-14
120920|THEODORA|VALENTI|Judah Cr Wy 23565|Thomasville|31792|GA|2005-10-07
120921|NIKI|MUNGIA|Mockingbird Ln 27810|Danboro|18916|PA|2006-08-05
120922|VIRGILIO|MCWILLIAM|Av Williams 17353|San Francisco|94114|CA|2005-05-29
120923|VICTORIA|SUGABO|Falter St 16887|Hopkinsville|42240|KY|2006-12-30
120924|JASPER|FINDLEY|Via Jacara 23831|Burnet|78611|TX|2006-05-26
120925|DIEDRA|WINHAM|Rexford Pl 27140|Royalston|01368|MA|2006-11-06
120926|VALENTINE|GRODSKI|Camino Alegre 31763|Poquoson|23662|VA|2006-03-01
